sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
"All roads lead to Rome, and all detours lead to profanity.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-1.4b,J,14,2,4.10609892753655e-08,24.537656372629716, profanity,1414647808
"All roads lead to Rome, and all detours lead to somewhere.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-1.4b,S,13,1,0.0009976361179724336,9.969198682749477, somewhere,1414647808
All the plates were garnished with little sprigs of parsley.,All the plates were garnished with little sprigs of,EleutherAI/pythia-1.4b,E,12,1,0.061920661479234695,4.013435306346112, parsley,1414647808
Another thing a small boy is constantly outgrowing is his allowance.,Another thing a small boy is constantly outgrowing is his,EleutherAI/pythia-1.4b,J,12,1,0.0006884680478833616,10.504322679771489, allowance,1414647808
Another thing a small boy is constantly outgrowing is his underwear.,Another thing a small boy is constantly outgrowing is his,EleutherAI/pythia-1.4b,S,12,1,0.007697696331888437,7.021357525583987, underwear,1414647808
Another thing that has developed by leaps and bounds is the modern dance.,Another thing that has developed by leaps and bounds is the modern,EleutherAI/pythia-1.4b,J,14,1,0.0002466601727064699,11.985187591667529, dance,1414647808
Another thing that has developed by leaps and bounds is the modern science.,Another thing that has developed by leaps and bounds is the modern,EleutherAI/pythia-1.4b,S,14,1,0.001657345099374652,9.23691024678697, science,1414647808
Arguments between couples are healthy; sometimes they even prevent breakups.,Arguments between couples are healthy; sometimes they even prevent,EleutherAI/pythia-1.4b,S,12,2,0.00501259695738554,7.640226047142119, breakups,1414647808
Arguments between couples are healthy; sometimes they even prevent marriage.,Arguments between couples are healthy; sometimes they even prevent,EleutherAI/pythia-1.4b,J,11,1,0.018076369538903236,5.789751234043212, marriage,1414647808
Autobiography is an unrivaled vehicle for telling the truth about others.,Autobiography is an unrivaled vehicle for telling the truth about,EleutherAI/pythia-1.4b,J,15,1,0.0003181877837050706,11.61783393271279, others,1414647808
Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiography is an unrivaled vehicle for telling the truth about,EleutherAI/pythia-1.4b,S,15,1,0.00015087441715877503,12.694364181817, somebody,1414647808
Autumn is a good time to buy some new clothes.,Autumn is a good time to buy some new,EleutherAI/pythia-1.4b,E,11,1,0.0946103110909462,3.4018587657330084, clothes,1414647808
"Because of his diabetes, he had to take daily shots of insulin.","Because of his diabetes, he had to take daily shots of",EleutherAI/pythia-1.4b,E,13,1,0.8918049335479736,0.16519991409009988, insulin,1414647808
"Before the outdoor concert, he packed a basket with wine and food for a picnic.","Before the outdoor concert, he packed a basket with wine and food for a",EleutherAI/pythia-1.4b,E,16,1,0.24502192437648773,2.029017248622502, picnic,1414647808
Bill jumped in the lake and made a big splash.,Bill jumped in the lake and made a big,EleutherAI/pythia-1.4b,E,10,1,0.8502383232116699,0.23406080713894933, splash,1414647808
"By the time Mary had her fourteenth child, she'd run out of names to call her husband.","By the time Mary had her fourteenth child, she'd run out of names to call her",EleutherAI/pythia-1.4b,J,20,1,0.007920010946691036,6.980281860326147, husband,1414647808
"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.","By the time Mary had her fourteenth child, she'd run out of names to call her",EleutherAI/pythia-1.4b,S,20,1,0.006118896417319775,7.352512807696304, offspring,1414647808
"Charged with statutory rape, he told the judge he didn't know she was a statue.","Charged with statutory rape, he told the judge he didn't know she was a",EleutherAI/pythia-1.4b,J,19,1,2.8762815418303944e-06,18.407363669929904, statue,1414647808
"Charged with statutory rape, he told the judge he didn't know she was a teenager.","Charged with statutory rape, he told the judge he didn't know she was a",EleutherAI/pythia-1.4b,S,19,1,0.019310645759105682,5.6944597801271755, teenager,1414647808
Cocktail lounges are usually half lit to match the patrons.,Cocktail lounges are usually half lit to match the,EleutherAI/pythia-1.4b,J,14,1,0.0002022586268140003,12.271511141189126, patrons,1414647808
Cocktail lounges are usually half lit to match the setting.,Cocktail lounges are usually half lit to match the,EleutherAI/pythia-1.4b,S,14,1,0.009028910659253597,6.791232348040676, setting,1414647808
"Congress taxes our income, our property, and our patience.","Congress taxes our income, our property, and our",EleutherAI/pythia-1.4b,J,11,1,8.612098463345319e-05,13.503275660299995, patience,1414647808
"Congress taxes our income, our property, and our purchases.","Congress taxes our income, our property, and our",EleutherAI/pythia-1.4b,S,11,1,2.398086871835403e-05,15.347756552425276, purchases,1414647808
"Diamonds are produced by great pressure, usually provided by a girlfriend.","Diamonds are produced by great pressure, usually provided by a",EleutherAI/pythia-1.4b,J,14,1,3.639816554823483e-07,21.389630923159977, girlfriend,1414647808
"Diamonds are produced by great pressure, usually provided by a piston.","Diamonds are produced by great pressure, usually provided by a",EleutherAI/pythia-1.4b,S,14,1,0.007204728666692972,7.116840185780107, piston,1414647808
Dogs crack open bones so they can eat the marrow.,Dogs crack open bones so they can eat the,EleutherAI/pythia-1.4b,E,11,1,0.6494511365890503,0.6227071106345959, marrow,1414647808
"During the worst part of the drought, people were encouraged to not always flush the toilet.","During the worst part of the drought, people were encouraged to not always flush the",EleutherAI/pythia-1.4b,E,17,1,0.9309496879577637,0.10322489369317324, toilet,1414647808
Eva turned down the heat and left the sauce on the stove to simmer.,Eva turned down the heat and left the sauce on the stove to,EleutherAI/pythia-1.4b,E,15,1,0.22058430314064026,2.1805979630100962, simmer,1414647808
Every introductory sailing class includes learning how to save a man drowning.,Every introductory sailing class includes learning how to save a man,EleutherAI/pythia-1.4b,E,12,1,3.015291895280825e-06,18.3392709003695, drowning,1414647808
"Every time I wear my spring coat in the rain, it damages the fabric.","Every time I wear my spring coat in the rain, it damages the",EleutherAI/pythia-1.4b,S,15,1,0.0709301084280014,3.8174580367904856, fabric,1414647808
"Every time I wear my spring coat in the rain, it damages the springs.","Every time I wear my spring coat in the rain, it damages the",EleutherAI/pythia-1.4b,J,15,1,0.0013501814100891352,9.532631024161617, springs,1414647808
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little,EleutherAI/pythia-1.4b,S,21,1,0.0006354828365147114,10.619859218928966, platform,1414647808
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little,EleutherAI/pythia-1.4b,J,21,1,0.04036307707428932,4.630820027456338, water,1414647808
"Except for not having a shell, slugs are a lot like snails.","Except for not having a shell, slugs are a lot like",EleutherAI/pythia-1.4b,E,15,2,0.025429146364331245,5.297373157027737, snails,1414647808
"Figures don't lie, except on the beaches.","Figures don't lie, except on the",EleutherAI/pythia-1.4b,J,9,1,0.00043328499305061996,11.172396110228798, beaches,1414647808
"Figures don't lie, except on the page.","Figures don't lie, except on the",EleutherAI/pythia-1.4b,S,9,1,0.006754732690751553,7.20988560665187, page,1414647808
"For a great vacation, put the kids in the back seat, and take a cruise.","For a great vacation, put the kids in the back seat, and take a",EleutherAI/pythia-1.4b,J,17,1,0.026195071637630463,5.2545607823158385, cruise,1414647808
"For a great vacation, put the kids in the back seat, and take a freeway.","For a great vacation, put the kids in the back seat, and take a",EleutherAI/pythia-1.4b,S,18,2,0.00022774210083298385,12.100311364102646, freeway,1414647808
"For his thirtieth birthday, all his friends gathered to celebrate.","For his thirtieth birthday, all his friends gathered to",EleutherAI/pythia-1.4b,E,14,1,0.42032021284103394,1.2504392587535358, celebrate,1414647808
For lunch he had an apple and a peanut butter sandwich.,For lunch he had an apple and a peanut butter,EleutherAI/pythia-1.4b,E,11,1,0.7638517618179321,0.38863540851192746, sandwich,1414647808
"Frequent naps prevent old age, especially when taken while driving.","Frequent naps prevent old age, especially when taken while",EleutherAI/pythia-1.4b,J,13,1,0.01342412456870079,6.219028181383378, driving,1414647808
"Frequent naps prevent old age, especially when taken while relaxed.","Frequent naps prevent old age, especially when taken while",EleutherAI/pythia-1.4b,S,13,1,0.0007161598186939955,10.447430803361147, relaxed,1414647808
Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday commemorates the Last Supper that Jesus had with his twelve,EleutherAI/pythia-1.4b,E,15,1,0.5530298352241516,0.8545707808489955, disciples,1414647808
Hal wrote her a love letter.,Hal wrote her a love,EleutherAI/pythia-1.4b,E,6,1,0.8315579891204834,0.2661112207922308, letter,1414647808
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.","He asked if I'd join him in a bowl of soup, but I told him we didn't have enough",EleutherAI/pythia-1.4b,S,23,1,0.0003123014175798744,11.64477326158125, change,1414647808
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.","He asked if I'd join him in a bowl of soup, but I told him we didn't have enough",EleutherAI/pythia-1.4b,J,23,1,0.021492209285497665,5.540042397962695, room,1414647808
He drank so much that he eventually became a beverage.,He drank so much that he eventually became a,EleutherAI/pythia-1.4b,J,10,1,9.500913438387215e-05,13.361574250500524, beverage,1414647808
He drank so much that he eventually became a lush.,He drank so much that he eventually became a,EleutherAI/pythia-1.4b,S,10,1,0.000888776034116745,10.135892464630594, lush,1414647808
He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He got a medal for bravery on the beach when he rescued a girl from a,EleutherAI/pythia-1.4b,J,21,4,0.0004777341091539711,11.031504493842363, lifeguard,1414647808
He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,He got a medal for bravery on the beach when he rescued a girl from a,EleutherAI/pythia-1.4b,S,20,3,0.01656719297170639,5.915527006578942, shipwreck,1414647808
He hung her coat in the closet.,He hung her coat in the,EleutherAI/pythia-1.4b,E,7,1,0.25011804699897766,1.9993189375020493, closet,1414647808
He is at the age when all the numbers in his little black book belong to doctors.,He is at the age when all the numbers in his little black book belong to,EleutherAI/pythia-1.4b,J,17,1,4.383725536172278e-05,14.477483000043165, doctors,1414647808
He is at the age when all the numbers in his little black book belong to friends.,He is at the age when all the numbers in his little black book belong to,EleutherAI/pythia-1.4b,S,17,1,0.00024590789689682424,11.989594314274036, friends,1414647808
"He is probably the best boxer in the country, but he always loses in the city.","He is probably the best boxer in the country, but he always loses in the",EleutherAI/pythia-1.4b,J,18,1,0.00042454805225133896,11.201784525838699, city,1414647808
"He is probably the best boxer in the country, but he always loses in the competition.","He is probably the best boxer in the country, but he always loses in the",EleutherAI/pythia-1.4b,S,18,1,0.0015611370326951146,9.323187105634041, competition,1414647808
He likes to make things around the house; this week it's the maid.,He likes to make things around the house; this week it's the,EleutherAI/pythia-1.4b,J,15,1,4.935137621941976e-05,14.30655015799732, maid,1414647808
He likes to make things around the house; this week it's the shelves.,He likes to make things around the house; this week it's the,EleutherAI/pythia-1.4b,S,15,1,0.003994247410446405,7.967860586139291, shelves,1414647808
"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.","He owns stock in a company that paysly dividends, so every three months they send him a",EleutherAI/pythia-1.4b,J,20,1,0.0007935339235700667,10.299420479967042, quarter,1414647808
"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.","He owns stock in a company that pays quarterly dividends, so every three months they send him a",EleutherAI/pythia-1.4b,S,20,1,0.019846344366669655,5.6549828977601875, statement,1414647808
He says he doesn't like to drink because it makes him feel happy.,He says he doesn't like to drink because it makes him feel,EleutherAI/pythia-1.4b,J,14,1,0.0012133157579228282,9.686829232877862, happy,1414647808
He says he doesn't like to drink because it makes him feel sad.,He says he doesn't like to drink because it makes him feel,EleutherAI/pythia-1.4b,S,14,1,0.007483991328626871,7.061976397670009, sad,1414647808
He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He spilled some of the quart of oil onto the engine because he didn't have a,EleutherAI/pythia-1.4b,E,18,1,0.0066238632425665855,7.238111397650289, funnel,1414647808
"He thought that he could turn from Grant onto Prince, but the two streets are parallel.","He thought that he could turn from Grant onto Prince, but the two streets are",EleutherAI/pythia-1.4b,E,17,1,0.012983286753296852,6.2672005381453815, parallel,1414647808
"He told her he wasn't himself, and she said she'd noticed the improvement.","He told her he wasn't himself, and she said she'd noticed the",EleutherAI/pythia-1.4b,J,16,1,0.00040709704626351595,11.262339625662872, improvement,1414647808
"He told her he wasn't himself, and she said she'd noticed the problem.","He told her he wasn't himself, and she said she'd noticed the",EleutherAI/pythia-1.4b,S,16,1,0.0021191248670220375,8.882315685283322, problem,1414647808
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.","He told me he just bought a set of tires, and I told him I didn't even know he owned a",EleutherAI/pythia-1.4b,J,25,1,4.52468066214351e-06,17.753752594454117, balloon,1414647808
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.","He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a",EleutherAI/pythia-1.4b,S,25,1,0.010476856492459774,6.57665027853268, truck,1414647808
"He told me he's not broke, just badly bent.","He told me he's not broke, just badly",EleutherAI/pythia-1.4b,J,11,1,0.0004719385178759694,11.049113455837155, bent,1414647808
"He told me he's not broke, just badly off.","He told me he's not broke, just badly",EleutherAI/pythia-1.4b,S,11,1,0.013970754109323025,6.161446293550071, off,1414647808
He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,He was teaching his girlfriend how to swim when the lifeguard made them move to the,EleutherAI/pythia-1.4b,J,20,1,0.001249791355803609,9.64409701783219, lake,1414647808
He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,He was teaching his girlfriend how to swim when the lifeguard made them move to the,EleutherAI/pythia-1.4b,S,21,2,0.0025771367363631725,8.600015199680437, shallows,1414647808
He wondered if the storm had done much damage.,He wondered if the storm had done much,EleutherAI/pythia-1.4b,E,9,1,0.5789813995361328,0.7884110942169344, damage,1414647808
"He's never given a girl a present, but he did give a few a pretty good reputation.","He's never given a girl a present, but he did give a few a pretty good",EleutherAI/pythia-1.4b,J,19,1,0.00017411440785508603,12.487676789535513, reputation,1414647808
"He's never given a girl a present, but he did give a few a pretty good surprise.","He's never given a girl a present, but he did give a few a pretty good",EleutherAI/pythia-1.4b,S,19,1,0.0018995249411091208,9.040145629685625, surprise,1414647808
He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's planning an extended vacation: he hopes to spend three weeks on his,EleutherAI/pythia-1.4b,J,16,1,0.004167777020484209,7.9065061903582565, couch,1414647808
He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's planning an extended vacation: he hopes to spend three weeks on his,EleutherAI/pythia-1.4b,S,17,2,0.007506951689720154,7.057557085963242, sailboat,1414647808
Her press agent was operated on for an ingrown beeper.,Her press agent was operated on for an ingrown,EleutherAI/pythia-1.4b,J,12,2,3.1524795218729196e-08,24.9189377600881, beeper,1414647808
Her press agent was operated on for an ingrown eyelash.,Her press agent was operated on for an ingrown,EleutherAI/pythia-1.4b,S,12,2,0.00021663370716851205,12.17245464269081, eyelash,1414647808
His doctor recommended he stay flat on his back ever since he was hit by a motorist.,His doctor recommended he stay flat on his back ever since he was hit by a,EleutherAI/pythia-1.4b,S,18,2,0.0018001209245994687,9.117690460629255, motorist,1414647808
His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,His doctor recommended he stay flat on his back ever since he was hit by a,EleutherAI/pythia-1.4b,J,18,2,0.00017855151963885874,12.451371966901775, steamroller,1414647808
His job was to keep the sidewalk clean.,His job was to keep the sidewalk,EleutherAI/pythia-1.4b,E,8,1,0.30364561080932617,1.719539579673968, clean,1414647808
His sandwich came with chips and a dill pickle.,His sandwich came with chips and a dill,EleutherAI/pythia-1.4b,E,11,2,0.9566468000411987,0.06394172386860285, pickle,1414647808
His wife sued for divorce and asked for custody of the cash.,His wife sued for divorce and asked for custody of the,EleutherAI/pythia-1.4b,J,12,1,2.137946012226166e-06,18.835343146984663, cash,1414647808
His wife sued for divorce and asked for custody of the cat.,His wife sued for divorce and asked for custody of the,EleutherAI/pythia-1.4b,S,12,1,4.323057510191575e-05,14.49758844571715, cat,1414647808
"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I appreciate the more expensive things in life: diamonds, caviar, and",EleutherAI/pythia-1.4b,S,16,1,0.019736245274543762,5.663008639647828, champagne,1414647808
"I appreciate the more expensive things in life: diamonds, caviar, and postage.","I appreciate the more expensive things in life: diamonds, caviar, and",EleutherAI/pythia-1.4b,J,17,2,3.529864261508919e-05,14.790027767714614, postage,1414647808
"I asked him if he started out as an editor, and he said that years ago he used to be a boy.","I asked him if he started out as an editor, and he said that years ago he used to be a",EleutherAI/pythia-1.4b,J,23,1,0.0003703526745084673,11.398812623861922, boy,1414647808
"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.","I asked him if he started out as an editor, and he said that years ago he used to be a",EleutherAI/pythia-1.4b,S,23,1,0.0419359914958477,4.575667223558223, journalist,1414647808
"I asked the florist what I should give to my girlfriend, and he suggested his address.","I asked the florist what I should give to my girlfriend, and he suggested his",EleutherAI/pythia-1.4b,J,18,1,0.00029920521774329245,11.706577045411011, address,1414647808
"I asked the florist what I should give to my girlfriend, and he suggested his tulips.","I asked the florist what I should give to my girlfriend, and he suggested his",EleutherAI/pythia-1.4b,S,20,3,0.0009771260665729642,9.99916767212903, tulips,1414647808
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.","I asked the woman at the party if she remembered me from last year, and she said she never forgets a",EleutherAI/pythia-1.4b,J,24,1,0.0001422377972630784,12.779407492101523, dress,1414647808
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.","I asked the woman at the party if she remembered me from last year, and she said she never forgets a",EleutherAI/pythia-1.4b,S,24,1,0.03386486694216728,4.884066862472919, name,1414647808
"I can walk on water, but I stagger on alcohol.","I can walk on water, but I stagger on",EleutherAI/pythia-1.4b,J,11,1,2.738834336923901e-05,15.156078469629884, alcohol,1414647808
"I can walk on water, but I stagger on concrete.","I can walk on water, but I stagger on",EleutherAI/pythia-1.4b,S,11,1,0.00010386807116447017,13.232960138703664, concrete,1414647808
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.","I decided to start saving for a rainy day, so I went to a savings and loan and deposited my",EleutherAI/pythia-1.4b,S,22,1,0.10585088282823563,3.2398947929806305, pay,1414647808
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.","I decided to start saving for a rainy day, so I went to a savings and loan and deposited my",EleutherAI/pythia-1.4b,J,22,1,2.231678990938235e-06,18.77343904730394, umbrella,1414647808
"I got a car for my wife, and I thought it was a good choice.","I got a car for my wife, and I thought it was a good",EleutherAI/pythia-1.4b,S,16,1,0.0032356104347854853,8.271746365903887, choice,1414647808
"I got a car for my wife, and I thought it was a good trade.","I got a car for my wife, and I thought it was a good",EleutherAI/pythia-1.4b,J,16,1,0.0037846413906663656,8.04562767888109, trade,1414647808
"I hope this train stops at Grand Central because if it doesn't, there will be a crash.","I hope this train stops at Grand Central because if it doesn't, there will be a",EleutherAI/pythia-1.4b,J,19,1,0.001581028220243752,9.304921165642362, crash,1414647808
"I hope this train stops at Grand Central because if it doesn't, there will be a delay.","I hope this train stops at Grand Central because if it doesn't, there will be a",EleutherAI/pythia-1.4b,S,19,1,0.002983131678774953,8.388956623407749, delay,1414647808
I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,I knew a streetwalker who was so exclusive she had an unlisted telephone,EleutherAI/pythia-1.4b,J,16,1,0.00098051642999053,9.994170574458629, booth,1414647808
I knew a streetwalker who was so exclusive she had an unlisted telephone line.,I knew a streetwalker who was so exclusive she had an unlisted telephone,EleutherAI/pythia-1.4b,S,16,1,0.00835263542830944,6.903552815283048, line,1414647808
I know one couple who got divorced and had to leave the house to the attorney.,I know one couple who got divorced and had to leave the house to the,EleutherAI/pythia-1.4b,J,16,1,0.00017738992755766958,12.460788285779413, attorney,1414647808
I know one couple who got divorced and had to leave the house to the daughter.,I know one couple who got divorced and had to leave the house to the,EleutherAI/pythia-1.4b,S,16,1,0.00015757973596919328,12.631630356788182, daughter,1414647808
"I still miss my ex-wife, but I am improving my aim.","I still miss my ex-wife, but I am improving my",EleutherAI/pythia-1.4b,J,14,1,8.092833741102368e-05,13.592995517344328, aim,1414647808
"I still miss my ex-wife, but I am improving my ego.","I still miss my ex-wife, but I am improving my",EleutherAI/pythia-1.4b,S,14,1,4.2839532397920266e-05,14.51069774156814, ego,1414647808
I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I went to a place that serves breakfast any time and ordered French toast in the,EleutherAI/pythia-1.4b,S,18,2,6.607622253795853e-07,20.529365451448232, nighttime,1414647808
I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I went to a place that serves breakfast any time and ordered French toast in the,EleutherAI/pythia-1.4b,J,17,1,4.096219527127687e-06,17.897275534110378, Renaissance,1414647808
"I've got Parkinson's disease, and he's got gout.","I've got Parkinson's disease, and he's got",EleutherAI/pythia-1.4b,S,13,2,0.00017420691438019276,12.486910493017675, gout,1414647808
"I've got Parkinson's disease, and he's got mine.","I've got Parkinson's disease, and he's got",EleutherAI/pythia-1.4b,J,12,1,3.7433001125464216e-05,14.705329756007746, mine,1414647808
"If there's one thing that counts in business, it's bookkeepers.","If there's one thing that counts in business, it's",EleutherAI/pythia-1.4b,J,14,2,9.589543026322644e-08,23.31396269144321, bookkeepers,1414647808
"If there's one thing that counts in business, it's resources.","If there's one thing that counts in business, it's",EleutherAI/pythia-1.4b,S,13,1,0.00015288394934032112,12.675275427544106, resources,1414647808
"If you're filthy rich, sending your kids to college is a wonderful cleaner.","If you're filthy rich, sending your kids to college is a wonderful",EleutherAI/pythia-1.4b,J,15,1,8.301000775645662e-09,26.84406757451178, cleaner,1414647808
"If you're filthy rich, sending your kids to college is a wonderful luxury.","If you're filthy rich, sending your kids to college is a wonderful",EleutherAI/pythia-1.4b,S,15,1,0.0037735013756901026,8.04988048449659, luxury,1414647808
In some marriages the bride is given away by the family.,In some marriages the bride is given away by the,EleutherAI/pythia-1.4b,S,11,1,0.016770604997873306,5.897921454856497, family,1414647808
In some marriages the bride is given away by the press.,In some marriages the bride is given away by the,EleutherAI/pythia-1.4b,J,11,1,9.4093675215845e-06,16.697470818117452, press,1414647808
"In the game of golf, nothing counts as much as your drives.","In the game of golf, nothing counts as much as your",EleutherAI/pythia-1.4b,S,13,1,0.0003058534930460155,11.674871626863068, drives,1414647808
"In the game of golf, nothing counts as much as your opponent.","In the game of golf, nothing counts as much as your",EleutherAI/pythia-1.4b,J,13,1,0.0033359662629663944,8.227679585956606, opponent,1414647808
"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.","In the US the five cent piece is made of nickel, while pennies are mainly made of",EleutherAI/pythia-1.4b,E,20,1,0.44221779704093933,1.1771710073495967, copper,1414647808
"It was so hot at Playboy, the centerfold took off her bikini.","It was so hot at Playboy, the centerfold took off her",EleutherAI/pythia-1.4b,S,17,3,0.03022991493344307,5.047879270527018, bikini,1414647808
"It was so hot at Playboy, the centerfold took off her staple.","It was so hot at Playboy, the centerfold took off her",EleutherAI/pythia-1.4b,J,15,1,1.1204595011804486e-06,19.76747806550223, staple,1414647808
It was too hot to sleep in a bed so he strung up a mesh hammock.,It was too hot to sleep in a bed so he strung up a mesh,EleutherAI/pythia-1.4b,E,19,3,0.10544602572917938,3.245423374045505, hammock,1414647808
"It's always nicer to give than to receive, especially when it's your opinion.","It's always nicer to give than to receive, especially when it's your",EleutherAI/pythia-1.4b,J,16,1,0.00023122530546970665,12.078413083450283, opinion,1414647808
"It's always nicer to give than to receive, especially when it's your parents.","It's always nicer to give than to receive, especially when it's your",EleutherAI/pythia-1.4b,S,16,1,0.0007306098123081028,10.418611249893894, parents,1414647808
It's extraordinary what fine poker hand you get when you're playing bridge.,It's extraordinary what fine poker hand you get when you're playing,EleutherAI/pythia-1.4b,J,14,1,0.0007605113787576556,10.360742545860779, bridge,1414647808
It's extraordinary what fine poker hand you get when you're playing stud.,It's extraordinary what fine poker hand you get when you're playing,EleutherAI/pythia-1.4b,S,14,1,1.7745818695402704e-05,15.782161340412614, stud,1414647808
It's hard to admit when one is wrong.,It's hard to admit when one is,EleutherAI/pythia-1.4b,E,9,1,0.10269802808761597,3.2835196142588066, wrong,1414647808
"It's hard to raise a family nowadays, especially in the country.","It's hard to raise a family nowadays, especially in the",EleutherAI/pythia-1.4b,S,13,1,0.013939518481492996,6.164675463314471, country,1414647808
"It's hard to raise a family nowadays, especially in the morning.","It's hard to raise a family nowadays, especially in the",EleutherAI/pythia-1.4b,J,13,1,0.00025183186517097056,11.955251535668328, morning,1414647808
It's not hard to meet expenses; they're affordable.,It's not hard to meet expenses; they're,EleutherAI/pythia-1.4b,S,11,1,0.00034131226129829884,11.516620136819347, affordable,1414647808
It's not hard to meet expenses; they're everywhere.,It's not hard to meet expenses; they're,EleutherAI/pythia-1.4b,J,11,1,0.008269145153462887,6.918046090284242, everywhere,1414647808
