sentence,sentence_fragment,model,condition,n_tokens_sentence,n_tokens_word,prob,surprisal,final_word,n_params
"All roads lead to Rome, and all detours lead to profanity.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-70m,J,14,2,4.924934842165385e-07,20.95339202664896, profanity,70426624
"All roads lead to Rome, and all detours lead to somewhere.","All roads lead to Rome, and all detours lead to",EleutherAI/pythia-70m,S,13,1,2.7559988666325808e-05,15.147065179683393, somewhere,70426624
All the plates were garnished with little sprigs of parsley.,All the plates were garnished with little sprigs of,EleutherAI/pythia-70m,E,12,1,0.04697626084089279,4.411924305734671, parsley,70426624
Another thing a small boy is constantly outgrowing is his allowance.,Another thing a small boy is constantly outgrowing is his,EleutherAI/pythia-70m,J,12,1,1.7573245713720098e-05,15.796259798023117, allowance,70426624
Another thing a small boy is constantly outgrowing is his underwear.,Another thing a small boy is constantly outgrowing is his,EleutherAI/pythia-70m,S,12,1,0.00012204208178445697,13.000333684929155, underwear,70426624
Another thing that has developed by leaps and bounds is the modern dance.,Another thing that has developed by leaps and bounds is the modern,EleutherAI/pythia-70m,J,14,1,0.00011137849651277065,13.132241656467086, dance,70426624
Another thing that has developed by leaps and bounds is the modern science.,Another thing that has developed by leaps and bounds is the modern,EleutherAI/pythia-70m,S,14,1,0.0006838602712377906,10.514010800907998, science,70426624
Arguments between couples are healthy; sometimes they even prevent breakups.,Arguments between couples are healthy; sometimes they even prevent,EleutherAI/pythia-70m,S,12,2,5.262502327241236e-07,20.85774769802801, breakups,70426624
Arguments between couples are healthy; sometimes they even prevent marriage.,Arguments between couples are healthy; sometimes they even prevent,EleutherAI/pythia-70m,J,11,1,0.0007230002665892243,10.43371620041333, marriage,70426624
Autobiography is an unrivaled vehicle for telling the truth about others.,Autobiography is an unrivaled vehicle for telling the truth about,EleutherAI/pythia-70m,J,15,1,0.00021208816906437278,12.203048234438713, others,70426624
Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiography is an unrivaled vehicle for telling the truth about,EleutherAI/pythia-70m,S,15,1,6.313087942544371e-05,13.95129462617308, somebody,70426624
Autumn is a good time to buy some new clothes.,Autumn is a good time to buy some new,EleutherAI/pythia-70m,E,11,1,0.03064962476491928,5.027986778276413, clothes,70426624
"Because of his diabetes, he had to take daily shots of insulin.","Because of his diabetes, he had to take daily shots of",EleutherAI/pythia-70m,E,13,1,0.003630770370364189,8.105508595507926, insulin,70426624
"Before the outdoor concert, he packed a basket with wine and food for a picnic.","Before the outdoor concert, he packed a basket with wine and food for a",EleutherAI/pythia-70m,E,16,1,0.007599433418363333,7.039892423341105, picnic,70426624
Bill jumped in the lake and made a big splash.,Bill jumped in the lake and made a big,EleutherAI/pythia-70m,E,10,1,0.3511003851890564,1.510044515900148, splash,70426624
"By the time Mary had her fourteenth child, she'd run out of names to call her husband.","By the time Mary had her fourteenth child, she'd run out of names to call her",EleutherAI/pythia-70m,J,20,1,0.055780213326215744,4.1641027379455196, husband,70426624
"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.","By the time Mary had her fourteenth child, she'd run out of names to call her",EleutherAI/pythia-70m,S,20,1,0.0001226309104822576,12.993389707382619, offspring,70426624
"Charged with statutory rape, he told the judge he didn't know she was a statue.","Charged with statutory rape, he told the judge he didn't know she was a",EleutherAI/pythia-70m,J,19,1,2.8437820219551213e-05,15.101829588908622, statue,70426624
"Charged with statutory rape, he told the judge he didn't know she was a teenager.","Charged with statutory rape, he told the judge he didn't know she was a",EleutherAI/pythia-70m,S,19,1,0.007455368526279926,7.067504616540257, teenager,70426624
Cocktail lounges are usually half lit to match the patrons.,Cocktail lounges are usually half lit to match the,EleutherAI/pythia-70m,J,14,1,2.833321923390031e-05,15.10714594370825, patrons,70426624
Cocktail lounges are usually half lit to match the setting.,Cocktail lounges are usually half lit to match the,EleutherAI/pythia-70m,S,14,1,0.0023521906696259975,8.73177927424351, setting,70426624
"Congress taxes our income, our property, and our patience.","Congress taxes our income, our property, and our",EleutherAI/pythia-70m,J,11,1,1.3770240002486389e-05,16.148086769910957, patience,70426624
"Congress taxes our income, our property, and our purchases.","Congress taxes our income, our property, and our",EleutherAI/pythia-70m,S,11,1,3.4783581213559955e-05,14.81123399857594, purchases,70426624
"Diamonds are produced by great pressure, usually provided by a girlfriend.","Diamonds are produced by great pressure, usually provided by a",EleutherAI/pythia-70m,J,14,1,6.667205525445752e-07,20.516414463424606, girlfriend,70426624
"Diamonds are produced by great pressure, usually provided by a piston.","Diamonds are produced by great pressure, usually provided by a",EleutherAI/pythia-70m,S,14,1,0.006405445747077465,7.28648531523144, piston,70426624
Dogs crack open bones so they can eat the marrow.,Dogs crack open bones so they can eat the,EleutherAI/pythia-70m,E,11,1,0.000525407784152776,10.89427480474327, marrow,70426624
"During the worst part of the drought, people were encouraged to not always flush the toilet.","During the worst part of the drought, people were encouraged to not always flush the",EleutherAI/pythia-70m,E,17,1,0.016457708552479744,5.925092710036133, toilet,70426624
Eva turned down the heat and left the sauce on the stove to simmer.,Eva turned down the heat and left the sauce on the stove to,EleutherAI/pythia-70m,E,15,1,0.06259921193122864,3.997711694758442, simmer,70426624
Every introductory sailing class includes learning how to save a man drowning.,Every introductory sailing class includes learning how to save a man,EleutherAI/pythia-70m,E,12,1,2.076751297863666e-05,15.555312018399695, drowning,70426624
"Every time I wear my spring coat in the rain, it damages the fabric.","Every time I wear my spring coat in the rain, it damages the",EleutherAI/pythia-70m,S,15,1,0.007465503644198179,7.065544692691137, fabric,70426624
"Every time I wear my spring coat in the rain, it damages the springs.","Every time I wear my spring coat in the rain, it damages the",EleutherAI/pythia-70m,J,15,1,0.0001507990382378921,12.695085152095713, springs,70426624
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little,EleutherAI/pythia-70m,S,21,1,2.6832874937099405e-05,15.18563883782968, platform,70426624
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little,EleutherAI/pythia-70m,J,21,1,0.03377394750714302,4.887945378029371, water,70426624
"Except for not having a shell, slugs are a lot like snails.","Except for not having a shell, slugs are a lot like",EleutherAI/pythia-70m,E,15,2,0.0001245100429514423,12.9714502651124, snails,70426624
"Figures don't lie, except on the beaches.","Figures don't lie, except on the",EleutherAI/pythia-70m,J,9,1,0.0002075049706036225,12.234566484153467, beaches,70426624
"Figures don't lie, except on the page.","Figures don't lie, except on the",EleutherAI/pythia-70m,S,9,1,0.0016423458000645041,9.250026362470935, page,70426624
"For a great vacation, put the kids in the back seat, and take a cruise.","For a great vacation, put the kids in the back seat, and take a",EleutherAI/pythia-70m,J,17,1,0.0009302814723923802,10.070045085494986, cruise,70426624
"For a great vacation, put the kids in the back seat, and take a freeway.","For a great vacation, put the kids in the back seat, and take a",EleutherAI/pythia-70m,S,18,2,7.022530326139531e-07,20.44150571470299, freeway,70426624
"For his thirtieth birthday, all his friends gathered to celebrate.","For his thirtieth birthday, all his friends gathered to",EleutherAI/pythia-70m,E,14,1,0.07837990671396255,3.6733723338974205, celebrate,70426624
For lunch he had an apple and a peanut butter sandwich.,For lunch he had an apple and a peanut butter,EleutherAI/pythia-70m,E,11,1,0.411875456571579,1.279719935511589, sandwich,70426624
"Frequent naps prevent old age, especially when taken while driving.","Frequent naps prevent old age, especially when taken while",EleutherAI/pythia-70m,J,13,1,0.016605829820036888,5.912166371340058, driving,70426624
"Frequent naps prevent old age, especially when taken while relaxed.","Frequent naps prevent old age, especially when taken while",EleutherAI/pythia-70m,S,13,1,9.851311915554106e-05,13.309324610981323, relaxed,70426624
Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday commemorates the Last Supper that Jesus had with his twelve,EleutherAI/pythia-70m,E,15,1,0.11814878135919571,3.0813233461182348, disciples,70426624
Hal wrote her a love letter.,Hal wrote her a love,EleutherAI/pythia-70m,E,6,1,0.08801957219839096,3.5060318299572817, letter,70426624
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.","He asked if I'd join him in a bowl of soup, but I told him we didn't have enough",EleutherAI/pythia-70m,S,23,1,8.761294884607196e-05,13.478496364251471, change,70426624
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.","He asked if I'd join him in a bowl of soup, but I told him we didn't have enough",EleutherAI/pythia-70m,J,23,1,0.052141815423965454,4.261415375647768, room,70426624
He drank so much that he eventually became a beverage.,He drank so much that he eventually became a,EleutherAI/pythia-70m,J,10,1,8.148881170200184e-05,13.583038481474398, beverage,70426624
He drank so much that he eventually became a lush.,He drank so much that he eventually became a,EleutherAI/pythia-70m,S,10,1,1.4876491150062066e-05,16.036606189748717, lush,70426624
He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He got a medal for bravery on the beach when he rescued a girl from a,EleutherAI/pythia-70m,J,21,4,2.8062075216439553e-05,15.121018772900156, lifeguard,70426624
He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,He got a medal for bravery on the beach when he rescued a girl from a,EleutherAI/pythia-70m,S,20,3,0.0001139169471571222,13.099729990178632, shipwreck,70426624
He hung her coat in the closet.,He hung her coat in the,EleutherAI/pythia-70m,E,7,1,0.04549324885010719,4.458203722993646, closet,70426624
He is at the age when all the numbers in his little black book belong to doctors.,He is at the age when all the numbers in his little black book belong to,EleutherAI/pythia-70m,J,17,1,1.2117164260416757e-05,16.332588365239047, doctors,70426624
He is at the age when all the numbers in his little black book belong to friends.,He is at the age when all the numbers in his little black book belong to,EleutherAI/pythia-70m,S,17,1,6.54887844575569e-05,13.898392621113771, friends,70426624
"He is probably the best boxer in the country, but he always loses in the city.","He is probably the best boxer in the country, but he always loses in the",EleutherAI/pythia-70m,J,18,1,0.00032584182918071747,11.583540561204792, city,70426624
"He is probably the best boxer in the country, but he always loses in the competition.","He is probably the best boxer in the country, but he always loses in the",EleutherAI/pythia-70m,S,18,1,0.012559938244521618,6.31502681905963, competition,70426624
He likes to make things around the house; this week it's the maid.,He likes to make things around the house; this week it's the,EleutherAI/pythia-70m,J,15,1,7.772158278385177e-05,13.651325193030251, maid,70426624
He likes to make things around the house; this week it's the shelves.,He likes to make things around the house; this week it's the,EleutherAI/pythia-70m,S,15,1,7.998125511221588e-06,16.931906648391664, shelves,70426624
"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.","He owns stock in a company that paysly dividends, so every three months they send him a",EleutherAI/pythia-70m,J,20,1,0.0011172015219926834,9.80589484050928, quarter,70426624
"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.","He owns stock in a company that pays quarterly dividends, so every three months they send him a",EleutherAI/pythia-70m,S,20,1,0.004124415572732687,7.921594579862287, statement,70426624
He says he doesn't like to drink because it makes him feel happy.,He says he doesn't like to drink because it makes him feel,EleutherAI/pythia-70m,J,14,1,0.0017342750215902925,9.171451585166535, happy,70426624
He says he doesn't like to drink because it makes him feel sad.,He says he doesn't like to drink because it makes him feel,EleutherAI/pythia-70m,S,14,1,0.0014298883033916354,9.449881830271531, sad,70426624
He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He spilled some of the quart of oil onto the engine because he didn't have a,EleutherAI/pythia-70m,E,18,1,4.999434167984873e-05,14.28787565339662, funnel,70426624
"He thought that he could turn from Grant onto Prince, but the two streets are parallel.","He thought that he could turn from Grant onto Prince, but the two streets are",EleutherAI/pythia-70m,E,17,1,0.0004355206328909844,11.16497131109412, parallel,70426624
"He told her he wasn't himself, and she said she'd noticed the improvement.","He told her he wasn't himself, and she said she'd noticed the",EleutherAI/pythia-70m,J,16,1,0.00020849799329880625,12.227678881115926, improvement,70426624
"He told her he wasn't himself, and she said she'd noticed the problem.","He told her he wasn't himself, and she said she'd noticed the",EleutherAI/pythia-70m,S,16,1,0.0015500352019444108,9.333483304585835, problem,70426624
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.","He told me he just bought a set of tires, and I told him I didn't even know he owned a",EleutherAI/pythia-70m,J,25,1,1.7195941381942248e-06,19.149500471785494, balloon,70426624
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.","He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a",EleutherAI/pythia-70m,S,25,1,0.0011448032455518842,9.770684617394922, truck,70426624
"He told me he's not broke, just badly bent.","He told me he's not broke, just badly",EleutherAI/pythia-70m,J,11,1,3.6350436857901514e-05,14.747667771944187, bent,70426624
"He told me he's not broke, just badly off.","He told me he's not broke, just badly",EleutherAI/pythia-70m,S,11,1,0.0017054672352969646,9.195617245881184, off,70426624
He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,He was teaching his girlfriend how to swim when the lifeguard made them move to the,EleutherAI/pythia-70m,J,20,1,0.015638386830687523,5.99876448987878, lake,70426624
He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,He was teaching his girlfriend how to swim when the lifeguard made them move to the,EleutherAI/pythia-70m,S,21,2,3.5338437101017917e-06,18.110330333522672, shallows,70426624
He wondered if the storm had done much damage.,He wondered if the storm had done much,EleutherAI/pythia-70m,E,9,1,0.16048800945281982,2.639462581646685, damage,70426624
"He's never given a girl a present, but he did give a few a pretty good reputation.","He's never given a girl a present, but he did give a few a pretty good",EleutherAI/pythia-70m,J,19,1,0.0005299054901115596,10.881977304978749, reputation,70426624
"He's never given a girl a present, but he did give a few a pretty good surprise.","He's never given a girl a present, but he did give a few a pretty good",EleutherAI/pythia-70m,S,19,1,0.00010666262824088335,13.194657596974947, surprise,70426624
He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's planning an extended vacation: he hopes to spend three weeks on his,EleutherAI/pythia-70m,J,16,1,0.0021712256129831076,8.847274639860405, couch,70426624
He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's planning an extended vacation: he hopes to spend three weeks on his,EleutherAI/pythia-70m,S,17,2,0.0004955559270456433,10.978664494452012, sailboat,70426624
Her press agent was operated on for an ingrown beeper.,Her press agent was operated on for an ingrown,EleutherAI/pythia-70m,J,12,2,1.877934430183359e-08,25.666278068258837, beeper,70426624
Her press agent was operated on for an ingrown eyelash.,Her press agent was operated on for an ingrown,EleutherAI/pythia-70m,S,12,2,1.1577366620940666e-08,26.36411762277989, eyelash,70426624
His doctor recommended he stay flat on his back ever since he was hit by a motorist.,His doctor recommended he stay flat on his back ever since he was hit by a,EleutherAI/pythia-70m,S,18,2,0.00024417974054813385,11.99976887383195, motorist,70426624
His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,His doctor recommended he stay flat on his back ever since he was hit by a,EleutherAI/pythia-70m,J,18,2,5.522415449377149e-06,17.466269143873653, steamroller,70426624
His job was to keep the sidewalk clean.,His job was to keep the sidewalk,EleutherAI/pythia-70m,E,8,1,0.011291731148958206,6.468589505385834, clean,70426624
His sandwich came with chips and a dill pickle.,His sandwich came with chips and a dill,EleutherAI/pythia-70m,E,11,2,0.00018424465088173747,12.406089644942343, pickle,70426624
His wife sued for divorce and asked for custody of the cash.,His wife sued for divorce and asked for custody of the,EleutherAI/pythia-70m,J,12,1,2.625645174703095e-05,15.216968508428266, cash,70426624
His wife sued for divorce and asked for custody of the cat.,His wife sued for divorce and asked for custody of the,EleutherAI/pythia-70m,S,12,1,2.7007374228560366e-05,15.176287092701013, cat,70426624
"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I appreciate the more expensive things in life: diamonds, caviar, and",EleutherAI/pythia-70m,S,16,1,0.0018207826651632786,9.101225557077418, champagne,70426624
"I appreciate the more expensive things in life: diamonds, caviar, and postage.","I appreciate the more expensive things in life: diamonds, caviar, and",EleutherAI/pythia-70m,J,17,2,1.2411916259225109e-06,19.619842700893745, postage,70426624
"I asked him if he started out as an editor, and he said that years ago he used to be a boy.","I asked him if he started out as an editor, and he said that years ago he used to be a",EleutherAI/pythia-70m,J,23,1,0.001133834244683385,9.78457453666763, boy,70426624
"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.","I asked him if he started out as an editor, and he said that years ago he used to be a",EleutherAI/pythia-70m,S,23,1,0.017731821164488792,5.8175154724863525, journalist,70426624
"I asked the florist what I should give to my girlfriend, and he suggested his address.","I asked the florist what I should give to my girlfriend, and he suggested his",EleutherAI/pythia-70m,J,18,1,0.0010061062639579177,9.957001595434365, address,70426624
"I asked the florist what I should give to my girlfriend, and he suggested his tulips.","I asked the florist what I should give to my girlfriend, and he suggested his",EleutherAI/pythia-70m,S,20,3,5.885713108000346e-07,20.696279442652305, tulips,70426624
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.","I asked the woman at the party if she remembered me from last year, and she said she never forgets a",EleutherAI/pythia-70m,J,24,1,0.001243413775227964,9.65147781760912, dress,70426624
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.","I asked the woman at the party if she remembered me from last year, and she said she never forgets a",EleutherAI/pythia-70m,S,24,1,0.008878928609192371,6.815398682800436, name,70426624
"I can walk on water, but I stagger on alcohol.","I can walk on water, but I stagger on",EleutherAI/pythia-70m,J,11,1,1.8378916138317436e-05,15.731588785501982, alcohol,70426624
"I can walk on water, but I stagger on concrete.","I can walk on water, but I stagger on",EleutherAI/pythia-70m,S,11,1,2.6947609512717463e-05,15.179483175377772, concrete,70426624
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.","I decided to start saving for a rainy day, so I went to a savings and loan and deposited my",EleutherAI/pythia-70m,S,22,1,0.0011308585526421666,9.788365795797105, pay,70426624
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.","I decided to start saving for a rainy day, so I went to a savings and loan and deposited my",EleutherAI/pythia-70m,J,22,1,2.2971345970290713e-05,15.409805082772198, umbrella,70426624
"I got a car for my wife, and I thought it was a good choice.","I got a car for my wife, and I thought it was a good",EleutherAI/pythia-70m,S,16,1,0.0020715342834591866,8.915084587846165, choice,70426624
"I got a car for my wife, and I thought it was a good trade.","I got a car for my wife, and I thought it was a good",EleutherAI/pythia-70m,J,16,1,0.000494682346470654,10.981209964010223, trade,70426624
"I hope this train stops at Grand Central because if it doesn't, there will be a crash.","I hope this train stops at Grand Central because if it doesn't, there will be a",EleutherAI/pythia-70m,J,19,1,0.002734138397499919,8.514698013066557, crash,70426624
"I hope this train stops at Grand Central because if it doesn't, there will be a delay.","I hope this train stops at Grand Central because if it doesn't, there will be a",EleutherAI/pythia-70m,S,19,1,0.0032279007136821747,8.275188080916678, delay,70426624
I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,I knew a streetwalker who was so exclusive she had an unlisted telephone,EleutherAI/pythia-70m,J,16,1,0.0007633666973561049,10.355336130652775, booth,70426624
I knew a streetwalker who was so exclusive she had an unlisted telephone line.,I knew a streetwalker who was so exclusive she had an unlisted telephone,EleutherAI/pythia-70m,S,16,1,0.01327738631516695,6.234885013064531, line,70426624
I know one couple who got divorced and had to leave the house to the attorney.,I know one couple who got divorced and had to leave the house to the,EleutherAI/pythia-70m,J,16,1,0.0006495293928310275,10.588317566836905, attorney,70426624
I know one couple who got divorced and had to leave the house to the daughter.,I know one couple who got divorced and had to leave the house to the,EleutherAI/pythia-70m,S,16,1,0.00040428779902867973,11.272329714268865, daughter,70426624
"I still miss my ex-wife, but I am improving my aim.","I still miss my ex-wife, but I am improving my",EleutherAI/pythia-70m,J,14,1,3.164813824696466e-05,14.947519841161467, aim,70426624
"I still miss my ex-wife, but I am improving my ego.","I still miss my ex-wife, but I am improving my",EleutherAI/pythia-70m,S,14,1,0.0005683519411832094,10.780927811506336, ego,70426624
I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I went to a place that serves breakfast any time and ordered French toast in the,EleutherAI/pythia-70m,S,18,2,7.15668938937597e-05,13.770348108465445, nighttime,70426624
I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I went to a place that serves breakfast any time and ordered French toast in the,EleutherAI/pythia-70m,J,17,1,3.0471771879092557e-06,18.324095176721606, Renaissance,70426624
"I've got Parkinson's disease, and he's got gout.","I've got Parkinson's disease, and he's got",EleutherAI/pythia-70m,S,13,2,3.942353214370087e-05,14.63058343428283, gout,70426624
"I've got Parkinson's disease, and he's got mine.","I've got Parkinson's disease, and he's got",EleutherAI/pythia-70m,J,12,1,9.462852904107422e-05,13.367365275004296, mine,70426624
"If there's one thing that counts in business, it's bookkeepers.","If there's one thing that counts in business, it's",EleutherAI/pythia-70m,J,14,2,1.1522226728288842e-08,26.37100520729916, bookkeepers,70426624
"If there's one thing that counts in business, it's resources.","If there's one thing that counts in business, it's",EleutherAI/pythia-70m,S,13,1,1.816503754525911e-05,15.74847612677848, resources,70426624
"If you're filthy rich, sending your kids to college is a wonderful cleaner.","If you're filthy rich, sending your kids to college is a wonderful",EleutherAI/pythia-70m,J,15,1,8.837018867779989e-07,20.10993689980162, cleaner,70426624
"If you're filthy rich, sending your kids to college is a wonderful luxury.","If you're filthy rich, sending your kids to college is a wonderful",EleutherAI/pythia-70m,S,15,1,0.0010241951094940305,9.931293709278844, luxury,70426624
In some marriages the bride is given away by the family.,In some marriages the bride is given away by the,EleutherAI/pythia-70m,S,11,1,0.00685668271034956,7.188273520923554, family,70426624
In some marriages the bride is given away by the press.,In some marriages the bride is given away by the,EleutherAI/pythia-70m,J,11,1,4.0345545130549e-05,14.597231091463634, press,70426624
"In the game of golf, nothing counts as much as your drives.","In the game of golf, nothing counts as much as your",EleutherAI/pythia-70m,S,13,1,2.0433124518604018e-05,15.578730644676517, drives,70426624
"In the game of golf, nothing counts as much as your opponent.","In the game of golf, nothing counts as much as your",EleutherAI/pythia-70m,J,13,1,0.01800284907221794,5.795630948936546, opponent,70426624
"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.","In the US the five cent piece is made of nickel, while pennies are mainly made of",EleutherAI/pythia-70m,E,20,1,0.07336853444576263,3.7686947225098124, copper,70426624
"It was so hot at Playboy, the centerfold took off her bikini.","It was so hot at Playboy, the centerfold took off her",EleutherAI/pythia-70m,S,17,3,0.00018227362306788564,12.421606576386457, bikini,70426624
"It was so hot at Playboy, the centerfold took off her staple.","It was so hot at Playboy, the centerfold took off her",EleutherAI/pythia-70m,J,15,1,1.47942764670006e-05,16.044601333024602, staple,70426624
It was too hot to sleep in a bed so he strung up a mesh hammock.,It was too hot to sleep in a bed so he strung up a mesh,EleutherAI/pythia-70m,E,19,3,9.1620549937943e-06,16.735897346892155, hammock,70426624
"It's always nicer to give than to receive, especially when it's your opinion.","It's always nicer to give than to receive, especially when it's your",EleutherAI/pythia-70m,J,16,1,0.0014738680329173803,9.406176930364033, opinion,70426624
"It's always nicer to give than to receive, especially when it's your parents.","It's always nicer to give than to receive, especially when it's your",EleutherAI/pythia-70m,S,16,1,0.0008133513038046658,10.263833761828527, parents,70426624
It's extraordinary what fine poker hand you get when you're playing bridge.,It's extraordinary what fine poker hand you get when you're playing,EleutherAI/pythia-70m,J,14,1,1.286338647332741e-05,16.246369971342478, bridge,70426624
It's extraordinary what fine poker hand you get when you're playing stud.,It's extraordinary what fine poker hand you get when you're playing,EleutherAI/pythia-70m,S,14,1,1.1893783266714308e-05,16.359432782737798, stud,70426624
It's hard to admit when one is wrong.,It's hard to admit when one is,EleutherAI/pythia-70m,E,9,1,0.006381891202181578,7.291800270750445, wrong,70426624
"It's hard to raise a family nowadays, especially in the country.","It's hard to raise a family nowadays, especially in the",EleutherAI/pythia-70m,S,13,1,0.02938317507505417,5.08886589130945, country,70426624
"It's hard to raise a family nowadays, especially in the morning.","It's hard to raise a family nowadays, especially in the",EleutherAI/pythia-70m,J,13,1,0.00026103813434019685,11.903451798023601, morning,70426624
It's not hard to meet expenses; they're affordable.,It's not hard to meet expenses; they're,EleutherAI/pythia-70m,S,11,1,0.0001022951037157327,13.254975286412265, affordable,70426624
It's not hard to meet expenses; they're everywhere.,It's not hard to meet expenses; they're,EleutherAI/pythia-70m,J,11,1,0.00022414331033360213,12.123290937455328, everywhere,70426624
Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,Last Thanksgiving my wife spent all morning in the kitchen stuffing the,EleutherAI/pythia-70m,S,14,1,0.00017679357551969588,12.465646529787739, bird,70426624
Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,Last Thanksgiving my wife spent all morning in the kitchen stuffing the,EleutherAI/pythia-70m,J,14,1,0.0055613224394619465,7.4903562991959545, kids,70426624
"Love has its benefits, and they are usually called alimony.","Love has its benefits, and they are usually called",EleutherAI/pythia-70m,J,12,2,3.8532732560270233e-07,21.30741216543534, alimony,70426624
"Love has its benefits, and they are usually called memories.","Love has its benefits, and they are usually called",EleutherAI/pythia-70m,S,11,1,8.390085713472217e-05,13.540954925062577, memories,70426624
