model,sentence,condition,log_prob,num_tokens,identified_token,surprisal,final_word
meta-llama/Meta-Llama-3-8B,"Because of his diabetes, he had to take daily shots of insulin.",E,-0.08685303,1,insulin,0.08685303,insulin
meta-llama/Meta-Llama-3-8B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",E,-0.46557617,1,picnic,0.46557617,picnic
meta-llama/Meta-Llama-3-8B,Bill jumped in the lake and made a big splash.,E,-0.086242676,1,splash,0.086242676,splash
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",J,-2.4414062,1,husband,2.4414062,husband
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",S,-2.6289062,1,offspring,2.6289062,offspring
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",J,-11.3828125,1,statue,11.3828125,statue
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",S,-4.453125,1,teenager,4.453125,teenager
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the patrons.,J,-7.7382812,1,patrons,7.7382812,patrons
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the setting.,S,-5.5039062,1,setting,5.5039062,setting
meta-llama/Meta-Llama-3-8B,"Congress taxes our income, our property, and our patience.",J,-8.3671875,1,patience,8.3671875,patience
meta-llama/Meta-Llama-3-8B,"Congress taxes our income, our property, and our purchases.",S,-1.546875,1,purchases,1.546875,purchases
meta-llama/Meta-Llama-3-8B,"Diamonds are produced by great pressure, usually provided by a girlfriend.",J,-13.6015625,1,girlfriend,13.6015625,girlfriend
meta-llama/Meta-Llama-3-8B,"Diamonds are produced by great pressure, usually provided by a piston.",S,-9.6875,1,piston,9.6875,piston
meta-llama/Meta-Llama-3-8B,Dogs crack open bones so they can eat the marrow.,E,-1.0380859,1,marrow,1.0380859,marrow
meta-llama/Meta-Llama-3-8B,"During the worst part of the drought, people were encouraged to not always flush the toilet.",E,-0.03869629,1,toilet,0.03869629,toilet
meta-llama/Meta-Llama-3-8B,Eva turned down the heat and left the sauce on the stove to simmer.,E,-0.92822266,1,simmer,0.92822266,simmer
meta-llama/Meta-Llama-3-8B,Every introductory sailing class includes learning how to save a man drowning.,E,-10.5703125,1,drowning,10.5703125,drowning
meta-llama/Meta-Llama-3-8B,"Every time I wear my spring coat in the rain, it damages the fabric.",S,-1.8310547,1,fabric,1.8310547,fabric
meta-llama/Meta-Llama-3-8B,"Every time I wear my spring coat in the rain, it damages the springs.",J,-7.7695312,1,springs,7.7695312,springs
meta-llama/Meta-Llama-3-8B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,S,-4.78125,1,platform,4.78125,platform
meta-llama/Meta-Llama-3-8B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,J,-3.7363281,1,water,3.7363281,water
meta-llama/Meta-Llama-3-8B,"Except for not having a shell, slugs are a lot like snails.",E,-0.2501335194,2,snails,0.2501335194,snails
meta-llama/Meta-Llama-3-8B,"Figures don't lie, except on the beaches.",J,-7.8554688,1,beaches,7.8554688,beaches
meta-llama/Meta-Llama-3-8B,"Figures don't lie, except on the page.",S,-5.8125,1,page,5.8125,page
meta-llama/Meta-Llama-3-8B,"For a great vacation, put the kids in the back seat, and take a cruise.",J,-3.7402344,1,cruise,3.7402344,cruise
meta-llama/Meta-Llama-3-8B,"For a great vacation, put the kids in the back seat, and take a freeway.",S,-11.0390625,1,freeway,11.0390625,freeway
meta-llama/Meta-Llama-3-8B,"For his thirtieth birthday, all his friends gathered to celebrate.",E,-1.2646484,1,celebrate,1.2646484,celebrate
meta-llama/Meta-Llama-3-8B,For lunch he had an apple and a peanut butter sandwich.,E,-0.61035156,1,sandwich,0.61035156,sandwich
meta-llama/Meta-Llama-3-8B,"Frequent naps prevent old age, especially when taken while driving.",J,-2.5761719,1,driving,2.5761719,driving
meta-llama/Meta-Llama-3-8B,"Frequent naps prevent old age, especially when taken while relaxed.",S,-8.3515625,1,relaxed,8.3515625,relaxed
meta-llama/Meta-Llama-3-8B,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,E,-0.43041992,1,disciples,0.43041992,disciples
meta-llama/Meta-Llama-3-8B,Hal wrote her a love letter.,E,-0.39990234,1,letter,0.39990234,letter
meta-llama/Meta-Llama-3-8B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",S,-7.6445312,1,change,7.6445312,change
meta-llama/Meta-Llama-3-8B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",J,-4.2382812,1,room,4.2382812,room
meta-llama/Meta-Llama-3-8B,He drank so much that he eventually became a beverage.,J,-9.59375,1,beverage,9.59375,beverage
meta-llama/Meta-Llama-3-8B,He drank so much that he eventually became a lush.,S,-5.9375,1,lush,5.9375,lush
meta-llama/Meta-Llama-3-8B,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,J,-7.53259277,2,lifeguard,7.53259277,lifeguard
meta-llama/Meta-Llama-3-8B,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,S,-6.0687828035999996,3,shipwreck,6.0687828035999996,shipwreck
meta-llama/Meta-Llama-3-8B,He hung her coat in the closet.,E,-0.7807617,1,closet,0.7807617,closet
meta-llama/Meta-Llama-3-8B,He is at the age when all the numbers in his little black book belong to doctors.,J,-8.34375,1,doctors,8.34375,doctors
meta-llama/Meta-Llama-3-8B,He is at the age when all the numbers in his little black book belong to friends.,S,-6.1445312,1,friends,6.1445312,friends
meta-llama/Meta-Llama-3-8B,"He is probably the best boxer in the country, but he always loses in the city.",J,-8.6015625,1,city,8.6015625,city
meta-llama/Meta-Llama-3-8B,"He is probably the best boxer in the country, but he always loses in the competition.",S,-5.890625,1,competition,5.890625,competition
meta-llama/Meta-Llama-3-8B,He likes to make things around the house; this week it's the maid.,J,-9.8515625,1,maid,9.8515625,maid
meta-llama/Meta-Llama-3-8B,He likes to make things around the house; this week it's the shelves.,S,-5.3789062,1,shelves,5.3789062,shelves
meta-llama/Meta-Llama-3-8B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",J,-9.34375,1,quarter,9.34375,quarter
meta-llama/Meta-Llama-3-8B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",S,-4.0546875,1,statement,4.0546875,statement
meta-llama/Meta-Llama-3-8B,He says he doesn't like to drink because it makes him feel happy.,J,-6.6484375,1,happy,6.6484375,happy
meta-llama/Meta-Llama-3-8B,He says he doesn't like to drink because it makes him feel sad.,S,-4.421875,1,sad,4.421875,sad
meta-llama/Meta-Llama-3-8B,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,E,-0.39379883,1,funnel,0.39379883,funnel
meta-llama/Meta-Llama-3-8B,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",E,-3.7851562,1,parallel,3.7851562,parallel
meta-llama/Meta-Llama-3-8B,"He told her he wasn't himself, and she said she'd noticed the improvement.",J,-8.03125,1,improvement,8.03125,improvement
meta-llama/Meta-Llama-3-8B,"He told her he wasn't himself, and she said she'd noticed the problem.",S,-6.4960938,1,problem,6.4960938,problem
meta-llama/Meta-Llama-3-8B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",J,-3.8339844,1,balloon,3.8339844,balloon
meta-llama/Meta-Llama-3-8B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",S,-2.6464844,1,truck,2.6464844,truck
meta-llama/Meta-Llama-3-8B,"He told me he's not broke, just badly bent.",J,-5.5,1,bent,5.5,bent
meta-llama/Meta-Llama-3-8B,"He told me he's not broke, just badly off.",S,-3.8125,1,off,3.8125,off
meta-llama/Meta-Llama-3-8B,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,J,-9.2890625,1,lake,9.2890625,lake
meta-llama/Meta-Llama-3-8B,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,S,-4.79248044,2,shallows,4.79248044,shallows
meta-llama/Meta-Llama-3-8B,He wondered if the storm had done much damage.,E,-0.14221191,1,damage,0.14221191,damage
meta-llama/Meta-Llama-3-8B,"He's never given a girl a present, but he did give a few a pretty good reputation.",J,-7.4648438,1,reputation,7.4648438,reputation
meta-llama/Meta-Llama-3-8B,"He's never given a girl a present, but he did give a few a pretty good surprise.",S,-5.2148438,1,surprise,5.2148438,surprise
meta-llama/Meta-Llama-3-8B,He's planning an extended vacation: he hopes to spend three weeks on his couch.,J,-3.3691406,1,couch,3.3691406,couch
meta-llama/Meta-Llama-3-8B,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,S,-3.8336791740000002,2,sailboat,3.8336791740000002,sailboat
meta-llama/Meta-Llama-3-8B,Her press agent was operated on for an ingrown beeper.,J,-15.1210938,2,beeper,15.1210938,beeper
meta-llama/Meta-Llama-3-8B,Her press agent was operated on for an ingrown eyelash.,S,-5.726501465,2,eyelash,5.726501465,eyelash
meta-llama/Meta-Llama-3-8B,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,S,-7.243164,2,motorist,7.243164,motorist
meta-llama/Meta-Llama-3-8B,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,J,-9.47802734,2,steamroller,9.47802734,steamroller
meta-llama/Meta-Llama-3-8B,His job was to keep the sidewalk clean.,E,-1.4648438,1,clean,1.4648438,clean
meta-llama/Meta-Llama-3-8B,His sandwich came with chips and a dill pickle.,E,-0.047729492,1,pickle,0.047729492,pickle
meta-llama/Meta-Llama-3-8B,His wife sued for divorce and asked for custody of the cash.,J,-12.640625,1,cash,12.640625,cash
meta-llama/Meta-Llama-3-8B,His wife sued for divorce and asked for custody of the cat.,S,-8.734375,1,cat,8.734375,cat
meta-llama/Meta-Llama-3-8B,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.",S,-4.6054688,1,champagne,4.6054688,champagne
meta-llama/Meta-Llama-3-8B,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",J,-10.15625,1,postage,10.15625,postage
meta-llama/Meta-Llama-3-8B,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",J,-8.34375,1,boy,8.34375,boy
meta-llama/Meta-Llama-3-8B,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",S,-3.1132812,1,journalist,3.1132812,journalist
meta-llama/Meta-Llama-3-8B,"I asked the florist what I should give to my girlfriend, and he suggested his address.",J,-8.1171875,1,address,8.1171875,address
meta-llama/Meta-Llama-3-8B,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",S,-7.82092285,2,tulips,7.82092285,tulips
meta-llama/Meta-Llama-3-8B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",J,-5.7148438,1,dress,5.7148438,dress
meta-llama/Meta-Llama-3-8B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",S,-4.0976562,1,name,4.0976562,name
meta-llama/Meta-Llama-3-8B,"I can walk on water, but I stagger on alcohol.",J,-7.7890625,1,alcohol,7.7890625,alcohol
meta-llama/Meta-Llama-3-8B,"I can walk on water, but I stagger on concrete.",S,-6.0546875,1,concrete,6.0546875,concrete
meta-llama/Meta-Llama-3-8B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",S,-6.3828125,1,pay,6.3828125,pay
meta-llama/Meta-Llama-3-8B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",J,-8.3046875,1,umbrella,8.3046875,umbrella
meta-llama/Meta-Llama-3-8B,"I got a car for my wife, and I thought it was a good choice.",S,-4.203125,1,choice,4.203125,choice
meta-llama/Meta-Llama-3-8B,"I got a car for my wife, and I thought it was a good trade.",J,-5.1875,1,trade,5.1875,trade
meta-llama/Meta-Llama-3-8B,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",J,-6.8828125,1,crash,6.8828125,crash
meta-llama/Meta-Llama-3-8B,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",S,-4.6875,1,delay,4.6875,delay
meta-llama/Meta-Llama-3-8B,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,J,-11.3046875,1,booth,11.3046875,booth
meta-llama/Meta-Llama-3-8B,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,S,-7.9335938,1,line,7.9335938,line
meta-llama/Meta-Llama-3-8B,I know one couple who got divorced and had to leave the house to the attorney.,J,-10.1953125,1,attorney,10.1953125,attorney
meta-llama/Meta-Llama-3-8B,I know one couple who got divorced and had to leave the house to the daughter.,S,-7.0976562,1,daughter,7.0976562,daughter
meta-llama/Meta-Llama-3-8B,"I still miss my ex-wife, but I am improving my aim.",J,-7.3828125,1,aim,7.3828125,aim
meta-llama/Meta-Llama-3-8B,"I still miss my ex-wife, but I am improving my ego.",S,-9.1640625,1,ego,9.1640625,ego
meta-llama/Meta-Llama-3-8B,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,S,-9.4453125,1,nighttime,9.4453125,nighttime
meta-llama/Meta-Llama-3-8B,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,J,-14.1953125,1,Renaissance,14.1953125,Renaissance
meta-llama/Meta-Llama-3-8B,"I've got Parkinson's disease, and he's got gout.",S,-7.61920171,2,gout,7.61920171,gout
meta-llama/Meta-Llama-3-8B,"I've got Parkinson's disease, and he's got mine.",J,-6.0351562,1,mine,6.0351562,mine
meta-llama/Meta-Llama-3-8B,"If there's one thing that counts in business, it's bookkeepers.",J,-16.0976562,2,bookkeepers,16.0976562,bookkeepers
meta-llama/Meta-Llama-3-8B,"If there's one thing that counts in business, it's resources.",S,-8.921875,1,resources,8.921875,resources
meta-llama/Meta-Llama-3-8B,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",J,-18.625,1,cleaner,18.625,cleaner
meta-llama/Meta-Llama-3-8B,"If you're filthy rich, sending your kids to college is a wonderful luxury.",S,-3.9277344,1,luxury,3.9277344,luxury
meta-llama/Meta-Llama-3-8B,In some marriages the bride is given away by the family.,S,-4.6875,1,family,4.6875,family
meta-llama/Meta-Llama-3-8B,In some marriages the bride is given away by the press.,J,-13.7578125,1,press,13.7578125,press
meta-llama/Meta-Llama-3-8B,"In the game of golf, nothing counts as much as your drives.",S,-7.1210938,1,drives,7.1210938,drives
meta-llama/Meta-Llama-3-8B,"In the game of golf, nothing counts as much as your opponent.",J,-7.4257812,1,opponent,7.4257812,opponent
meta-llama/Meta-Llama-3-8B,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",E,-1.1679688,1,copper,1.1679688,copper
meta-llama/Meta-Llama-3-8B,"It was so hot at Playboy, the centerfold took off her bikini.",S,-3.2773438,1,bikini,3.2773438,bikini
meta-llama/Meta-Llama-3-8B,"It was so hot at Playboy, the centerfold took off her staple.",J,-12.1015625,1,staple,12.1015625,staple
meta-llama/Meta-Llama-3-8B,It was too hot to sleep in a bed so he strung up a mesh hammock.,E,-0.44013976613000005,2,hammock,0.44013976613000005,hammock
meta-llama/Meta-Llama-3-8B,"It's always nicer to give than to receive, especially when it's your opinion.",J,-8.6796875,1,opinion,8.6796875,opinion
meta-llama/Meta-Llama-3-8B,"It's always nicer to give than to receive, especially when it's your parents.",S,-5.328125,1,parents,5.328125,parents
meta-llama/Meta-Llama-3-8B,It's extraordinary what fine poker hand you get when you're playing bridge.,J,-7.359375,1,bridge,7.359375,bridge
meta-llama/Meta-Llama-3-8B,It's extraordinary what fine poker hand you get when you're playing stud.,S,-6.84375,1,stud,6.84375,stud
meta-llama/Meta-Llama-3-8B,It's hard to admit when one is wrong.,E,-0.42333984,1,wrong,0.42333984,wrong
meta-llama/Meta-Llama-3-8B,"It's hard to raise a family nowadays, especially in the country.",S,-4.8085938,1,country,4.8085938,country
meta-llama/Meta-Llama-3-8B,"It's hard to raise a family nowadays, especially in the morning.",J,-8.8125,1,morning,8.8125,morning
meta-llama/Meta-Llama-3-8B,It's not hard to meet expenses; they're affordable.,S,-7.1523438,1,affordable,7.1523438,affordable
meta-llama/Meta-Llama-3-8B,It's not hard to meet expenses; they're everywhere.,J,-3.5019531,1,everywhere,3.5019531,everywhere
meta-llama/Meta-Llama-3-8B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,S,-1.9453125,1,bird,1.9453125,bird
meta-llama/Meta-Llama-3-8B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,J,-5.984375,1,kids,5.984375,kids
meta-llama/Meta-Llama-3-8B,"Love has its benefits, and they are usually called alimony.",J,-8.57177734,2,alimony,8.57177734,alimony
meta-llama/Meta-Llama-3-8B,"Love has its benefits, and they are usually called memories.",S,-7.4765625,1,memories,7.4765625,memories
meta-llama/Meta-Llama-3-8B,Many a freshman helps the college of his choice by becoming a dropout.,J,-10.0078125,1,dropout,10.0078125,dropout
meta-llama/Meta-Llama-3-8B,Many a freshman helps the college of his choice by becoming a member.,S,-3.2597656,1,member,3.2597656,member
meta-llama/Meta-Llama-3-8B,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,J,-15.296875,1,blonde,15.296875,blonde
meta-llama/Meta-Llama-3-8B,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,S,-1.4951172,1,palm,1.4951172,palm
meta-llama/Meta-Llama-3-8B,"Many things run in families, especially noses.",J,-8.6015625,1,noses,8.6015625,noses
meta-llama/Meta-Llama-3-8B,"Many things run in families, especially strength.",S,-9.9453125,1,strength,9.9453125,strength
meta-llama/Meta-Llama-3-8B,Modern science is amazing: garbage is now being made into gasoline.,S,-4.1445312,1,gasoline,4.1445312,gasoline
meta-llama/Meta-Llama-3-8B,Modern science is amazing: garbage is now being made into movies.,J,-9.9609375,1,movies,9.9609375,movies
meta-llama/Meta-Llama-3-8B,Most cats see very well at night.,E,-0.15344238,1,night,0.15344238,night
meta-llama/Meta-Llama-3-8B,Most of the people running for office are not politicians; they're candidates.,S,-5.3046875,1,candidates,5.3046875,candidates
meta-llama/Meta-Llama-3-8B,Most of the people running for office are not politicians; they're commuters.,J,-10.71875,1,commuters,10.71875,commuters
meta-llama/Meta-Llama-3-8B,Mrs Martin told the bad student to stand in the corner.,E,-0.2854004,1,corner,0.2854004,corner
meta-llama/Meta-Llama-3-8B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,J,-10.96875,1,drinks,10.96875,drinks
meta-llama/Meta-Llama-3-8B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,S,-5.90625,1,stove,5.90625,stove
meta-llama/Meta-Llama-3-8B,My church welcomes all denominations but prefers Mormons.,S,-7.6015625,1,Mormons,7.6015625,Mormons
meta-llama/Meta-Llama-3-8B,My church welcomes all denominations but prefers twenties.,J,-17.046875,1,twenties,17.046875,twenties
meta-llama/Meta-Llama-3-8B,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,J,-13.0703125,1,millionaire,13.0703125,millionaire
meta-llama/Meta-Llama-3-8B,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,S,-7.0625,1,practitioner,7.0625,practitioner
meta-llama/Meta-Llama-3-8B,My husband took the money we were saving to buy a new car and blew it all at the laundry.,J,-11.3984375,1,laundry,11.3984375,laundry
meta-llama/Meta-Llama-3-8B,My husband took the money we were saving to buy a new car and blew it all at the tables.,S,-5.8359375,1,tables,5.8359375,tables
meta-llama/Meta-Llama-3-8B,"My mechanic couldn't fix my brakes, so he fixed my clutch.",S,-7.6171875,1,clutch,7.6171875,clutch
meta-llama/Meta-Llama-3-8B,"My mechanic couldn't fix my brakes, so he fixed my horn.",J,-0.74121094,1,horn,0.74121094,horn
meta-llama/Meta-Llama-3-8B,My wife did natural childbirth: no anesthetic.,S,-5.5488281,2,anesthetic,5.5488281,anesthetic
meta-llama/Meta-Llama-3-8B,My wife did natural childbirth: no makeup.,J,-12.6796875,1,makeup,12.6796875,makeup
meta-llama/Meta-Llama-3-8B,"Nature has three ways of thinning the herd: drought, famine, and hunting.",S,-8.9609375,1,hunting,8.9609375,hunting
meta-llama/Meta-Llama-3-8B,"Nature has three ways of thinning the herd: drought, famine, and primaries.",J,-19.125,1,primaries,19.125,primaries
meta-llama/Meta-Llama-3-8B,No patient should leave the hospital until he's strong enough to face the cashier.,J,-14.3515625,1,cashier,14.3515625,cashier
meta-llama/Meta-Llama-3-8B,No patient should leave the hospital until he's strong enough to face the outside.,S,-1.7226562,1,outside,1.7226562,outside
meta-llama/Meta-Llama-3-8B,None of his books made any sense.,E,-2.3066406,1,sense,2.3066406,sense
meta-llama/Meta-Llama-3-8B,Nothing ages a woman faster than hardships.,S,-13.8203125,1,hardships,13.8203125,hardships
meta-llama/Meta-Llama-3-8B,Nothing ages a woman faster than identification.,J,-13.5703125,1,identification,13.5703125,identification
meta-llama/Meta-Llama-3-8B,Nothing in the known universe travels faster than gossip.,J,-12.9453125,1,gossip,12.9453125,gossip
meta-llama/Meta-Llama-3-8B,Nothing in the known universe travels faster than radiation.,S,-7.9648438,1,radiation,7.9648438,radiation
meta-llama/Meta-Llama-3-8B,Nothing you put in a banana split is as potentially fattening as the spoon.,J,-7.3164062,1,spoon,7.3164062,spoon
meta-llama/Meta-Llama-3-8B,Nothing you put in a banana split is as potentially fattening as the syrup.,S,-6.1992188,1,syrup,6.1992188,syrup
meta-llama/Meta-Llama-3-8B,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",S,-6.9882812,1,careers,6.9882812,careers
meta-llama/Meta-Llama-3-8B,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",J,-3.1704750308,3,nuptials,3.1704750308,nuptials
meta-llama/Meta-Llama-3-8B,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",S,-6.0664062,1,disease,6.0664062,disease
meta-llama/Meta-Llama-3-8B,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",J,-8.515625,1,gambling,8.515625,gambling
meta-llama/Meta-Llama-3-8B,One good turn gets most of the blanket.,J,-10.8046875,1,blanket,10.8046875,blanket
meta-llama/Meta-Llama-3-8B,One good turn gets most of the profit.,S,-5.5898438,1,profit,5.5898438,profit
meta-llama/Meta-Llama-3-8B,One good way to invest in the country is to buy a business.,S,-3.9023438,1,business,3.9023438,business
meta-llama/Meta-Llama-3-8B,One good way to invest in the country is to buy a senator.,J,-13.859375,1,senator,13.859375,senator
meta-llama/Meta-Llama-3-8B,One person who sure makes a long story short is my aunt.,S,-5.7304688,1,aunt,5.7304688,aunt
meta-llama/Meta-Llama-3-8B,One person who sure makes a long story short is my editor.,J,-6.3632812,1,editor,6.3632812,editor
meta-llama/Meta-Llama-3-8B,One thing that makes the world go round is detours.,J,-16.1621094,2,detours,16.1621094,detours
meta-llama/Meta-Llama-3-8B,One thing that makes the world go round is greed.,S,-7.9726562,1,greed,7.9726562,greed
meta-llama/Meta-Llama-3-8B,One way to keep pornography away from teenagers is to put it in a cabinet.,S,-5.4023438,1,cabinet,5.4023438,cabinet
meta-llama/Meta-Llama-3-8B,One way to keep pornography away from teenagers is to put it in a textbook.,J,-8.3125,1,textbook,8.3125,textbook
meta-llama/Meta-Llama-3-8B,Our new green car blocked the narrow driveway.,E,-2.375,1,driveway,2.375,driveway
meta-llama/Meta-Llama-3-8B,Our son brought home a note from school saying they need a written excuse for his presence.,J,-7.0078125,1,presence,7.0078125,presence
meta-llama/Meta-Llama-3-8B,Our son brought home a note from school saying they need a written excuse for his tardiness.,S,-4.0283203,2,tardiness,4.0283203,tardiness
meta-llama/Meta-Llama-3-8B,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",S,-5.8632812,1,diversion,5.8632812,diversion
meta-llama/Meta-Llama-3-8B,"Parents support clubs for teenagers, especially when they lack other forms of punishment.",J,-13.640625,1,punishment,13.640625,punishment
meta-llama/Meta-Llama-3-8B,Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,E,-0.050811768,1,disposal,0.050811768,disposal
