model,sentence,condition,log_prob,num_tokens,identified_token,surprisal,final_word
meta-llama/Meta-Llama-3-70B,Hal wrote her a love letter.,E,-0.14819336,1,letter,0.14819336,letter
meta-llama/Meta-Llama-3-70B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",S,-8.53125,1,change,8.53125,change
meta-llama/Meta-Llama-3-70B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",J,-3.8730469,1,room,3.8730469,room
meta-llama/Meta-Llama-3-70B,He drank so much that he eventually became a beverage.,J,-9.3125,1,beverage,9.3125,beverage
meta-llama/Meta-Llama-3-70B,He drank so much that he eventually became a lush.,S,-4.6992188,1,lush,4.6992188,lush
meta-llama/Meta-Llama-3-70B,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,J,-6.15435791,2,lifeguard,6.15435791,lifeguard
meta-llama/Meta-Llama-3-70B,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,S,-7.9759378386,3,shipwreck,7.9759378386,shipwreck
meta-llama/Meta-Llama-3-70B,He hung her coat in the closet.,E,-0.6225586,1,closet,0.6225586,closet
meta-llama/Meta-Llama-3-70B,He is at the age when all the numbers in his little black book belong to doctors.,J,-5.03125,1,doctors,5.03125,doctors
meta-llama/Meta-Llama-3-70B,He is at the age when all the numbers in his little black book belong to friends.,S,-3.9277344,1,friends,3.9277344,friends
meta-llama/Meta-Llama-3-70B,"He is probably the best boxer in the country, but he always loses in the city.",J,-7.7070312,1,city,7.7070312,city
meta-llama/Meta-Llama-3-70B,"He is probably the best boxer in the country, but he always loses in the competition.",S,-4.8007812,1,competition,4.8007812,competition
meta-llama/Meta-Llama-3-70B,He likes to make things around the house; this week it's the maid.,J,-11.3359375,1,maid,11.3359375,maid
meta-llama/Meta-Llama-3-70B,He likes to make things around the house; this week it's the shelves.,S,-5.53125,1,shelves,5.53125,shelves
meta-llama/Meta-Llama-3-70B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",J,-7.96875,1,quarter,7.96875,quarter
meta-llama/Meta-Llama-3-70B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",S,-4.546875,1,statement,4.546875,statement
meta-llama/Meta-Llama-3-70B,He says he doesn't like to drink because it makes him feel happy.,J,-6.4882812,1,happy,6.4882812,happy
meta-llama/Meta-Llama-3-70B,He says he doesn't like to drink because it makes him feel sad.,S,-3.8691406,1,sad,3.8691406,sad
meta-llama/Meta-Llama-3-70B,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,E,-0.10064697,1,funnel,0.10064697,funnel
meta-llama/Meta-Llama-3-70B,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",E,-3.5019531,1,parallel,3.5019531,parallel
meta-llama/Meta-Llama-3-70B,"He told her he wasn't himself, and she said she'd noticed the improvement.",J,-5.03125,1,improvement,5.03125,improvement
meta-llama/Meta-Llama-3-70B,"He told her he wasn't himself, and she said she'd noticed the problem.",S,-6.5,1,problem,6.5,problem
meta-llama/Meta-Llama-3-70B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",J,-1.3691406,1,balloon,1.3691406,balloon
meta-llama/Meta-Llama-3-70B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",S,-3.9785156,1,truck,3.9785156,truck
meta-llama/Meta-Llama-3-70B,"He told me he's not broke, just badly bent.",J,-0.09869385,1,bent,0.09869385,bent
meta-llama/Meta-Llama-3-70B,"He told me he's not broke, just badly off.",S,-7.8085938,1,off,7.8085938,off
meta-llama/Meta-Llama-3-70B,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,J,-7.8828125,1,lake,7.8828125,lake
meta-llama/Meta-Llama-3-70B,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,S,-5.9951172,2,shallows,5.9951172,shallows
meta-llama/Meta-Llama-3-70B,He wondered if the storm had done much damage.,E,-0.12695312,1,damage,0.12695312,damage
meta-llama/Meta-Llama-3-70B,"He's never given a girl a present, but he did give a few a pretty good reputation.",J,-9.3203125,1,reputation,9.3203125,reputation
meta-llama/Meta-Llama-3-70B,"He's never given a girl a present, but he did give a few a pretty good surprise.",S,-5.4492188,1,surprise,5.4492188,surprise
meta-llama/Meta-Llama-3-70B,He's planning an extended vacation: he hopes to spend three weeks on his couch.,J,-3.9882812,1,couch,3.9882812,couch
meta-llama/Meta-Llama-3-70B,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,S,-4.94012456,2,sailboat,4.94012456,sailboat
meta-llama/Meta-Llama-3-70B,Her press agent was operated on for an ingrown beeper.,J,-10.3886719,2,beeper,10.3886719,beeper
meta-llama/Meta-Llama-3-70B,Her press agent was operated on for an ingrown eyelash.,S,-5.67175293,2,eyelash,5.67175293,eyelash
meta-llama/Meta-Llama-3-70B,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,S,-5.7451171,2,motorist,5.7451171,motorist
meta-llama/Meta-Llama-3-70B,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,J,-9.9296875,2,steamroller,9.9296875,steamroller
meta-llama/Meta-Llama-3-70B,His job was to keep the sidewalk clean.,E,-1.3007812,1,clean,1.3007812,clean
meta-llama/Meta-Llama-3-70B,His sandwich came with chips and a dill pickle.,E,-0.07800293,1,pickle,0.07800293,pickle
meta-llama/Meta-Llama-3-70B,His wife sued for divorce and asked for custody of the cash.,J,-11.5625,1,cash,11.5625,cash
meta-llama/Meta-Llama-3-70B,His wife sued for divorce and asked for custody of the cat.,S,-6.4492188,1,cat,6.4492188,cat
meta-llama/Meta-Llama-3-70B,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.",S,-3.4785156,1,champagne,3.4785156,champagne
meta-llama/Meta-Llama-3-70B,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",J,-9.9140625,1,postage,9.9140625,postage
meta-llama/Meta-Llama-3-70B,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",J,-8.2421875,1,boy,8.2421875,boy
meta-llama/Meta-Llama-3-70B,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",S,-3.390625,1,journalist,3.390625,journalist
meta-llama/Meta-Llama-3-70B,"I asked the florist what I should give to my girlfriend, and he suggested his address.",J,-6.2695312,1,address,6.2695312,address
meta-llama/Meta-Llama-3-70B,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",S,-9.36419678,2,tulips,9.36419678,tulips
meta-llama/Meta-Llama-3-70B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",J,-6.7382812,1,dress,6.7382812,dress
meta-llama/Meta-Llama-3-70B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",S,-4.6601562,1,name,4.6601562,name
meta-llama/Meta-Llama-3-70B,"I can walk on water, but I stagger on alcohol.",J,-5.7148438,1,alcohol,5.7148438,alcohol
meta-llama/Meta-Llama-3-70B,"I can walk on water, but I stagger on concrete.",S,-5.3945312,1,concrete,5.3945312,concrete
meta-llama/Meta-Llama-3-70B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",S,-4.9960938,1,pay,4.9960938,pay
meta-llama/Meta-Llama-3-70B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",J,-7.0898438,1,umbrella,7.0898438,umbrella
meta-llama/Meta-Llama-3-70B,"I got a car for my wife, and I thought it was a good choice.",S,-4.0195312,1,choice,4.0195312,choice
meta-llama/Meta-Llama-3-70B,"I got a car for my wife, and I thought it was a good trade.",J,-5.3945312,1,trade,5.3945312,trade
meta-llama/Meta-Llama-3-70B,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",J,-5.8085938,1,crash,5.8085938,crash
meta-llama/Meta-Llama-3-70B,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",S,-6.1992188,1,delay,6.1992188,delay
meta-llama/Meta-Llama-3-70B,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,J,-4.4570312,1,booth,4.4570312,booth
meta-llama/Meta-Llama-3-70B,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,S,-7.2070312,1,line,7.2070312,line
meta-llama/Meta-Llama-3-70B,I know one couple who got divorced and had to leave the house to the attorney.,J,-9.1796875,1,attorney,9.1796875,attorney
meta-llama/Meta-Llama-3-70B,I know one couple who got divorced and had to leave the house to the daughter.,S,-4.8945312,1,daughter,4.8945312,daughter
meta-llama/Meta-Llama-3-70B,"I still miss my ex-wife, but I am improving my aim.",J,-8.0859375,1,aim,8.0859375,aim
meta-llama/Meta-Llama-3-70B,"I still miss my ex-wife, but I am improving my ego.",S,-9.21875,1,ego,9.21875,ego
meta-llama/Meta-Llama-3-70B,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,S,-8.2265625,1,nighttime,8.2265625,nighttime
meta-llama/Meta-Llama-3-70B,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,J,-4.7539062,1,Renaissance,4.7539062,Renaissance
meta-llama/Meta-Llama-3-70B,"I've got Parkinson's disease, and he's got gout.",S,-7.952819774,2,gout,7.952819774,gout
meta-llama/Meta-Llama-3-70B,"I've got Parkinson's disease, and he's got mine.",J,-5.515625,1,mine,5.515625,mine
meta-llama/Meta-Llama-3-70B,"If there's one thing that counts in business, it's bookkeepers.",J,-16.8398437,2,bookkeepers,16.8398437,bookkeepers
meta-llama/Meta-Llama-3-70B,"If there's one thing that counts in business, it's resources.",S,-8.71875,1,resources,8.71875,resources
meta-llama/Meta-Llama-3-70B,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",J,-17.40625,1,cleaner,17.40625,cleaner
meta-llama/Meta-Llama-3-70B,"If you're filthy rich, sending your kids to college is a wonderful luxury.",S,-4.6523438,1,luxury,4.6523438,luxury
meta-llama/Meta-Llama-3-70B,In some marriages the bride is given away by the family.,S,-5.1132812,1,family,5.1132812,family
meta-llama/Meta-Llama-3-70B,In some marriages the bride is given away by the press.,J,-13.1875,1,press,13.1875,press
meta-llama/Meta-Llama-3-70B,"In the game of golf, nothing counts as much as your drives.",S,-6.3710938,1,drives,6.3710938,drives
meta-llama/Meta-Llama-3-70B,"In the game of golf, nothing counts as much as your opponent.",J,-8.4296875,1,opponent,8.4296875,opponent
meta-llama/Meta-Llama-3-70B,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",E,-0.29882812,1,copper,0.29882812,copper
meta-llama/Meta-Llama-3-70B,"It was so hot at Playboy, the centerfold took off her bikini.",S,-5.140625,1,bikini,5.140625,bikini
meta-llama/Meta-Llama-3-70B,"It was so hot at Playboy, the centerfold took off her staple.",J,-4.6015625,1,staple,4.6015625,staple
meta-llama/Meta-Llama-3-70B,It was too hot to sleep in a bed so he strung up a mesh hammock.,E,-0.6391582477,2,hammock,0.6391582477,hammock
meta-llama/Meta-Llama-3-70B,"It's always nicer to give than to receive, especially when it's your opinion.",J,-6.9882812,1,opinion,6.9882812,opinion
meta-llama/Meta-Llama-3-70B,"It's always nicer to give than to receive, especially when it's your parents.",S,-5.5429688,1,parents,5.5429688,parents
meta-llama/Meta-Llama-3-70B,It's extraordinary what fine poker hand you get when you're playing bridge.,J,-3.9980469,1,bridge,3.9980469,bridge
meta-llama/Meta-Llama-3-70B,It's extraordinary what fine poker hand you get when you're playing stud.,S,-9.1484375,1,stud,9.1484375,stud
meta-llama/Meta-Llama-3-70B,It's hard to admit when one is wrong.,E,-0.38623047,1,wrong,0.38623047,wrong
meta-llama/Meta-Llama-3-70B,"It's hard to raise a family nowadays, especially in the country.",S,-4.96875,1,country,4.96875,country
meta-llama/Meta-Llama-3-70B,"It's hard to raise a family nowadays, especially in the morning.",J,-8.7109375,1,morning,8.7109375,morning
meta-llama/Meta-Llama-3-70B,It's not hard to meet expenses; they're affordable.,S,-16.921875,1,affordable,16.921875,affordable
meta-llama/Meta-Llama-3-70B,It's not hard to meet expenses; they're everywhere.,J,-0.0048446655,1,everywhere,0.0048446655,everywhere
meta-llama/Meta-Llama-3-70B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,S,-1.9482422,1,bird,1.9482422,bird
meta-llama/Meta-Llama-3-70B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,J,-9.78125,1,kids,9.78125,kids
meta-llama/Meta-Llama-3-70B,"Love has its benefits, and they are usually called alimony.",J,-9.24710083,2,alimony,9.24710083,alimony
meta-llama/Meta-Llama-3-70B,"Love has its benefits, and they are usually called memories.",S,-9.1953125,1,memories,9.1953125,memories
meta-llama/Meta-Llama-3-70B,Many a freshman helps the college of his choice by becoming a dropout.,J,-8.7265625,1,dropout,8.7265625,dropout
meta-llama/Meta-Llama-3-70B,Many a freshman helps the college of his choice by becoming a member.,S,-1.9716797,1,member,1.9716797,member
meta-llama/Meta-Llama-3-70B,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,J,-13.5,1,blonde,13.5,blonde
meta-llama/Meta-Llama-3-70B,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,S,-4.3007812,1,palm,4.3007812,palm
meta-llama/Meta-Llama-3-70B,"Many things run in families, especially noses.",J,-8.171875,1,noses,8.171875,noses
meta-llama/Meta-Llama-3-70B,"Many things run in families, especially strength.",S,-9.34375,1,strength,9.34375,strength
meta-llama/Meta-Llama-3-70B,Modern science is amazing: garbage is now being made into gasoline.,S,-3.8691406,1,gasoline,3.8691406,gasoline
meta-llama/Meta-Llama-3-70B,Modern science is amazing: garbage is now being made into movies.,J,-10.34375,1,movies,10.34375,movies
meta-llama/Meta-Llama-3-70B,Most cats see very well at night.,E,-0.071777344,1,night,0.071777344,night
meta-llama/Meta-Llama-3-70B,Most of the people running for office are not politicians; they're candidates.,S,-6.8164062,1,candidates,6.8164062,candidates
meta-llama/Meta-Llama-3-70B,Most of the people running for office are not politicians; they're commuters.,J,-11.609375,1,commuters,11.609375,commuters
meta-llama/Meta-Llama-3-70B,Mrs Martin told the bad student to stand in the corner.,E,-0.12609863,1,corner,0.12609863,corner
meta-llama/Meta-Llama-3-70B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,J,-9.0859375,1,drinks,9.0859375,drinks
meta-llama/Meta-Llama-3-70B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,S,-5.5273438,1,stove,5.5273438,stove
meta-llama/Meta-Llama-3-70B,My church welcomes all denominations but prefers Mormons.,S,-7.5703125,1,Mormons,7.5703125,Mormons
meta-llama/Meta-Llama-3-70B,My church welcomes all denominations but prefers twenties.,J,-15.6015625,1,twenties,15.6015625,twenties
meta-llama/Meta-Llama-3-70B,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,J,-13.3828125,1,millionaire,13.3828125,millionaire
meta-llama/Meta-Llama-3-70B,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,S,-6.0429688,1,practitioner,6.0429688,practitioner
meta-llama/Meta-Llama-3-70B,My husband took the money we were saving to buy a new car and blew it all at the laundry.,J,-13.96875,1,laundry,13.96875,laundry
meta-llama/Meta-Llama-3-70B,My husband took the money we were saving to buy a new car and blew it all at the tables.,S,-6.21875,1,tables,6.21875,tables
meta-llama/Meta-Llama-3-70B,"My mechanic couldn't fix my brakes, so he fixed my clutch.",S,-4.2304688,1,clutch,4.2304688,clutch
meta-llama/Meta-Llama-3-70B,"My mechanic couldn't fix my brakes, so he fixed my horn.",J,-1.8320312,1,horn,1.8320312,horn
meta-llama/Meta-Llama-3-70B,My wife did natural childbirth: no anesthetic.,S,-4.94482417,2,anesthetic,4.94482417,anesthetic
meta-llama/Meta-Llama-3-70B,My wife did natural childbirth: no makeup.,J,-11.6796875,1,makeup,11.6796875,makeup
meta-llama/Meta-Llama-3-70B,"Nature has three ways of thinning the herd: drought, famine, and hunting.",S,-7.9570312,1,hunting,7.9570312,hunting
meta-llama/Meta-Llama-3-70B,"Nature has three ways of thinning the herd: drought, famine, and primaries.",J,-15.5546875,1,primaries,15.5546875,primaries
meta-llama/Meta-Llama-3-70B,No patient should leave the hospital until he's strong enough to face the cashier.,J,-9.71875,1,cashier,9.71875,cashier
meta-llama/Meta-Llama-3-70B,No patient should leave the hospital until he's strong enough to face the outside.,S,-2.2148438,1,outside,2.2148438,outside
meta-llama/Meta-Llama-3-70B,None of his books made any sense.,E,-2.3789062,1,sense,2.3789062,sense
meta-llama/Meta-Llama-3-70B,Nothing ages a woman faster than hardships.,S,-12.4921875,1,hardships,12.4921875,hardships
meta-llama/Meta-Llama-3-70B,Nothing ages a woman faster than identification.,J,-13.609375,1,identification,13.609375,identification
meta-llama/Meta-Llama-3-70B,Nothing in the known universe travels faster than gossip.,J,-17.875,1,gossip,17.875,gossip
meta-llama/Meta-Llama-3-70B,Nothing in the known universe travels faster than radiation.,S,-10.2734375,1,radiation,10.2734375,radiation
meta-llama/Meta-Llama-3-70B,Nothing you put in a banana split is as potentially fattening as the spoon.,J,-7.2890625,1,spoon,7.2890625,spoon
meta-llama/Meta-Llama-3-70B,Nothing you put in a banana split is as potentially fattening as the syrup.,S,-4.9296875,1,syrup,4.9296875,syrup
meta-llama/Meta-Llama-3-70B,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",S,-6.2890625,1,careers,6.2890625,careers
meta-llama/Meta-Llama-3-70B,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",J,-6.0915527845,3,nuptials,6.0915527845,nuptials
meta-llama/Meta-Llama-3-70B,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",S,-5.3125,1,disease,5.3125,disease
meta-llama/Meta-Llama-3-70B,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",J,-5.3203125,1,gambling,5.3203125,gambling
meta-llama/Meta-Llama-3-70B,One good turn gets most of the blanket.,J,-5.3046875,1,blanket,5.3046875,blanket
meta-llama/Meta-Llama-3-70B,One good turn gets most of the profit.,S,-12.2265625,1,profit,12.2265625,profit
meta-llama/Meta-Llama-3-70B,One good way to invest in the country is to buy a business.,S,-4.3359375,1,business,4.3359375,business
meta-llama/Meta-Llama-3-70B,One good way to invest in the country is to buy a senator.,J,-13.828125,1,senator,13.828125,senator
meta-llama/Meta-Llama-3-70B,One person who sure makes a long story short is my aunt.,S,-5.3984375,1,aunt,5.3984375,aunt
meta-llama/Meta-Llama-3-70B,One person who sure makes a long story short is my editor.,J,-6.3359375,1,editor,6.3359375,editor
meta-llama/Meta-Llama-3-70B,One thing that makes the world go round is detours.,J,-15.6777344,2,detours,15.6777344,detours
meta-llama/Meta-Llama-3-70B,One thing that makes the world go round is greed.,S,-6.1875,1,greed,6.1875,greed
meta-llama/Meta-Llama-3-70B,One way to keep pornography away from teenagers is to put it in a cabinet.,S,-6.9375,1,cabinet,6.9375,cabinet
meta-llama/Meta-Llama-3-70B,One way to keep pornography away from teenagers is to put it in a textbook.,J,-4.4765625,1,textbook,4.4765625,textbook
meta-llama/Meta-Llama-3-70B,Our new green car blocked the narrow driveway.,E,-2.9375,1,driveway,2.9375,driveway
meta-llama/Meta-Llama-3-70B,Our son brought home a note from school saying they need a written excuse for his presence.,J,-9.5390625,1,presence,9.5390625,presence
meta-llama/Meta-Llama-3-70B,Our son brought home a note from school saying they need a written excuse for his tardiness.,S,-4.99768066,2,tardiness,4.99768066,tardiness
meta-llama/Meta-Llama-3-70B,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",S,-7.3242188,1,diversion,7.3242188,diversion
meta-llama/Meta-Llama-3-70B,"Parents support clubs for teenagers, especially when they lack other forms of punishment.",J,-12.65625,1,punishment,12.65625,punishment
meta-llama/Meta-Llama-3-70B,Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,E,-0.12188721,1,disposal,0.12188721,disposal
