model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
mistralai/Mixtral-8x7B-v0.1,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,0,J,yes,-2.4472656,-3.3378906,0.890625
mistralai/Mixtral-8x7B-v0.1,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,0,S,yes,-2.5859375,-3.6796875,1.09375
mistralai/Mixtral-8x7B-v0.1,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,0,J,yes,-2.5800781,-4.0507812,1.4707031000000002
mistralai/Mixtral-8x7B-v0.1,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,0,S,yes,-2.5,-4.109375,1.609375
mistralai/Mixtral-8x7B-v0.1,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,0,J,no,-3.1054688,-2.4648438,-0.640625
mistralai/Mixtral-8x7B-v0.1,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,0,S,no,-2.8144531,-2.8613281,0.046875
mistralai/Mixtral-8x7B-v0.1,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,0,J,yes,-2.5625,-3.546875,0.984375
mistralai/Mixtral-8x7B-v0.1,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,0,S,yes,-2.4824219,-3.5449219,1.0625
mistralai/Mixtral-8x7B-v0.1,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,0,E,yes,-2.2421875,-3.6796875,1.4375
mistralai/Mixtral-8x7B-v0.1,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,0,E,yes,-2.1738281,-4.1757812,2.0019531
mistralai/Mixtral-8x7B-v0.1,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,0,E,yes,-2.0214844,-3.8964844,1.875
mistralai/Mixtral-8x7B-v0.1,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,0,E,yes,-2.2695312,-3.7695312,1.5
mistralai/Mixtral-8x7B-v0.1,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,0,S,no,-2.9628906,-2.6816406,-0.28125
mistralai/Mixtral-8x7B-v0.1,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,0,J,yes,-2.5292969,-3.4042969,0.875
mistralai/Mixtral-8x7B-v0.1,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,0,S,no,-2.5800781,-3.0957031,0.515625
mistralai/Mixtral-8x7B-v0.1,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,0,J,yes,-2.2636719,-3.4511719,1.1875
mistralai/Mixtral-8x7B-v0.1,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,0,E,yes,-2.4199219,-4.109375,1.6894531000000002
mistralai/Mixtral-8x7B-v0.1,"Figures don't lie, except on the beaches.",People lie in the sand.,0,J,yes,-2.5761719,-3.3574219,0.78125
mistralai/Mixtral-8x7B-v0.1,"Figures don't lie, except on the page.",Statistics are completely reliable.,0,S,no,-2.78125,-3.171875,0.390625
mistralai/Mixtral-8x7B-v0.1,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,0,J,no,-2.8515625,-3.6328125,0.78125
mistralai/Mixtral-8x7B-v0.1,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,0,S,yes,-2.7988281,-3.7363281,0.9375
mistralai/Mixtral-8x7B-v0.1,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,0,E,yes,-2.3203125,-4.2734375,1.953125
mistralai/Mixtral-8x7B-v0.1,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,0,E,yes,-2.390625,-3.890625,1.5
mistralai/Mixtral-8x7B-v0.1,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,0,J,yes,-2.6816406,-3.4003906,0.71875
mistralai/Mixtral-8x7B-v0.1,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,0,S,no,-2.8496094,-2.8808594,0.03125
mistralai/Mixtral-8x7B-v0.1,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,0,E,yes,-2.171875,-4.125,1.953125
mistralai/Mixtral-8x7B-v0.1,Hal wrote her a love letter.,Hal didn't like her very much.,0,E,no,-2.7519531,-2.6738281,-0.078125
mistralai/Mixtral-8x7B-v0.1,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,0,S,yes,-2.671875,-3.53125,0.859375
mistralai/Mixtral-8x7B-v0.1,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,0,J,no,-2.8085938,-3.4335938,0.625
mistralai/Mixtral-8x7B-v0.1,He drank so much that he eventually became a beverage.,He gave up drinking.,0,J,no,-2.6875,-3.140625,0.453125
mistralai/Mixtral-8x7B-v0.1,He drank so much that he eventually became a lush.,He became an alcoholic.,0,S,yes,-2.1738281,-4.0976562,1.9238281000000002
mistralai/Mixtral-8x7B-v0.1,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,0,J,no,-2.4453125,-3.4140625,0.96875
mistralai/Mixtral-8x7B-v0.1,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,0,S,yes,-2.2207031,-3.9863281,1.765625
mistralai/Mixtral-8x7B-v0.1,He hung her coat in the closet.,She had been wearing a coat.,0,E,yes,-2.1875,-4.484375,2.296875
mistralai/Mixtral-8x7B-v0.1,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,0,J,yes,-2.40625,-3.609375,1.203125
mistralai/Mixtral-8x7B-v0.1,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,0,S,no,-2.7207031,-3.6113281,0.890625
mistralai/Mixtral-8x7B-v0.1,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,0,J,no,-2.6582031,-3.2832031,0.625
mistralai/Mixtral-8x7B-v0.1,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,0,S,no,-2.9296875,-2.5859375,-0.34375
mistralai/Mixtral-8x7B-v0.1,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,0,J,yes,-2.4902344,-3.4121094,0.921875
mistralai/Mixtral-8x7B-v0.1,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,0,S,no,-2.9355469,-2.8730469,-0.0625
mistralai/Mixtral-8x7B-v0.1,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,0,J,no,-2.5644531,-3.4394531,0.875
mistralai/Mixtral-8x7B-v0.1,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,0,S,no,-2.9238281,-3.1425781,0.21875
mistralai/Mixtral-8x7B-v0.1,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,0,J,no,-2.9824219,-3.4355469,0.453125
mistralai/Mixtral-8x7B-v0.1,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,0,S,yes,-2.4882812,-3.9882812,1.5
mistralai/Mixtral-8x7B-v0.1,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,0,E,yes,-2.3710938,-3.7773438,1.40625
mistralai/Mixtral-8x7B-v0.1,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,0,E,no,-2.7128906,-3.5097656,0.796875
mistralai/Mixtral-8x7B-v0.1,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,0,J,yes,-2.5058594,-3.4902344,0.984375
mistralai/Mixtral-8x7B-v0.1,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,0,S,no,-2.8242188,-3.0429688,0.21875
mistralai/Mixtral-8x7B-v0.1,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,0,J,no,-2.6992188,-3.5898438,0.890625
mistralai/Mixtral-8x7B-v0.1,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,0,S,yes,-2.4355469,-3.6230469,1.1875
mistralai/Mixtral-8x7B-v0.1,"He told me he's not broke, just badly bent.",He's doing quite well.,0,J,no,-2.8125,-3.53125,0.71875
mistralai/Mixtral-8x7B-v0.1,"He told me he's not broke, just badly off.",He has lots of money.,0,S,no,-3.0527344,-2.9746094,-0.078125
mistralai/Mixtral-8x7B-v0.1,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,0,J,no,-2.3105469,-3.6074219,1.296875
mistralai/Mixtral-8x7B-v0.1,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,0,S,yes,-2.5273438,-3.4335938,0.90625
mistralai/Mixtral-8x7B-v0.1,He wondered if the storm had done much damage.,It had been a terrible storm.,0,E,yes,-2.6425781,-4.140625,1.4980468999999998
mistralai/Mixtral-8x7B-v0.1,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,0,J,no,-2.8710938,-3.5429688,0.671875
mistralai/Mixtral-8x7B-v0.1,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,0,S,no,-2.953125,-2.71875,-0.234375
mistralai/Mixtral-8x7B-v0.1,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,0,J,yes,-2.3554688,-3.7773438,1.421875
mistralai/Mixtral-8x7B-v0.1,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,0,S,yes,-2.1855469,-3.7949219,1.609375
mistralai/Mixtral-8x7B-v0.1,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,0,J,no,-2.5039062,-3.1914062,0.6875
mistralai/Mixtral-8x7B-v0.1,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,0,S,yes,-2.5332031,-2.8925781,0.359375
mistralai/Mixtral-8x7B-v0.1,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,0,S,yes,-2.4433594,-3.7871094,1.34375
mistralai/Mixtral-8x7B-v0.1,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,0,J,no,-2.9121094,-2.8964844,-0.015625
mistralai/Mixtral-8x7B-v0.1,His job was to keep the sidewalk clean.,He was a doctor.,0,E,no,-3.0195312,-2.7382812,-0.28125
mistralai/Mixtral-8x7B-v0.1,His sandwich came with chips and a dill pickle.,He was about to eat.,0,E,yes,-2.421875,-3.78125,1.359375
mistralai/Mixtral-8x7B-v0.1,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,0,J,yes,-2.2636719,-3.8261719,1.5625
mistralai/Mixtral-8x7B-v0.1,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,0,S,yes,-2.3066406,-3.6035156,1.296875
mistralai/Mixtral-8x7B-v0.1,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",0,S,no,-3.0039062,-2.6914062,-0.3125
mistralai/Mixtral-8x7B-v0.1,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,0,J,yes,-2.1386719,-3.2792969,1.140625
mistralai/Mixtral-8x7B-v0.1,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,0,J,yes,-2.6289062,-3.4882812,0.859375
mistralai/Mixtral-8x7B-v0.1,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,0,S,no,-2.7421875,-3.1796875,0.4375
mistralai/Mixtral-8x7B-v0.1,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,0,J,yes,-2.2714844,-3.0527344,0.78125
mistralai/Mixtral-8x7B-v0.1,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,0,S,no,-2.6914062,-2.9101562,0.21875
mistralai/Mixtral-8x7B-v0.1,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,0,J,yes,-2.296875,-3.53125,1.234375
mistralai/Mixtral-8x7B-v0.1,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,0,S,no,-2.4550781,-3.5644531,1.109375
mistralai/Mixtral-8x7B-v0.1,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,0,J,no,-2.796875,-2.875,0.078125
mistralai/Mixtral-8x7B-v0.1,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,0,S,no,-2.8222656,-2.9472656,0.125
mistralai/Mixtral-8x7B-v0.1,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,0,S,yes,-2.3300781,-3.8300781,1.5
mistralai/Mixtral-8x7B-v0.1,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,0,J,no,-2.5390625,-3.3984375,0.859375
mistralai/Mixtral-8x7B-v0.1,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,0,S,yes,-2.1777344,-3.8808594,1.703125
mistralai/Mixtral-8x7B-v0.1,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,0,J,yes,-2.6328125,-3.0234375,0.390625
mistralai/Mixtral-8x7B-v0.1,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,0,J,yes,-2.59375,-3.3125,0.71875
mistralai/Mixtral-8x7B-v0.1,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,0,S,yes,-2.6269531,-3.5957031,0.96875
mistralai/Mixtral-8x7B-v0.1,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,0,J,no,-2.7128906,-3.0722656,0.359375
mistralai/Mixtral-8x7B-v0.1,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,0,S,no,-2.7382812,-3.0039062,0.265625
mistralai/Mixtral-8x7B-v0.1,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,0,J,yes,-2.4277344,-3.5683594,1.140625
mistralai/Mixtral-8x7B-v0.1,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,0,S,yes,-2.3359375,-3.5390625,1.203125
mistralai/Mixtral-8x7B-v0.1,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,0,J,yes,-2.6113281,-3.0644531,0.453125
mistralai/Mixtral-8x7B-v0.1,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,0,S,yes,-2.640625,-3.40625,0.765625
mistralai/Mixtral-8x7B-v0.1,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,0,S,yes,-2.203125,-3.453125,1.25
mistralai/Mixtral-8x7B-v0.1,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,0,J,yes,-2.4199219,-3.4511719,1.03125
mistralai/Mixtral-8x7B-v0.1,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,0,S,no,-3.1367188,-3.0742188,-0.0625
mistralai/Mixtral-8x7B-v0.1,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,0,J,no,-3.0214844,-3.5996094,0.578125
mistralai/Mixtral-8x7B-v0.1,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,0,J,yes,-2.5976562,-3.9414062,1.34375
mistralai/Mixtral-8x7B-v0.1,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,0,S,yes,-2.5703125,-3.6171875,1.046875
mistralai/Mixtral-8x7B-v0.1,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,0,J,yes,-2.7988281,-3.5488281,0.75
mistralai/Mixtral-8x7B-v0.1,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,0,S,yes,-2.6015625,-3.7109375,1.109375
mistralai/Mixtral-8x7B-v0.1,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,0,S,no,-2.7929688,-2.7617188,-0.03125
mistralai/Mixtral-8x7B-v0.1,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,0,J,yes,-2.390625,-3.390625,1.0
mistralai/Mixtral-8x7B-v0.1,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,0,S,no,-3.0605469,-2.7792969,-0.28125
mistralai/Mixtral-8x7B-v0.1,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,0,J,yes,-2.5507812,-3.5507812,1.0
mistralai/Mixtral-8x7B-v0.1,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,0,E,no,-2.8476562,-2.3320312,-0.515625
mistralai/Mixtral-8x7B-v0.1,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,0,S,yes,-2.2597656,-3.1191406,0.859375
mistralai/Mixtral-8x7B-v0.1,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,0,J,yes,-2.3320312,-3.3320312,1.0
mistralai/Mixtral-8x7B-v0.1,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,0,E,yes,-2.3808594,-4.0664062,1.6855468000000005
mistralai/Mixtral-8x7B-v0.1,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,0,J,yes,-2.546875,-3.5,0.953125
mistralai/Mixtral-8x7B-v0.1,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,0,S,yes,-2.5703125,-3.4453125,0.875
mistralai/Mixtral-8x7B-v0.1,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,0,J,no,-2.7773438,-3.8085938,1.03125
mistralai/Mixtral-8x7B-v0.1,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,0,S,no,-3.0683594,-3.8027344,0.734375
mistralai/Mixtral-8x7B-v0.1,It's hard to admit when one is wrong.,Most people don't mind being wrong.,0,E,no,-3.0605469,-2.6386719,-0.421875
mistralai/Mixtral-8x7B-v0.1,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,0,S,no,-2.8535156,-2.5410156,-0.3125
mistralai/Mixtral-8x7B-v0.1,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,0,J,yes,-2.4082031,-3.5644531,1.15625
mistralai/Mixtral-8x7B-v0.1,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,0,S,yes,-2.8007812,-3.7851562,0.984375
mistralai/Mixtral-8x7B-v0.1,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,0,J,no,-2.703125,-3.140625,0.4375
mistralai/Mixtral-8x7B-v0.1,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,0,S,yes,-2.1464844,-4.3632812,2.2167968000000005
mistralai/Mixtral-8x7B-v0.1,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,0,J,no,-2.6894531,-2.9707031,0.28125
mistralai/Mixtral-8x7B-v0.1,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,0,J,yes,-2.3085938,-3.4960938,1.1875
mistralai/Mixtral-8x7B-v0.1,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,0,S,yes,-2.7148438,-3.1679688,0.453125
mistralai/Mixtral-8x7B-v0.1,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",0,J,no,-2.796875,-3.359375,0.5625
mistralai/Mixtral-8x7B-v0.1,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,0,S,no,-3.0117188,-3.2148438,0.203125
mistralai/Mixtral-8x7B-v0.1,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,0,J,no,-2.7011719,-2.7167969,0.015625
mistralai/Mixtral-8x7B-v0.1,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,0,S,yes,-2.5839844,-3.9746094,1.390625
mistralai/Mixtral-8x7B-v0.1,"Many things run in families, especially noses.",People often catch colds from other family members.,0,J,yes,-2.7890625,-3.1171875,0.328125
mistralai/Mixtral-8x7B-v0.1,"Many things run in families, especially strength.",Muscle power comes only from exercise.,0,S,no,-2.7890625,-3.0078125,0.21875
mistralai/Mixtral-8x7B-v0.1,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,0,S,yes,-2.3300781,-3.7675781,1.4375
mistralai/Mixtral-8x7B-v0.1,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,0,J,yes,-2.5917969,-3.3574219,0.765625
mistralai/Mixtral-8x7B-v0.1,Most cats see very well at night.,Cats see well in the dark.,0,E,yes,-2.2050781,-4.1875,1.9824218999999998
mistralai/Mixtral-8x7B-v0.1,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,0,S,yes,-2.7402344,-3.7089844,0.96875
mistralai/Mixtral-8x7B-v0.1,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,0,J,yes,-2.7910156,-3.4316406,0.640625
mistralai/Mixtral-8x7B-v0.1,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,0,E,yes,-2.4101562,-4.1757812,1.7656250000000004
mistralai/Mixtral-8x7B-v0.1,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,0,J,no,-2.5214844,-3.1464844,0.625
