model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,0,J,yes,-2.15625,-3.7109375,1.5546875
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,0,S,yes,-2.0644531,-3.6113281,1.546875
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,0,J,yes,-2.1582031,-3.8769531,1.71875
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,0,S,no,-2.5800781,-3.0722656,0.4921875
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,0,S,yes,-2.1171875,-3.6328125,1.515625
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,0,J,no,-2.4726562,-3.2929688,0.8203126000000003
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,0,J,no,-2.2070312,-3.7382812,1.53125
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,0,S,no,-2.9960938,-3.3476562,0.3515623999999997
meta-llama/Meta-Llama-3-8B,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,0,E,yes,-2.2402344,-3.8027344,1.5625
meta-llama/Meta-Llama-3-8B,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,0,E,no,-2.6660156,-3.1113281,0.4453125
meta-llama/Meta-Llama-3-8B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,0,E,yes,-1.90625,-3.7734375,1.8671875
meta-llama/Meta-Llama-3-8B,Bill jumped in the lake and made a big splash.,Bill went for a swim.,0,E,yes,-2.2421875,-3.9296875,1.6875
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,0,J,no,-2.5039062,-3.2695312,0.765625
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,0,S,no,-2.4765625,-3.359375,0.8828125
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,0,J,yes,-2.1230469,-3.2792969,1.15625
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,0,S,yes,-2.0996094,-3.1855469,1.0859375
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,0,J,yes,-2.2675781,-3.7207031,1.453125
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,0,S,yes,-2.3300781,-4.0273438,1.6972656999999995
meta-llama/Meta-Llama-3-8B,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,0,J,no,-2.828125,-3.125,0.296875
meta-llama/Meta-Llama-3-8B,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,0,S,no,-2.6289062,-3.1210938,0.4921876000000003
meta-llama/Meta-Llama-3-8B,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,0,J,yes,-2.3144531,-3.4003906,1.0859375
meta-llama/Meta-Llama-3-8B,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,0,S,yes,-2.3320312,-3.3710938,1.0390626000000003
meta-llama/Meta-Llama-3-8B,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,0,E,yes,-1.8583984,-4.421875,2.5634766
meta-llama/Meta-Llama-3-8B,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,0,E,yes,-2.0019531,-3.8144531,1.8125
meta-llama/Meta-Llama-3-8B,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,0,E,yes,-2.0703125,-3.5625,1.4921875
meta-llama/Meta-Llama-3-8B,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,0,E,yes,-2.0019531,-4.0898438,2.0878906999999995
meta-llama/Meta-Llama-3-8B,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,0,S,no,-2.4082031,-3.2597656,0.8515625
meta-llama/Meta-Llama-3-8B,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,0,J,yes,-2.1054688,-3.4257812,1.3203123999999997
meta-llama/Meta-Llama-3-8B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,0,S,no,-2.3613281,-3.6191406,1.2578125
meta-llama/Meta-Llama-3-8B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,0,J,yes,-2.4609375,-3.296875,0.8359375
meta-llama/Meta-Llama-3-8B,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,0,E,yes,-2.0605469,-4.3632812,2.3027343000000005
meta-llama/Meta-Llama-3-8B,"Figures don't lie, except on the beaches.",People lie in the sand.,0,J,yes,-2.3476562,-3.3085938,0.9609376000000003
meta-llama/Meta-Llama-3-8B,"Figures don't lie, except on the page.",Statistics are completely reliable.,0,S,no,-2.6425781,-3.3457031,0.703125
meta-llama/Meta-Llama-3-8B,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,0,J,no,-2.3515625,-3.65625,1.3046875
meta-llama/Meta-Llama-3-8B,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,0,S,yes,-2.2070312,-3.5664062,1.359375
meta-llama/Meta-Llama-3-8B,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,0,E,yes,-1.953125,-3.8359375,1.8828125
meta-llama/Meta-Llama-3-8B,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,0,E,yes,-2.2597656,-3.4082031,1.1484375
meta-llama/Meta-Llama-3-8B,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,0,J,yes,-2.4375,-3.28125,0.84375
meta-llama/Meta-Llama-3-8B,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,0,S,no,-2.5957031,-3.3222656,0.7265625
meta-llama/Meta-Llama-3-8B,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,0,E,yes,-2.0332031,-4.03125,1.9980468999999998
meta-llama/Meta-Llama-3-8B,Hal wrote her a love letter.,Hal didn't like her very much.,0,E,no,-2.9433594,-3.5996094,0.65625
meta-llama/Meta-Llama-3-8B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,0,S,yes,-2.0253906,-3.4941406,1.46875
meta-llama/Meta-Llama-3-8B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,0,J,no,-2.2382812,-3.3554688,1.1171876000000003
meta-llama/Meta-Llama-3-8B,He drank so much that he eventually became a beverage.,He gave up drinking.,0,J,no,-2.4960938,-3.1757812,0.6796873999999997
meta-llama/Meta-Llama-3-8B,He drank so much that he eventually became a lush.,He became an alcoholic.,0,S,yes,-2.1523438,-4.0820312,1.9296874000000002
meta-llama/Meta-Llama-3-8B,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,0,J,no,-1.9541016,-3.6953125,1.7412109
meta-llama/Meta-Llama-3-8B,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,0,S,yes,-2.0390625,-3.2890625,1.25
meta-llama/Meta-Llama-3-8B,He hung her coat in the closet.,She had been wearing a coat.,0,E,yes,-2.21875,-3.4921875,1.2734375
meta-llama/Meta-Llama-3-8B,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,0,J,yes,-2.359375,-3.3515625,0.9921875
meta-llama/Meta-Llama-3-8B,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,0,S,no,-2.2578125,-3.3984375,1.140625
meta-llama/Meta-Llama-3-8B,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,0,J,no,-2.296875,-3.1171875,0.8203125
meta-llama/Meta-Llama-3-8B,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,0,S,no,-2.4921875,-2.953125,0.4609375
meta-llama/Meta-Llama-3-8B,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,0,J,yes,-2.515625,-3.421875,0.90625
meta-llama/Meta-Llama-3-8B,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,0,S,no,-2.4570312,-3.0351562,0.578125
meta-llama/Meta-Llama-3-8B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,0,J,no,-2.2460938,-3.5585938,1.3125
meta-llama/Meta-Llama-3-8B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,0,S,no,-2.3554688,-3.0898438,0.734375
meta-llama/Meta-Llama-3-8B,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,0,J,no,-2.5,-3.3359375,0.8359375
meta-llama/Meta-Llama-3-8B,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,0,S,yes,-2.0371094,-3.9277344,1.890625
meta-llama/Meta-Llama-3-8B,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,0,E,yes,-2.0605469,-3.4511719,1.390625
meta-llama/Meta-Llama-3-8B,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,0,E,no,-2.3242188,-3.3632812,1.0390623999999997
meta-llama/Meta-Llama-3-8B,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,0,J,yes,-2.390625,-3.09375,0.703125
meta-llama/Meta-Llama-3-8B,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,0,S,no,-2.4941406,-3.1113281,0.6171875
meta-llama/Meta-Llama-3-8B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,0,J,no,-2.3789062,-3.3945312,1.015625
meta-llama/Meta-Llama-3-8B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,0,S,yes,-2.078125,-3.25,1.171875
meta-llama/Meta-Llama-3-8B,"He told me he's not broke, just badly bent.",He's doing quite well.,0,J,no,-2.5585938,-3.4726562,0.9140623999999997
meta-llama/Meta-Llama-3-8B,"He told me he's not broke, just badly off.",He has lots of money.,0,S,no,-2.5859375,-3.3671875,0.78125
meta-llama/Meta-Llama-3-8B,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,0,J,no,-1.9951172,-3.3925781,1.3974609000000002
meta-llama/Meta-Llama-3-8B,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,0,S,yes,-2.2382812,-3.4179688,1.1796876000000003
meta-llama/Meta-Llama-3-8B,He wondered if the storm had done much damage.,It had been a terrible storm.,0,E,yes,-2.3222656,-3.8925781,1.5703125
meta-llama/Meta-Llama-3-8B,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,0,J,no,-2.3125,-3.140625,0.828125
meta-llama/Meta-Llama-3-8B,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,0,S,no,-2.3359375,-2.96875,0.6328125
meta-llama/Meta-Llama-3-8B,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,0,J,yes,-2.3359375,-3.6171875,1.28125
meta-llama/Meta-Llama-3-8B,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,0,S,yes,-2.1972656,-3.9785156,1.78125
meta-llama/Meta-Llama-3-8B,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,0,J,no,-2.3886719,-3.4199219,1.03125
meta-llama/Meta-Llama-3-8B,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,0,S,yes,-2.2773438,-3.4335938,1.15625
meta-llama/Meta-Llama-3-8B,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,0,S,yes,-2.3261719,-3.4824219,1.15625
meta-llama/Meta-Llama-3-8B,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,0,J,no,-2.5351562,-3.0585938,0.5234376000000003
meta-llama/Meta-Llama-3-8B,His job was to keep the sidewalk clean.,He was a doctor.,0,E,no,-2.7792969,-3.0996094,0.3203125
meta-llama/Meta-Llama-3-8B,His sandwich came with chips and a dill pickle.,He was about to eat.,0,E,yes,-2.2890625,-3.328125,1.0390625
meta-llama/Meta-Llama-3-8B,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,0,J,yes,-2.0019531,-3.6425781,1.640625
meta-llama/Meta-Llama-3-8B,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,0,S,yes,-2.21875,-3.6171875,1.3984375
meta-llama/Meta-Llama-3-8B,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",0,S,no,-2.7304688,-3.2773438,0.546875
meta-llama/Meta-Llama-3-8B,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,0,J,yes,-2.5371094,-3.7636719,1.2265625
meta-llama/Meta-Llama-3-8B,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,0,J,yes,-2.2207031,-3.3691406,1.1484375
meta-llama/Meta-Llama-3-8B,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,0,S,no,-2.4414062,-3.4179688,0.9765626000000003
meta-llama/Meta-Llama-3-8B,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,0,J,yes,-2.4355469,-3.3808594,0.9453125
meta-llama/Meta-Llama-3-8B,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,0,S,no,-2.34375,-3.328125,0.984375
meta-llama/Meta-Llama-3-8B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,0,J,yes,-2.1503906,-3.4785156,1.328125
meta-llama/Meta-Llama-3-8B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,0,S,no,-2.2128906,-3.3066406,1.09375
meta-llama/Meta-Llama-3-8B,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,0,J,no,-2.4472656,-3.5019531,1.0546875
meta-llama/Meta-Llama-3-8B,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,0,S,no,-2.4160156,-3.5488281,1.1328125
meta-llama/Meta-Llama-3-8B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,0,S,yes,-1.8925781,-4.0078125,2.1152344000000003
meta-llama/Meta-Llama-3-8B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,0,J,no,-2.1503906,-3.7753906,1.625
meta-llama/Meta-Llama-3-8B,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,0,S,yes,-2.1171875,-3.546875,1.4296875
meta-llama/Meta-Llama-3-8B,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,0,J,yes,-2.34375,-3.375,1.03125
meta-llama/Meta-Llama-3-8B,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,0,J,yes,-2.421875,-3.671875,1.25
meta-llama/Meta-Llama-3-8B,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,0,S,yes,-2.3085938,-3.5507812,1.2421873999999997
meta-llama/Meta-Llama-3-8B,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,0,J,no,-2.5117188,-3.3320312,0.8203123999999997
meta-llama/Meta-Llama-3-8B,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,0,S,no,-2.6113281,-3.0566406,0.4453125
meta-llama/Meta-Llama-3-8B,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,0,J,yes,-2.3300781,-3.5253906,1.1953125
meta-llama/Meta-Llama-3-8B,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,0,S,yes,-2.2753906,-3.4550781,1.1796875
meta-llama/Meta-Llama-3-8B,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,0,J,yes,-2.3554688,-3.4882812,1.1328123999999997
meta-llama/Meta-Llama-3-8B,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,0,S,yes,-2.3164062,-3.7851562,1.46875
meta-llama/Meta-Llama-3-8B,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,0,S,yes,-2.1523438,-3.5195312,1.3671873999999997
meta-llama/Meta-Llama-3-8B,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,0,J,yes,-2.1777344,-3.4199219,1.2421875
meta-llama/Meta-Llama-3-8B,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,0,S,no,-2.25,-3.6015625,1.3515625
meta-llama/Meta-Llama-3-8B,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,0,J,no,-2.3613281,-3.6816406,1.3203125
meta-llama/Meta-Llama-3-8B,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,0,J,yes,-2.1035156,-4.34375,2.2402344
meta-llama/Meta-Llama-3-8B,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,0,S,yes,-2.2851562,-4.0117188,1.7265625999999998
meta-llama/Meta-Llama-3-8B,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,0,J,yes,-2.3125,-3.5546875,1.2421875
meta-llama/Meta-Llama-3-8B,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,0,S,yes,-1.8984375,-3.7578125,1.859375
meta-llama/Meta-Llama-3-8B,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,0,S,no,-2.3535156,-3.6503906,1.296875
meta-llama/Meta-Llama-3-8B,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,0,J,yes,-2.2089844,-3.4355469,1.2265625
meta-llama/Meta-Llama-3-8B,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,0,S,no,-2.6289062,-3.2929688,0.6640626000000003
meta-llama/Meta-Llama-3-8B,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,0,J,yes,-2.4082031,-3.6347656,1.2265625
meta-llama/Meta-Llama-3-8B,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,0,E,no,-2.3359375,-3.2890625,0.953125
meta-llama/Meta-Llama-3-8B,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,0,S,yes,-2.0449219,-3.4511719,1.40625
meta-llama/Meta-Llama-3-8B,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,0,J,yes,-2.1054688,-3.2382812,1.1328123999999997
meta-llama/Meta-Llama-3-8B,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,0,E,yes,-2.15625,-3.7734375,1.6171875
meta-llama/Meta-Llama-3-8B,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,0,J,yes,-2.3398438,-3.5898438,1.25
meta-llama/Meta-Llama-3-8B,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,0,S,yes,-2.1601562,-3.6992188,1.5390626000000003
meta-llama/Meta-Llama-3-8B,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,0,J,no,-2.4277344,-3.8417969,1.4140625
meta-llama/Meta-Llama-3-8B,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,0,S,no,-2.703125,-3.3828125,0.6796875
meta-llama/Meta-Llama-3-8B,It's hard to admit when one is wrong.,Most people don't mind being wrong.,0,E,no,-2.5917969,-3.1152344,0.5234375
meta-llama/Meta-Llama-3-8B,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,0,S,no,-2.6171875,-3.40625,0.7890625
meta-llama/Meta-Llama-3-8B,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,0,J,yes,-2.125,-3.359375,1.234375
meta-llama/Meta-Llama-3-8B,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,0,S,yes,-2.1171875,-3.4453125,1.328125
meta-llama/Meta-Llama-3-8B,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,0,J,no,-2.4238281,-3.6425781,1.21875
meta-llama/Meta-Llama-3-8B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,0,S,yes,-1.8173828,-3.6835938,1.866211
meta-llama/Meta-Llama-3-8B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,0,J,no,-2.1367188,-3.0507812,0.9140623999999997
meta-llama/Meta-Llama-3-8B,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,0,J,yes,-2.1210938,-3.6289062,1.5078123999999997
meta-llama/Meta-Llama-3-8B,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,0,S,yes,-2.015625,-3.7265625,1.7109375
meta-llama/Meta-Llama-3-8B,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",0,J,no,-2.46875,-3.4375,0.96875
meta-llama/Meta-Llama-3-8B,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,0,S,no,-2.6835938,-3.0429688,0.359375
meta-llama/Meta-Llama-3-8B,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,0,J,no,-2.3300781,-3.1816406,0.8515625
meta-llama/Meta-Llama-3-8B,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,0,S,yes,-2.1328125,-3.9453125,1.8125
meta-llama/Meta-Llama-3-8B,"Many things run in families, especially noses.",People often catch colds from other family members.,0,J,yes,-2.4785156,-3.9082031,1.4296875
meta-llama/Meta-Llama-3-8B,"Many things run in families, especially strength.",Muscle power comes only from exercise.,0,S,no,-2.7578125,-3.4765625,0.71875
meta-llama/Meta-Llama-3-8B,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,0,S,yes,-2.0585938,-4.3789062,2.3203124
meta-llama/Meta-Llama-3-8B,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,0,J,yes,-2.3671875,-3.3203125,0.953125
meta-llama/Meta-Llama-3-8B,Most cats see very well at night.,Cats see well in the dark.,0,E,yes,-2.1640625,-4.2109375,2.046875
meta-llama/Meta-Llama-3-8B,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,0,S,yes,-2.4472656,-3.7910156,1.34375
meta-llama/Meta-Llama-3-8B,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,0,J,yes,-2.2773438,-3.7460938,1.46875
meta-llama/Meta-Llama-3-8B,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,0,E,yes,-2.0957031,-3.8847656,1.7890625
meta-llama/Meta-Llama-3-8B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,0,J,no,-2.3613281,-3.4863281,1.125
meta-llama/Meta-Llama-3-8B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,0,S,yes,-2.15625,-4.1171875,1.9609375
meta-llama/Meta-Llama-3-8B,My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,0,S,no,-2.7421875,-3.1875,0.4453125
meta-llama/Meta-Llama-3-8B,My church welcomes all denominations but prefers twenties.,My church wants money.,0,J,yes,-2.3105469,-3.3496094,1.0390625
