sentence,answer,model,condition,correct,cosine_similarity,n_params
"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,bert-base-uncased,J,no,0.8581632971763611,109482240
"Congress taxes our income, our property, and our purchases.",There are very few taxes.,bert-base-uncased,S,no,0.7091692686080933,109482240
"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,bert-base-uncased,J,yes,0.8406636118888855,109482240
"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,bert-base-uncased,S,yes,0.9307004809379578,109482240
Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,bert-base-uncased,E,yes,0.8022758960723877,109482240
"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,bert-base-uncased,E,yes,0.7184601426124573,109482240
Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,bert-base-uncased,E,yes,0.831901490688324,109482240
Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,bert-base-uncased,E,yes,0.8991097211837769,109482240
"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,bert-base-uncased,S,no,0.9308531284332275,109482240
"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,bert-base-uncased,J,yes,0.922105610370636,109482240
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,bert-base-uncased,S,no,0.8028517365455627,109482240
Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,bert-base-uncased,J,yes,0.8318185210227966,109482240
"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,bert-base-uncased,E,yes,0.899181604385376,109482240
"Figures don't lie, except on the beaches.",People lie in the sand.,bert-base-uncased,J,yes,0.8184589147567749,109482240
"Figures don't lie, except on the page.",Statistics are completely reliable.,bert-base-uncased,S,no,0.8867068886756897,109482240
"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,bert-base-uncased,J,no,0.9294154047966003,109482240
"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,bert-base-uncased,S,yes,0.9028167128562927,109482240
"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,bert-base-uncased,E,yes,0.9381232261657715,109482240
For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,bert-base-uncased,E,yes,0.9540521502494812,109482240
"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,bert-base-uncased,J,yes,0.7579218745231628,109482240
"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,bert-base-uncased,S,no,0.8220653533935547,109482240
Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,bert-base-uncased,E,yes,0.8471375703811646,109482240
Hal wrote her a love letter.,Hal didn't like her very much.,bert-base-uncased,E,no,0.9082210659980774,109482240
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,bert-base-uncased,S,yes,0.892777681350708,109482240
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,bert-base-uncased,J,no,0.868852436542511,109482240
He drank so much that he eventually became a beverage.,He gave up drinking.,bert-base-uncased,J,no,0.9194880723953247,109482240
He drank so much that he eventually became a lush.,He became an alcoholic.,bert-base-uncased,S,yes,0.9177250862121582,109482240
He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,bert-base-uncased,J,no,0.891548216342926,109482240
He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,bert-base-uncased,S,yes,0.8433899283409119,109482240
He hung her coat in the closet.,She had been wearing a coat.,bert-base-uncased,E,yes,0.8971526622772217,109482240
He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,bert-base-uncased,J,yes,0.8911621570587158,109482240
He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,bert-base-uncased,S,no,0.8613467812538147,109482240
"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,bert-base-uncased,J,no,0.8029484152793884,109482240
"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,bert-base-uncased,S,no,0.9096682071685791,109482240
He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,bert-base-uncased,J,yes,0.8246259093284607,109482240
He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,bert-base-uncased,S,no,0.898684024810791,109482240
"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,bert-base-uncased,J,no,0.8811070322990417,109482240
"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,bert-base-uncased,S,no,0.8881496787071228,109482240
He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,bert-base-uncased,J,no,0.9116881489753723,109482240
He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,bert-base-uncased,S,yes,0.8587891459465027,109482240
He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,bert-base-uncased,E,yes,0.8807385563850403,109482240
"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,bert-base-uncased,E,no,0.8922463655471802,109482240
"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,bert-base-uncased,J,yes,0.9339810609817505,109482240
"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,bert-base-uncased,S,no,0.898775041103363,109482240
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,bert-base-uncased,J,no,0.8450561165809631,109482240
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,bert-base-uncased,S,yes,0.8318768739700317,109482240
"He told me he's not broke, just badly bent.",He's doing quite well.,bert-base-uncased,J,no,0.9057628512382507,109482240
"He told me he's not broke, just badly off.",He has lots of money.,bert-base-uncased,S,no,0.8930377960205078,109482240
He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,bert-base-uncased,J,no,0.7739669680595398,109482240
He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,bert-base-uncased,S,yes,0.7902048230171204,109482240
He wondered if the storm had done much damage.,It had been a terrible storm.,bert-base-uncased,E,yes,0.943910539150238,109482240
"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,bert-base-uncased,J,no,0.9255754947662354,109482240
"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,bert-base-uncased,S,no,0.8017657399177551,109482240
He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,bert-base-uncased,J,yes,0.9279099702835083,109482240
He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,bert-base-uncased,S,yes,0.9497715830802917,109482240
Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,bert-base-uncased,J,no,0.9202611446380615,109482240
Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,bert-base-uncased,S,yes,0.9176207184791565,109482240
His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,bert-base-uncased,S,yes,0.8314943909645081,109482240
His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,bert-base-uncased,J,no,0.8667942881584167,109482240
His job was to keep the sidewalk clean.,He was a doctor.,bert-base-uncased,E,no,0.8873849511146545,109482240
His sandwich came with chips and a dill pickle.,He was about to eat.,bert-base-uncased,E,yes,0.9224392771720886,109482240
His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,bert-base-uncased,J,yes,0.8627891540527344,109482240
His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,bert-base-uncased,S,yes,0.8429463505744934,109482240
"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",bert-base-uncased,S,no,0.9352443218231201,109482240
"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,bert-base-uncased,J,yes,0.9206909537315369,109482240
"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,bert-base-uncased,J,yes,0.8346278071403503,109482240
"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,bert-base-uncased,S,no,0.8097823858261108,109482240
"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,bert-base-uncased,J,yes,0.8806036710739136,109482240
"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,bert-base-uncased,S,no,0.9055406451225281,109482240
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,bert-base-uncased,J,yes,0.7555351853370667,109482240
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,bert-base-uncased,S,no,0.8230090737342834,109482240
"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,bert-base-uncased,J,no,0.9531834721565247,109482240
"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,bert-base-uncased,S,no,0.9381950497627258,109482240
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,bert-base-uncased,S,yes,0.8832443356513977,109482240
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,bert-base-uncased,J,no,0.8653587698936462,109482240
"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,bert-base-uncased,S,yes,0.9495392441749573,109482240
"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,bert-base-uncased,J,yes,0.8932784199714661,109482240
"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,bert-base-uncased,J,yes,0.8537487983703613,109482240
"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,bert-base-uncased,S,yes,0.9356260299682617,109482240
I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,bert-base-uncased,J,no,0.926434338092804,109482240
I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,bert-base-uncased,S,no,0.9132377505302429,109482240
I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,bert-base-uncased,J,yes,0.7843274474143982,109482240
I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,bert-base-uncased,S,yes,0.7886079549789429,109482240
"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,bert-base-uncased,J,yes,0.8967352509498596,109482240
"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,bert-base-uncased,S,yes,0.956392228603363,109482240
I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,bert-base-uncased,S,yes,0.9043743014335632,109482240
I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,bert-base-uncased,J,yes,0.9271661639213562,109482240
"I've got Parkinson's disease, and he's got gout.",We have the same disease.,bert-base-uncased,S,no,0.8612619042396545,109482240
"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,bert-base-uncased,J,no,0.855897843837738,109482240
"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,bert-base-uncased,J,yes,0.7146350145339966,109482240
"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,bert-base-uncased,S,yes,0.8894330263137817,109482240
"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,bert-base-uncased,J,yes,0.8777191638946533,109482240
"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,bert-base-uncased,S,yes,0.9210023880004883,109482240
In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,bert-base-uncased,S,no,0.8491566181182861,109482240
In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,bert-base-uncased,J,yes,0.8292205333709717,109482240
"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,bert-base-uncased,S,no,0.8897823691368103,109482240
"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,bert-base-uncased,J,yes,0.8805266618728638,109482240
"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,bert-base-uncased,E,no,0.7030177116394043,109482240
"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,bert-base-uncased,S,yes,0.8957308530807495,109482240
"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,bert-base-uncased,J,yes,0.8917927742004395,109482240
It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,bert-base-uncased,E,yes,0.8731358647346497,109482240
"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,bert-base-uncased,J,yes,0.924851655960083,109482240
"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,bert-base-uncased,S,yes,0.9129810929298401,109482240
It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,bert-base-uncased,J,no,0.9401930570602417,109482240
It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,bert-base-uncased,S,no,0.9324439167976379,109482240
It's hard to admit when one is wrong.,Most people don't mind being wrong.,bert-base-uncased,E,no,0.9453001618385315,109482240
"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,bert-base-uncased,S,no,0.9617650508880615,109482240
"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,bert-base-uncased,J,yes,0.9182249903678894,109482240
It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,bert-base-uncased,S,yes,0.8986213803291321,109482240
It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,bert-base-uncased,J,no,0.9289524555206299,109482240
Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,bert-base-uncased,S,yes,0.8695023059844971,109482240
Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,bert-base-uncased,J,no,0.8699347972869873,109482240
"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,bert-base-uncased,J,yes,0.8724292516708374,109482240
"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,bert-base-uncased,S,yes,0.8814188838005066,109482240
Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",bert-base-uncased,J,no,0.9003292918205261,109482240
Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,bert-base-uncased,S,no,0.8560574650764465,109482240
Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,bert-base-uncased,J,no,0.8914452195167542,109482240
Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,bert-base-uncased,S,yes,0.9197235703468323,109482240
"Many things run in families, especially noses.",People often catch colds from other family members.,bert-base-uncased,J,yes,0.8678100109100342,109482240
"Many things run in families, especially strength.",Muscle power comes only from exercise.,bert-base-uncased,S,no,0.8375576734542847,109482240
Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,bert-base-uncased,S,yes,0.809057891368866,109482240
Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,bert-base-uncased,J,yes,0.8618976473808289,109482240
Most cats see very well at night.,Cats see well in the dark.,bert-base-uncased,E,yes,0.9179267883300781,109482240
Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,bert-base-uncased,S,yes,0.8538762331008911,109482240
Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,bert-base-uncased,J,yes,0.8983091711997986,109482240
Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,bert-base-uncased,E,yes,0.9380289316177368,109482240
My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,bert-base-uncased,J,no,0.7635613679885864,109482240
My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,bert-base-uncased,S,yes,0.8979262709617615,109482240
My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,bert-base-uncased,S,no,0.9428437352180481,109482240
My church welcomes all denominations but prefers twenties.,My church wants money.,bert-base-uncased,J,yes,0.8411411046981812,109482240
My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,bert-base-uncased,J,yes,0.8582923412322998,109482240
My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,bert-base-uncased,S,yes,0.8804023265838623,109482240
My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,bert-base-uncased,J,no,0.8714786171913147,109482240
My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,bert-base-uncased,S,yes,0.9417023062705994,109482240
"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,bert-base-uncased,S,yes,0.8805235624313354,109482240
"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",bert-base-uncased,J,yes,0.8834068179130554,109482240
My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,bert-base-uncased,S,no,0.875132143497467,109482240
My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,bert-base-uncased,J,yes,0.9335968494415283,109482240
"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,bert-base-uncased,S,yes,0.8207855820655823,109482240
"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,bert-base-uncased,J,yes,0.8080017566680908,109482240
No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,bert-base-uncased,J,yes,0.8724766969680786,109482240
No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,bert-base-uncased,S,no,0.875085711479187,109482240
None of his books made any sense.,His books were hard to understand.,bert-base-uncased,E,yes,0.9701648354530334,109482240
Nothing ages a woman faster than hardships.,A difficult life can make you look old.,bert-base-uncased,S,yes,0.8848272562026978,109482240
Nothing ages a woman faster than identification.,Many women lie about their age.,bert-base-uncased,J,yes,0.8943721652030945,109482240
Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,bert-base-uncased,J,yes,0.8272778987884521,109482240
Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,bert-base-uncased,S,yes,0.8687784671783447,109482240
Nothing you put in a banana split is as potentially fattening as the spoon.,Eating banana splits can make you fat.,bert-base-uncased,J,yes,0.9347913861274719,109482240
Nothing you put in a banana split is as potentially fattening as the syrup.,Syrup has very few calories.,bert-base-uncased,S,no,0.8417006731033325,109482240
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",The divorce hadn't affected their work.,bert-base-uncased,S,no,0.8812804222106934,109482240
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",They are already married.,bert-base-uncased,J,no,0.9138199687004089,109482240
"Once a week they hold a bingo game, and all the proceeds go to fight disease.",They are raising money to build a new church.,bert-base-uncased,S,no,0.888690710067749,109482240
"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",They are raising money to help orphans.,bert-base-uncased,J,no,0.8648729920387268,109482240
One good turn gets most of the blanket.,"If you do nice things, people will give you blankets.",bert-base-uncased,J,no,0.7919362783432007,109482240
One good turn gets most of the profit.,Doing something good can earn you money.,bert-base-uncased,S,yes,0.8962281346321106,109482240
One good way to invest in the country is to buy a business.,Buying a business is bad for the economy.,bert-base-uncased,S,no,0.9361976385116577,109482240
One good way to invest in the country is to buy a senator.,Politicians will do favors for money.,bert-base-uncased,J,yes,0.8837185502052307,109482240
One person who sure makes a long story short is my aunt.,My aunt talks a lot.,bert-base-uncased,S,no,0.9112305045127869,109482240
One person who sure makes a long story short is my editor.,My editor cuts out parts of my stories.,bert-base-uncased,J,yes,0.8553599715232849,109482240
One thing that makes the world go round is detours.,Detours make people go around.,bert-base-uncased,J,yes,0.9099925756454468,109482240
One thing that makes the world go round is greed.,Most people don't care about money.,bert-base-uncased,S,no,0.891426682472229,109482240
One way to keep pornography away from teenagers is to put it in a cabinet.,Adult magazines should be put where adolescents won't get into them.,bert-base-uncased,S,yes,0.8523362874984741,109482240
One way to keep pornography away from teenagers is to put it in a textbook.,Teenagers read their textbooks often.,bert-base-uncased,J,no,0.874521017074585,109482240
Our new green car blocked the narrow driveway.,The car was parked in the garage.,bert-base-uncased,E,no,0.9423438310623169,109482240
Our son brought home a note from school saying they need a written excuse for his presence.,The son does very well in school.,bert-base-uncased,J,no,0.8134148716926575,109482240
Our son brought home a note from school saying they need a written excuse for his tardiness.,He had been late for school.,bert-base-uncased,S,yes,0.8702220320701599,109482240
"Parents support clubs for teenagers, especially when they lack other forms of diversion.",Parents want their teenagers to have appropriate forms of entertainment.,bert-base-uncased,S,yes,0.8626956343650818,109482240
"Parents support clubs for teenagers, especially when they lack other forms of punishment.",Teenagers may need physical punishment.,bert-base-uncased,J,yes,0.8804749250411987,109482240
Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,Paul broke the garbage disposal.,bert-base-uncased,E,no,0.8220596313476562,109482240
Politicians who are as American as apple pie still want their rewards.,Patriotic politicians don't care about personal glory.,bert-base-uncased,S,no,0.9424422383308411,109482240
Politicians who are as American as apple pie still want their slice.,Politicians are happy to do something for nothing.,bert-base-uncased,J,no,0.9128864407539368,109482240
Save the whales; start a coalition.,"To save an endangered species, it's best to act alone.",bert-base-uncased,S,no,0.8538331389427185,109482240
Save the whales; start a collection.,It's important to protect endangered species in the wild.,bert-base-uncased,J,no,0.8203791975975037,109482240
She always told girls not to look for a husband but just to date bachelors.,It's better to date a married man.,bert-base-uncased,J,no,0.8810197114944458,109482240
She always told girls not to look for a husband but just to date someone.,She thinks you should wait for the perfect man.,bert-base-uncased,S,no,0.8920011520385742,109482240
"She asked what state he was born in, and he said in the East.",He was a native Californian.,bert-base-uncased,S,no,0.8233135342597961,109482240
"She asked what state he was born in, and he said in the nude.",He said he was born in the North.,bert-base-uncased,J,no,0.8376381397247314,109482240
She bought her father a tasteful tie for his birthday.,She was giving her father a Christmas gift.,bert-base-uncased,E,no,0.9323293566703796,109482240
She called her husband at his office.,Her husband worked at home.,bert-base-uncased,E,no,0.8461886644363403,109482240
"She is so modest, she pulls down the shade to change her jacket.",She doesn't want people to see her change clothes.,bert-base-uncased,S,yes,0.8865028023719788,109482240
"She is so modest, she pulls down the shade to change her mind.",She likes to show off in front of others.,bert-base-uncased,J,no,0.8805360198020935,109482240
She puts something behind her ears to attract men; lately she's been using her ankles.,She's very prudish.,bert-base-uncased,J,no,0.9326674938201904,109482240
