sentence,answer,model,condition,correct,cosine_similarity,n_params
Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,bert-large-cased,E,yes,0.9622047543525696,333579264
Hal wrote her a love letter.,Hal didn't like her very much.,bert-large-cased,E,no,0.8693563938140869,333579264
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,bert-large-cased,S,yes,0.9385870695114136,333579264
"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,bert-large-cased,J,no,0.929621160030365,333579264
He drank so much that he eventually became a beverage.,He gave up drinking.,bert-large-cased,J,no,0.907889187335968,333579264
He drank so much that he eventually became a lush.,He became an alcoholic.,bert-large-cased,S,yes,0.9278138279914856,333579264
He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,bert-large-cased,J,no,0.9572712182998657,333579264
He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,bert-large-cased,S,yes,0.8573461174964905,333579264
He hung her coat in the closet.,She had been wearing a coat.,bert-large-cased,E,yes,0.920531153678894,333579264
He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,bert-large-cased,J,yes,0.927416205406189,333579264
He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,bert-large-cased,S,no,0.8986120223999023,333579264
"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,bert-large-cased,J,no,0.9250791668891907,333579264
"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,bert-large-cased,S,no,0.9644524455070496,333579264
He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,bert-large-cased,J,yes,0.9062210321426392,333579264
He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,bert-large-cased,S,no,0.9100738167762756,333579264
"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,bert-large-cased,J,no,0.9429440498352051,333579264
"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,bert-large-cased,S,no,0.9505794644355774,333579264
He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,bert-large-cased,J,no,0.9401224255561829,333579264
He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,bert-large-cased,S,yes,0.9092054963111877,333579264
He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,bert-large-cased,E,yes,0.9043866991996765,333579264
"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,bert-large-cased,E,no,0.9318391680717468,333579264
"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,bert-large-cased,J,yes,0.9153348803520203,333579264
"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,bert-large-cased,S,no,0.9283468723297119,333579264
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,bert-large-cased,J,no,0.9119830131530762,333579264
"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,bert-large-cased,S,yes,0.8850803971290588,333579264
"He told me he's not broke, just badly bent.",He's doing quite well.,bert-large-cased,J,no,0.9282553195953369,333579264
"He told me he's not broke, just badly off.",He has lots of money.,bert-large-cased,S,no,0.9455376267433167,333579264
He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,bert-large-cased,J,no,0.8892582654953003,333579264
He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,bert-large-cased,S,yes,0.905010998249054,333579264
He wondered if the storm had done much damage.,It had been a terrible storm.,bert-large-cased,E,yes,0.9445346593856812,333579264
"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,bert-large-cased,J,no,0.9060662388801575,333579264
"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,bert-large-cased,S,no,0.8668922185897827,333579264
He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,bert-large-cased,J,yes,0.9195522665977478,333579264
He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,bert-large-cased,S,yes,0.9641503691673279,333579264
Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,bert-large-cased,J,no,0.9403636455535889,333579264
Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,bert-large-cased,S,yes,0.9344584941864014,333579264
His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,bert-large-cased,S,yes,0.9443603157997131,333579264
His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,bert-large-cased,J,no,0.9208481907844543,333579264
His job was to keep the sidewalk clean.,He was a doctor.,bert-large-cased,E,no,0.9517215490341187,333579264
His sandwich came with chips and a dill pickle.,He was about to eat.,bert-large-cased,E,yes,0.9253153204917908,333579264
His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,bert-large-cased,J,yes,0.9264385104179382,333579264
His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,bert-large-cased,S,yes,0.9240095615386963,333579264
"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",bert-large-cased,S,no,0.9568611979484558,333579264
"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,bert-large-cased,J,yes,0.9165164232254028,333579264
"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,bert-large-cased,J,yes,0.907386302947998,333579264
"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,bert-large-cased,S,no,0.8901758790016174,333579264
"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,bert-large-cased,J,yes,0.9389833211898804,333579264
"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,bert-large-cased,S,no,0.9575889110565186,333579264
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,bert-large-cased,J,yes,0.8841920495033264,333579264
"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,bert-large-cased,S,no,0.8809715509414673,333579264
"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,bert-large-cased,J,no,0.9222231507301331,333579264
"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,bert-large-cased,S,no,0.9579604268074036,333579264
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,bert-large-cased,S,yes,0.9208359122276306,333579264
"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,bert-large-cased,J,no,0.9372849464416504,333579264
"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,bert-large-cased,S,yes,0.965429961681366,333579264
"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,bert-large-cased,J,yes,0.9316979050636292,333579264
"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,bert-large-cased,J,yes,0.9571453928947449,333579264
"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,bert-large-cased,S,yes,0.9547213912010193,333579264
I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,bert-large-cased,J,no,0.8510337471961975,333579264
I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,bert-large-cased,S,no,0.8673668503761292,333579264
I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,bert-large-cased,J,yes,0.9413021802902222,333579264
I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,bert-large-cased,S,yes,0.9060294032096863,333579264
"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,bert-large-cased,J,yes,0.943673312664032,333579264
"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,bert-large-cased,S,yes,0.937893271446228,333579264
I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,bert-large-cased,S,yes,0.9074013829231262,333579264
I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,bert-large-cased,J,yes,0.9010277986526489,333579264
"I've got Parkinson's disease, and he's got gout.",We have the same disease.,bert-large-cased,S,no,0.9295080900192261,333579264
"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,bert-large-cased,J,no,0.9299843311309814,333579264
"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,bert-large-cased,J,yes,0.950494647026062,333579264
"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,bert-large-cased,S,yes,0.9239407777786255,333579264
"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,bert-large-cased,J,yes,0.9071406722068787,333579264
"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,bert-large-cased,S,yes,0.9696401357650757,333579264
In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,bert-large-cased,S,no,0.9035062193870544,333579264
In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,bert-large-cased,J,yes,0.942158043384552,333579264
"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,bert-large-cased,S,no,0.9665369391441345,333579264
"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,bert-large-cased,J,yes,0.9031519889831543,333579264
"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,bert-large-cased,E,no,0.936356782913208,333579264
"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,bert-large-cased,S,yes,0.9341450929641724,333579264
"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,bert-large-cased,J,yes,0.9096218943595886,333579264
It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,bert-large-cased,E,yes,0.956689715385437,333579264
"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,bert-large-cased,J,yes,0.9354909062385559,333579264
"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,bert-large-cased,S,yes,0.8910715579986572,333579264
It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,bert-large-cased,J,no,0.8628253936767578,333579264
It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,bert-large-cased,S,no,0.9710214138031006,333579264
It's hard to admit when one is wrong.,Most people don't mind being wrong.,bert-large-cased,E,no,0.9515030384063721,333579264
"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,bert-large-cased,S,no,0.9673690795898438,333579264
"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,bert-large-cased,J,yes,0.9170172214508057,333579264
It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,bert-large-cased,S,yes,0.9347113966941833,333579264
It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,bert-large-cased,J,no,0.9561343193054199,333579264
Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,bert-large-cased,S,yes,0.9161399602890015,333579264
Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,bert-large-cased,J,no,0.9196168184280396,333579264
"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,bert-large-cased,J,yes,0.9378390908241272,333579264
"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,bert-large-cased,S,yes,0.9566627144813538,333579264
Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",bert-large-cased,J,no,0.9623408913612366,333579264
Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,bert-large-cased,S,no,0.9395808577537537,333579264
Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,bert-large-cased,J,no,0.9127712249755859,333579264
Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,bert-large-cased,S,yes,0.9583212733268738,333579264
"Many things run in families, especially noses.",People often catch colds from other family members.,bert-large-cased,J,yes,0.8705257773399353,333579264
"Many things run in families, especially strength.",Muscle power comes only from exercise.,bert-large-cased,S,no,0.8726323246955872,333579264
Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,bert-large-cased,S,yes,0.9183398485183716,333579264
Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,bert-large-cased,J,yes,0.9628874659538269,333579264
Most cats see very well at night.,Cats see well in the dark.,bert-large-cased,E,yes,0.9430537223815918,333579264
Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,bert-large-cased,S,yes,0.9672982096672058,333579264
Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,bert-large-cased,J,yes,0.9641568660736084,333579264
Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,bert-large-cased,E,yes,0.9560369849205017,333579264
My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,bert-large-cased,J,no,0.9066094160079956,333579264
My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,bert-large-cased,S,yes,0.9276984333992004,333579264
My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,bert-large-cased,S,no,0.9570322632789612,333579264
My church welcomes all denominations but prefers twenties.,My church wants money.,bert-large-cased,J,yes,0.9616077542304993,333579264
My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,bert-large-cased,J,yes,0.9201803803443909,333579264
My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,bert-large-cased,S,yes,0.9476224184036255,333579264
My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,bert-large-cased,J,no,0.893644392490387,333579264
My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,bert-large-cased,S,yes,0.9470151662826538,333579264
"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,bert-large-cased,S,yes,0.9404194355010986,333579264
"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",bert-large-cased,J,yes,0.9252757430076599,333579264
My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,bert-large-cased,S,no,0.9328377842903137,333579264
My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,bert-large-cased,J,yes,0.8464417457580566,333579264
"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,bert-large-cased,S,yes,0.9172229766845703,333579264
"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,bert-large-cased,J,yes,0.9024979472160339,333579264
No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,bert-large-cased,J,yes,0.8634611368179321,333579264
No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,bert-large-cased,S,no,0.9107152819633484,333579264
None of his books made any sense.,His books were hard to understand.,bert-large-cased,E,yes,0.9744186401367188,333579264
Nothing ages a woman faster than hardships.,A difficult life can make you look old.,bert-large-cased,S,yes,0.9037955403327942,333579264
Nothing ages a woman faster than identification.,Many women lie about their age.,bert-large-cased,J,yes,0.8730835914611816,333579264
Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,bert-large-cased,J,yes,0.9452174305915833,333579264
Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,bert-large-cased,S,yes,0.9185329675674438,333579264
Nothing you put in a banana split is as potentially fattening as the spoon.,Eating banana splits can make you fat.,bert-large-cased,J,yes,0.9573180079460144,333579264
Nothing you put in a banana split is as potentially fattening as the syrup.,Syrup has very few calories.,bert-large-cased,S,no,0.8780943751335144,333579264
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",The divorce hadn't affected their work.,bert-large-cased,S,no,0.8477952480316162,333579264
"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",They are already married.,bert-large-cased,J,no,0.917223334312439,333579264
"Once a week they hold a bingo game, and all the proceeds go to fight disease.",They are raising money to build a new church.,bert-large-cased,S,no,0.9768596887588501,333579264
"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",They are raising money to help orphans.,bert-large-cased,J,no,0.9674919843673706,333579264
One good turn gets most of the blanket.,"If you do nice things, people will give you blankets.",bert-large-cased,J,no,0.900871753692627,333579264
One good turn gets most of the profit.,Doing something good can earn you money.,bert-large-cased,S,yes,0.9166361689567566,333579264
One good way to invest in the country is to buy a business.,Buying a business is bad for the economy.,bert-large-cased,S,no,0.9614269137382507,333579264
One good way to invest in the country is to buy a senator.,Politicians will do favors for money.,bert-large-cased,J,yes,0.9619307518005371,333579264
One person who sure makes a long story short is my aunt.,My aunt talks a lot.,bert-large-cased,S,no,0.9459847211837769,333579264
One person who sure makes a long story short is my editor.,My editor cuts out parts of my stories.,bert-large-cased,J,yes,0.9656224250793457,333579264
One thing that makes the world go round is detours.,Detours make people go around.,bert-large-cased,J,yes,0.9006136059761047,333579264
One thing that makes the world go round is greed.,Most people don't care about money.,bert-large-cased,S,no,0.9364612698554993,333579264
One way to keep pornography away from teenagers is to put it in a cabinet.,Adult magazines should be put where adolescents won't get into them.,bert-large-cased,S,yes,0.9394432902336121,333579264
One way to keep pornography away from teenagers is to put it in a textbook.,Teenagers read their textbooks often.,bert-large-cased,J,no,0.9252856969833374,333579264
Our new green car blocked the narrow driveway.,The car was parked in the garage.,bert-large-cased,E,no,0.927807092666626,333579264
Our son brought home a note from school saying they need a written excuse for his presence.,The son does very well in school.,bert-large-cased,J,no,0.8596113324165344,333579264
Our son brought home a note from school saying they need a written excuse for his tardiness.,He had been late for school.,bert-large-cased,S,yes,0.9052520394325256,333579264
"Parents support clubs for teenagers, especially when they lack other forms of diversion.",Parents want their teenagers to have appropriate forms of entertainment.,bert-large-cased,S,yes,0.9579589366912842,333579264
"Parents support clubs for teenagers, especially when they lack other forms of punishment.",Teenagers may need physical punishment.,bert-large-cased,J,yes,0.9533218741416931,333579264
Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,Paul broke the garbage disposal.,bert-large-cased,E,no,0.8761243224143982,333579264
Politicians who are as American as apple pie still want their rewards.,Patriotic politicians don't care about personal glory.,bert-large-cased,S,no,0.9673676490783691,333579264
Politicians who are as American as apple pie still want their slice.,Politicians are happy to do something for nothing.,bert-large-cased,J,no,0.9799033403396606,333579264
Save the whales; start a coalition.,"To save an endangered species, it's best to act alone.",bert-large-cased,S,no,0.951596736907959,333579264
Save the whales; start a collection.,It's important to protect endangered species in the wild.,bert-large-cased,J,no,0.9339642524719238,333579264
She always told girls not to look for a husband but just to date bachelors.,It's better to date a married man.,bert-large-cased,J,no,0.9031329154968262,333579264
She always told girls not to look for a husband but just to date someone.,She thinks you should wait for the perfect man.,bert-large-cased,S,no,0.9080911874771118,333579264
"She asked what state he was born in, and he said in the East.",He was a native Californian.,bert-large-cased,S,no,0.9272454380989075,333579264
"She asked what state he was born in, and he said in the nude.",He said he was born in the North.,bert-large-cased,J,no,0.9176395535469055,333579264
She bought her father a tasteful tie for his birthday.,She was giving her father a Christmas gift.,bert-large-cased,E,no,0.9404672384262085,333579264
She called her husband at his office.,Her husband worked at home.,bert-large-cased,E,no,0.8053469061851501,333579264
"She is so modest, she pulls down the shade to change her jacket.",She doesn't want people to see her change clothes.,bert-large-cased,S,yes,0.9472432136535645,333579264
"She is so modest, she pulls down the shade to change her mind.",She likes to show off in front of others.,bert-large-cased,J,no,0.9355204105377197,333579264
She puts something behind her ears to attract men; lately she's been using her ankles.,She's very prudish.,bert-large-cased,J,no,0.9411695599555969,333579264
She puts something behind her ears to attract men; lately she's been using her vanilla.,She wears vanilla as a perfume.,bert-large-cased,S,yes,0.9147045612335205,333579264
She read so much about the bad effects of cigarettes she decided to give up the habit.,She was going to quit smoking.,bert-large-cased,S,yes,0.9481096267700195,333579264
She read so much about the bad effects of cigarettes she decided to give up the reading.,She planned to quit smoking.,bert-large-cased,J,no,0.9454061388969421,333579264
