model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
meta-llama/Meta-Llama-3-70B,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,no,-1.8623047,-1.8466797,-0.015625,False
meta-llama/Meta-Llama-3-70B,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,yes,-1.9560547,-1.5185547,-0.4375,False
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,yes,-1.796875,-1.921875,0.125,True
meta-llama/Meta-Llama-3-70B,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,yes,-1.7441406,-1.9472656,0.203125,False
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,yes,-1.5761719,-2.0136719,0.4374999999999998,True
meta-llama/Meta-Llama-3-70B,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,no,-1.8554688,-1.7617188,-0.09375,False
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,yes,-1.9189453,-2.0058594,0.08691409999999977,False
meta-llama/Meta-Llama-3-70B,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,no,-1.6962891,-2.4785156,0.7822265000000002,True
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,no,-1.6523438,-2.1054688,0.4531250000000002,True
meta-llama/Meta-Llama-3-70B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,S,no,-1.8378906,-1.9003906,0.0625,False
meta-llama/Meta-Llama-3-70B,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,E,yes,-2.046875,-1.6337891,-0.4130859,False
meta-llama/Meta-Llama-3-70B,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,E,no,-2.5332031,-1.2900391,-1.2431640000000002,False
meta-llama/Meta-Llama-3-70B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,E,yes,-2.1835938,-1.4951172,-0.6884766000000002,False
meta-llama/Meta-Llama-3-70B,Bill jumped in the lake and made a big splash.,Bill went for a swim.,E,yes,-2.0585938,-1.4179688,-0.6406250000000002,False
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,J,no,-1.5742188,-2.3476562,0.7734373999999999,True
meta-llama/Meta-Llama-3-70B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,S,no,-1.5761719,-2.2011719,0.6249999999999998,False
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,J,yes,-1.3466797,-2.6660156,1.3193359000000002,True
meta-llama/Meta-Llama-3-70B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,S,yes,-1.4306641,-2.3144531,0.8837890000000002,False
meta-llama/Meta-Llama-3-70B,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,J,yes,-1.5087891,-2.234375,0.7255859,True
meta-llama/Meta-Llama-3-70B,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,S,yes,-1.7763672,-1.8701172,0.09375,False
meta-llama/Meta-Llama-3-70B,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,J,no,-1.5214844,-2.1464844,0.6249999999999998,True
meta-llama/Meta-Llama-3-70B,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,S,no,-2.0058594,-1.5605469,-0.4453124999999998,False
meta-llama/Meta-Llama-3-70B,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,J,yes,-1.5166016,-2.1972656,0.6806640000000002,True
meta-llama/Meta-Llama-3-70B,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,S,yes,-1.9619141,-1.7275391,-0.234375,False
meta-llama/Meta-Llama-3-70B,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,E,yes,-2.2910156,-1.4472656,-0.8437500000000002,False
meta-llama/Meta-Llama-3-70B,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,E,yes,-1.8076172,-1.9873047,0.1796875,False
meta-llama/Meta-Llama-3-70B,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,E,yes,-2.1835938,-1.4658203,-0.7177735000000001,False
meta-llama/Meta-Llama-3-70B,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,E,yes,-1.6689453,-1.7158203,0.046875,False
meta-llama/Meta-Llama-3-70B,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,S,no,-2.0117188,-1.4023438,-0.6093750000000002,False
meta-llama/Meta-Llama-3-70B,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,J,yes,-1.5,-1.9375,0.4375,True
meta-llama/Meta-Llama-3-70B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,S,no,-1.9257812,-1.7382812,-0.1875,False
meta-llama/Meta-Llama-3-70B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,J,yes,-1.7373047,-1.8857422,0.1484375,True
meta-llama/Meta-Llama-3-70B,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,E,yes,-1.7333984,-1.9833984,0.25,False
meta-llama/Meta-Llama-3-70B,"Figures don't lie, except on the beaches.",People lie in the sand.,J,yes,-1.7519531,-2.3925781,0.6406250000000002,True
meta-llama/Meta-Llama-3-70B,"Figures don't lie, except on the page.",Statistics are completely reliable.,S,no,-1.6738281,-2.3769531,0.7031250000000002,False
meta-llama/Meta-Llama-3-70B,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,J,no,-1.7978516,-2.1738281,0.37597650000000016,True
meta-llama/Meta-Llama-3-70B,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,S,yes,-1.6748047,-2.3632812,0.6884764999999999,False
meta-llama/Meta-Llama-3-70B,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,E,yes,-1.9824219,-1.6777344,-0.3046875,False
meta-llama/Meta-Llama-3-70B,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,E,yes,-2.7167969,-1.4423828,-1.2744140999999998,False
meta-llama/Meta-Llama-3-70B,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,J,yes,-1.6503906,-2.1582031,0.5078125000000002,True
meta-llama/Meta-Llama-3-70B,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,S,no,-1.7919922,-2.0117188,0.21972660000000022,False
meta-llama/Meta-Llama-3-70B,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,E,yes,-2.4277344,-1.3427734,-1.0849609999999998,False
meta-llama/Meta-Llama-3-70B,Hal wrote her a love letter.,Hal didn't like her very much.,E,no,-1.8486328,-1.7626953,-0.0859375,False
meta-llama/Meta-Llama-3-70B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,S,yes,-1.4785156,-2.1816406,0.7031250000000002,False
meta-llama/Meta-Llama-3-70B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,J,no,-1.3964844,-2.1855469,0.7890624999999998,True
meta-llama/Meta-Llama-3-70B,He drank so much that he eventually became a beverage.,He gave up drinking.,J,no,-1.3056641,-2.359375,1.0537109,True
meta-llama/Meta-Llama-3-70B,He drank so much that he eventually became a lush.,He became an alcoholic.,S,yes,-1.4746094,-2.1308594,0.6562499999999998,False
meta-llama/Meta-Llama-3-70B,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,J,no,-1.6171875,-1.9140625,0.296875,True
meta-llama/Meta-Llama-3-70B,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,S,yes,-2.0175781,-1.4941406,-0.5234375000000002,False
meta-llama/Meta-Llama-3-70B,He hung her coat in the closet.,She had been wearing a coat.,E,yes,-2.4375,-1.3125,-1.125,False
meta-llama/Meta-Llama-3-70B,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,J,yes,-1.4375,-2.3359375,0.8984375,True
meta-llama/Meta-Llama-3-70B,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,S,no,-1.5732422,-2.0429688,0.4697266000000002,False
meta-llama/Meta-Llama-3-70B,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,J,no,-1.6855469,-1.7792969,0.09375,True
meta-llama/Meta-Llama-3-70B,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,S,no,-1.7675781,-1.6347656,-0.1328125,False
meta-llama/Meta-Llama-3-70B,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,J,yes,-1.3925781,-2.3144531,0.9218750000000002,True
meta-llama/Meta-Llama-3-70B,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,S,no,-1.828125,-1.6328125,-0.1953125,False
meta-llama/Meta-Llama-3-70B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,J,no,-1.3916016,-2.3203125,0.9287109,True
meta-llama/Meta-Llama-3-70B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,S,no,-1.9892578,-1.5205078,-0.46875,False
meta-llama/Meta-Llama-3-70B,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,J,no,-1.6738281,-2.0722656,0.3984375000000002,True
meta-llama/Meta-Llama-3-70B,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,S,yes,-1.7939453,-1.9111328,0.1171875,False
meta-llama/Meta-Llama-3-70B,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,E,yes,-1.9335938,-1.6992188,-0.234375,False
meta-llama/Meta-Llama-3-70B,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,E,no,-1.4560547,-1.9482422,0.4921875,False
meta-llama/Meta-Llama-3-70B,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,J,yes,-1.3310547,-2.9863281,1.6552734000000002,True
meta-llama/Meta-Llama-3-70B,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,S,no,-1.3740234,-2.7480469,1.3740234999999998,False
meta-llama/Meta-Llama-3-70B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,J,no,-1.4599609,-2.6171875,1.1572266,True
meta-llama/Meta-Llama-3-70B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,S,yes,-1.4912109,-2.4453125,0.9541016,False
meta-llama/Meta-Llama-3-70B,"He told me he's not broke, just badly bent.",He's doing quite well.,J,no,-1.6669922,-2.1816406,0.5146484000000002,True
meta-llama/Meta-Llama-3-70B,"He told me he's not broke, just badly off.",He has lots of money.,S,no,-1.7929688,-2.0976562,0.30468739999999994,False
meta-llama/Meta-Llama-3-70B,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,J,no,-1.6523438,-2.0351562,0.38281239999999994,True
meta-llama/Meta-Llama-3-70B,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,S,yes,-1.7148438,-1.8710938,0.15625,False
meta-llama/Meta-Llama-3-70B,He wondered if the storm had done much damage.,It had been a terrible storm.,E,yes,-2.3046875,-1.4853516,-0.8193359,False
meta-llama/Meta-Llama-3-70B,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,J,no,-1.671875,-2.2109375,0.5390625,True
meta-llama/Meta-Llama-3-70B,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,S,no,-1.6328125,-2.1640625,0.53125,False
meta-llama/Meta-Llama-3-70B,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,J,yes,-1.4716797,-2.2988281,0.8271484000000002,True
meta-llama/Meta-Llama-3-70B,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,S,yes,-2.0429688,-1.6445312,-0.39843760000000006,False
meta-llama/Meta-Llama-3-70B,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,J,no,-1.5996094,-1.9746094,0.375,True
meta-llama/Meta-Llama-3-70B,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,S,yes,-1.6943359,-1.7802734,0.0859375,False
meta-llama/Meta-Llama-3-70B,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,S,yes,-1.765625,-1.7890625,0.0234375,False
meta-llama/Meta-Llama-3-70B,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,J,no,-1.5400391,-1.9384766,0.3984375,True
meta-llama/Meta-Llama-3-70B,His job was to keep the sidewalk clean.,He was a doctor.,E,no,-1.7763672,-1.6279297,-0.1484375,False
meta-llama/Meta-Llama-3-70B,His sandwich came with chips and a dill pickle.,He was about to eat.,E,yes,-2.0917969,-1.4267578,-0.6650390999999998,False
meta-llama/Meta-Llama-3-70B,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,J,yes,-1.5214844,-2.1699219,0.6484374999999998,True
meta-llama/Meta-Llama-3-70B,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,S,yes,-1.6582031,-1.7519531,0.09375,False
meta-llama/Meta-Llama-3-70B,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",S,no,-1.8964844,-1.7011719,-0.1953125,False
meta-llama/Meta-Llama-3-70B,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,J,yes,-1.5166016,-2.2734375,0.7568359,True
meta-llama/Meta-Llama-3-70B,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,J,yes,-1.7294922,-2.0742188,0.3447266000000002,True
meta-llama/Meta-Llama-3-70B,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,S,no,-1.9042969,-1.8183594,-0.0859375,False
meta-llama/Meta-Llama-3-70B,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,J,yes,-1.3632812,-2.6132812,1.2499999999999998,True
meta-llama/Meta-Llama-3-70B,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,S,no,-1.3984375,-2.171875,0.7734375,False
meta-llama/Meta-Llama-3-70B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,J,yes,-1.6220703,-1.9736328,0.3515625,True
meta-llama/Meta-Llama-3-70B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,S,no,-1.7617188,-1.9179688,0.15625,False
meta-llama/Meta-Llama-3-70B,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,J,no,-1.5576172,-2.0742188,0.5166016000000002,True
meta-llama/Meta-Llama-3-70B,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,S,no,-1.6933594,-2.0605469,0.3671874999999998,False
meta-llama/Meta-Llama-3-70B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,S,yes,-1.4091797,-2.3476562,0.9384764999999999,False
meta-llama/Meta-Llama-3-70B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,J,no,-1.3164062,-3.2226562,1.9062499999999998,True
meta-llama/Meta-Llama-3-70B,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,S,yes,-1.6953125,-1.8359375,0.140625,False
meta-llama/Meta-Llama-3-70B,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,J,yes,-1.4775391,-2.3125,0.8349609,True
meta-llama/Meta-Llama-3-70B,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,J,yes,-1.7695312,-1.8789062,0.109375,True
meta-llama/Meta-Llama-3-70B,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,S,yes,-1.7832031,-1.9394531,0.15625,False
meta-llama/Meta-Llama-3-70B,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,J,no,-1.4042969,-2.3964844,0.9921874999999998,True
meta-llama/Meta-Llama-3-70B,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,S,no,-1.4912109,-2.1328125,0.6416016,False
meta-llama/Meta-Llama-3-70B,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,J,yes,-1.6494141,-2.0253906,0.37597650000000016,True
meta-llama/Meta-Llama-3-70B,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,S,yes,-1.7382812,-1.7773438,0.039062599999999836,False
meta-llama/Meta-Llama-3-70B,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,J,yes,-1.5019531,-2.2988281,0.7968750000000002,True
meta-llama/Meta-Llama-3-70B,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,S,yes,-1.6591797,-2.0507812,0.39160149999999994,False
meta-llama/Meta-Llama-3-70B,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,S,yes,-1.4130859,-2.1621094,0.7490234999999998,False
meta-llama/Meta-Llama-3-70B,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,J,yes,-1.5048828,-2.0371094,0.5322265999999998,True
meta-llama/Meta-Llama-3-70B,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,S,no,-1.6855469,-1.9824219,0.296875,False
meta-llama/Meta-Llama-3-70B,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,J,no,-1.4199219,-2.2558594,0.8359374999999998,True
meta-llama/Meta-Llama-3-70B,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,J,yes,-1.7949219,-1.9355469,0.140625,True
meta-llama/Meta-Llama-3-70B,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,S,yes,-1.9326172,-1.7373047,-0.1953125,False
meta-llama/Meta-Llama-3-70B,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,J,yes,-1.5839844,-2.1777344,0.5937499999999998,True
meta-llama/Meta-Llama-3-70B,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,S,yes,-1.9414062,-1.7539062,-0.1875,False
meta-llama/Meta-Llama-3-70B,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,S,no,-1.8867188,-1.5898438,-0.296875,False
meta-llama/Meta-Llama-3-70B,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,J,yes,-1.71875,-1.859375,0.140625,True
meta-llama/Meta-Llama-3-70B,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,S,no,-1.8535156,-1.8925781,0.0390625,False
meta-llama/Meta-Llama-3-70B,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,J,yes,-1.7978516,-2.015625,0.2177734,True
meta-llama/Meta-Llama-3-70B,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,E,no,-2.0976562,-1.7392578,-0.3583983999999998,False
meta-llama/Meta-Llama-3-70B,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,S,yes,-1.3525391,-2.4550781,1.1025390000000002,False
meta-llama/Meta-Llama-3-70B,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,J,yes,-1.3183594,-2.8027344,1.4843749999999998,True
meta-llama/Meta-Llama-3-70B,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,E,yes,-1.9492188,-1.7070312,-0.24218759999999984,False
meta-llama/Meta-Llama-3-70B,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,J,yes,-1.6279297,-2.1660156,0.5380859000000002,True
meta-llama/Meta-Llama-3-70B,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,S,yes,-1.640625,-2.09375,0.453125,False
meta-llama/Meta-Llama-3-70B,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,J,no,-1.5693359,-2.1640625,0.5947266,True
meta-llama/Meta-Llama-3-70B,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,S,no,-1.6455078,-2.0351562,0.3896483999999998,False
meta-llama/Meta-Llama-3-70B,It's hard to admit when one is wrong.,Most people don't mind being wrong.,E,no,-2.1582031,-1.4941406,-0.6640625000000002,False
meta-llama/Meta-Llama-3-70B,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,S,no,-1.9121094,-1.8574219,-0.0546875,False
meta-llama/Meta-Llama-3-70B,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,J,yes,-1.5009766,-2.5097656,1.0087890000000002,True
meta-llama/Meta-Llama-3-70B,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,S,yes,-1.7265625,-2.0234375,0.296875,False
meta-llama/Meta-Llama-3-70B,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,J,no,-1.640625,-2.203125,0.5625,True
meta-llama/Meta-Llama-3-70B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,S,yes,-1.3955078,-2.0507812,0.6552733999999998,False
meta-llama/Meta-Llama-3-70B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,J,no,-1.4335938,-2.2929688,0.8593750000000002,True
meta-llama/Meta-Llama-3-70B,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,J,yes,-1.3935547,-2.4316406,1.0380859000000002,True
meta-llama/Meta-Llama-3-70B,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,S,yes,-1.8925781,-1.7441406,-0.1484375,False
meta-llama/Meta-Llama-3-70B,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",J,no,-1.6005859,-2.1464844,0.5458984999999998,True
meta-llama/Meta-Llama-3-70B,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,S,no,-1.9355469,-1.7558594,-0.1796875,False
meta-llama/Meta-Llama-3-70B,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,J,no,-1.6464844,-2.3105469,0.6640624999999998,True
meta-llama/Meta-Llama-3-70B,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,S,yes,-1.8984375,-1.9765625,0.078125,False
meta-llama/Meta-Llama-3-70B,"Many things run in families, especially noses.",People often catch colds from other family members.,J,yes,-1.5859375,-2.046875,0.4609375,True
meta-llama/Meta-Llama-3-70B,"Many things run in families, especially strength.",Muscle power comes only from exercise.,S,no,-1.8662109,-1.7958984,-0.0703125,False
meta-llama/Meta-Llama-3-70B,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,S,yes,-1.7470703,-2.1074219,0.36035159999999977,False
meta-llama/Meta-Llama-3-70B,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,J,yes,-1.5224609,-2.609375,1.0869141,True
meta-llama/Meta-Llama-3-70B,Most cats see very well at night.,Cats see well in the dark.,E,yes,-2.484375,-1.3583984,-1.1259766,False
meta-llama/Meta-Llama-3-70B,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,S,yes,-2.0429688,-2.2070312,0.16406239999999972,False
meta-llama/Meta-Llama-3-70B,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,J,yes,-1.8300781,-2.2128906,0.3828125000000002,True
meta-llama/Meta-Llama-3-70B,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,E,yes,-2.1679688,-1.4726562,-0.6953126000000001,False
