model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
meta-llama/Meta-Llama-3-8B,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,no,-1.8310547,-1.6591797,-0.171875,False
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,yes,-1.6679688,-1.9414062,0.27343740000000016,True
meta-llama/Meta-Llama-3-8B,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,no,-1.78125,-1.6953125,-0.0859375,False
meta-llama/Meta-Llama-3-8B,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,yes,-2.0371094,-1.2958984,-0.7412109999999998,False
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,yes,-1.7207031,-1.8066406,0.0859375,True
meta-llama/Meta-Llama-3-8B,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,yes,-1.6113281,-1.7988281,0.1875,False
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,yes,-2.0898438,-1.7304688,-0.3593750000000002,True
meta-llama/Meta-Llama-3-8B,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,no,-2.0761719,-1.6923828,-0.38378909999999977,False
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,yes,-2.1230469,-1.6943359,-0.42871099999999984,False
meta-llama/Meta-Llama-3-8B,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,no,-2.0742188,-1.7548828,-0.31933600000000006,True
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,no,-1.9248047,-1.9248047,0.0,True
meta-llama/Meta-Llama-3-8B,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,S,no,-1.8505859,-1.9990234,0.1484375,False
meta-llama/Meta-Llama-3-8B,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,E,yes,-2.3710938,-1.1923828,-1.178711,False
meta-llama/Meta-Llama-3-8B,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,E,no,-2.40625,-1.2578125,-1.1484375,False
meta-llama/Meta-Llama-3-8B,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,E,yes,-2.3339844,-1.2646484,-1.0693359999999998,False
meta-llama/Meta-Llama-3-8B,Bill jumped in the lake and made a big splash.,Bill went for a swim.,E,yes,-2.0214844,-1.3730469,-0.6484374999999998,False
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,J,no,-1.5410156,-1.9316406,0.390625,True
meta-llama/Meta-Llama-3-8B,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,S,no,-1.5380859,-1.8740234,0.3359375,False
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,J,yes,-1.3769531,-2.3300781,0.9531250000000002,True
meta-llama/Meta-Llama-3-8B,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,S,yes,-1.5820312,-1.9882812,0.40625,False
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,J,yes,-1.8652344,-1.6464844,-0.21875,True
meta-llama/Meta-Llama-3-8B,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,S,yes,-1.9267578,-1.6533203,-0.2734375,False
meta-llama/Meta-Llama-3-8B,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,J,no,-1.9853516,-1.5634766,-0.421875,True
meta-llama/Meta-Llama-3-8B,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,S,no,-2.0195312,-1.4726562,-0.5468749999999998,False
meta-llama/Meta-Llama-3-8B,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,J,yes,-1.7001953,-1.7548828,0.0546875,True
meta-llama/Meta-Llama-3-8B,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,S,yes,-2.0605469,-1.3652344,-0.6953124999999998,False
meta-llama/Meta-Llama-3-8B,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,E,yes,-1.7558594,-1.5292969,-0.2265625,False
meta-llama/Meta-Llama-3-8B,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,E,yes,-1.6347656,-1.9472656,0.3125,False
meta-llama/Meta-Llama-3-8B,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,E,yes,-2.0292969,-1.4033203,-0.6259765999999998,False
meta-llama/Meta-Llama-3-8B,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,E,yes,-1.8505859,-1.6240234,-0.2265625,False
meta-llama/Meta-Llama-3-8B,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,S,no,-2.0195312,-1.3779297,-0.6416014999999999,False
meta-llama/Meta-Llama-3-8B,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,J,yes,-1.6884766,-1.5947266,-0.09375,True
meta-llama/Meta-Llama-3-8B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,S,no,-1.6162109,-1.7412109,0.125,False
meta-llama/Meta-Llama-3-8B,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,J,yes,-1.6855469,-1.7011719,0.015625,True
meta-llama/Meta-Llama-3-8B,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,E,yes,-2.0625,-1.75,-0.3125,False
meta-llama/Meta-Llama-3-8B,"Figures don't lie, except on the beaches.",People lie in the sand.,J,yes,-1.9775391,-1.7275391,-0.25,True
meta-llama/Meta-Llama-3-8B,"Figures don't lie, except on the page.",Statistics are completely reliable.,S,no,-1.953125,-1.9140625,-0.0390625,False
meta-llama/Meta-Llama-3-8B,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,J,no,-1.9667969,-1.6699219,-0.296875,True
meta-llama/Meta-Llama-3-8B,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,S,yes,-1.9140625,-1.640625,-0.2734375,False
meta-llama/Meta-Llama-3-8B,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,E,yes,-1.9707031,-1.4785156,-0.4921875,False
meta-llama/Meta-Llama-3-8B,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,E,yes,-2.2773438,-1.3398438,-0.9375000000000002,False
meta-llama/Meta-Llama-3-8B,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,J,yes,-1.8125,-1.84375,0.03125,True
meta-llama/Meta-Llama-3-8B,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,S,no,-1.7646484,-1.9208984,0.15625,False
meta-llama/Meta-Llama-3-8B,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,E,yes,-2.1328125,-1.4609375,-0.671875,False
meta-llama/Meta-Llama-3-8B,Hal wrote her a love letter.,Hal didn't like her very much.,E,no,-1.9697266,-1.4306641,-0.5390625,False
meta-llama/Meta-Llama-3-8B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,S,yes,-1.7519531,-1.7441406,-0.0078125,False
meta-llama/Meta-Llama-3-8B,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,J,no,-1.8613281,-1.6660156,-0.1953125,True
meta-llama/Meta-Llama-3-8B,He drank so much that he eventually became a beverage.,He gave up drinking.,J,no,-1.6337891,-1.6494141,0.015625,True
meta-llama/Meta-Llama-3-8B,He drank so much that he eventually became a lush.,He became an alcoholic.,S,yes,-1.8242188,-1.5195312,-0.30468759999999984,False
meta-llama/Meta-Llama-3-8B,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,J,no,-1.9853516,-1.4306641,-0.5546875,True
meta-llama/Meta-Llama-3-8B,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,S,yes,-1.9111328,-1.4033203,-0.5078125,False
meta-llama/Meta-Llama-3-8B,He hung her coat in the closet.,She had been wearing a coat.,E,yes,-2.1464844,-1.2558594,-0.8906249999999998,False
meta-llama/Meta-Llama-3-8B,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,J,yes,-1.6337891,-1.9228516,0.2890625,True
meta-llama/Meta-Llama-3-8B,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,S,no,-1.8759766,-1.6884766,-0.1875,False
meta-llama/Meta-Llama-3-8B,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,J,no,-1.8408203,-1.5126953,-0.328125,True
meta-llama/Meta-Llama-3-8B,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,S,no,-1.9707031,-1.3378906,-0.6328125,False
meta-llama/Meta-Llama-3-8B,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,J,yes,-1.9443359,-1.5068359,-0.4375,True
meta-llama/Meta-Llama-3-8B,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,S,no,-1.9931641,-1.4306641,-0.5625,False
meta-llama/Meta-Llama-3-8B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,J,no,-1.4628906,-2.2128906,0.7500000000000002,True
meta-llama/Meta-Llama-3-8B,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,S,no,-1.7324219,-1.8183594,0.0859375,False
meta-llama/Meta-Llama-3-8B,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,J,no,-1.8730469,-1.7089844,-0.1640625,True
meta-llama/Meta-Llama-3-8B,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,S,yes,-1.9794922,-1.6748047,-0.3046875,False
meta-llama/Meta-Llama-3-8B,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,E,yes,-2.0273438,-1.4257812,-0.6015626000000001,False
meta-llama/Meta-Llama-3-8B,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,E,no,-2.1132812,-1.3789062,-0.7343749999999998,False
meta-llama/Meta-Llama-3-8B,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,J,yes,-2.2519531,-1.4853516,-0.7666015000000002,True
meta-llama/Meta-Llama-3-8B,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,S,no,-2.1992188,-1.4570312,-0.7421876000000001,False
meta-llama/Meta-Llama-3-8B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,J,no,-1.5927734,-2.0058594,0.41308599999999984,True
meta-llama/Meta-Llama-3-8B,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,S,yes,-1.7509766,-1.7353516,-0.015625,False
meta-llama/Meta-Llama-3-8B,"He told me he's not broke, just badly bent.",He's doing quite well.,J,no,-1.5742188,-1.8710938,0.296875,True
meta-llama/Meta-Llama-3-8B,"He told me he's not broke, just badly off.",He has lots of money.,S,no,-1.9814453,-1.5205078,-0.4609375,False
meta-llama/Meta-Llama-3-8B,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,J,no,-1.7792969,-1.6230469,-0.15625,True
meta-llama/Meta-Llama-3-8B,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,S,yes,-1.7470703,-1.5908203,-0.15625,False
meta-llama/Meta-Llama-3-8B,He wondered if the storm had done much damage.,It had been a terrible storm.,E,yes,-2.3515625,-1.2255859,-1.1259766,False
meta-llama/Meta-Llama-3-8B,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,J,no,-1.7294922,-1.8388672,0.109375,True
meta-llama/Meta-Llama-3-8B,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,S,no,-1.7431641,-1.8603516,0.1171875,False
meta-llama/Meta-Llama-3-8B,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,J,yes,-2.0292969,-1.5908203,-0.43847659999999977,True
meta-llama/Meta-Llama-3-8B,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,S,yes,-2.1953125,-1.4384766,-0.7568359,False
meta-llama/Meta-Llama-3-8B,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,J,no,-1.5166016,-1.8603516,0.34375,True
meta-llama/Meta-Llama-3-8B,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,S,yes,-1.6689453,-1.6611328,-0.0078125,False
meta-llama/Meta-Llama-3-8B,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,S,yes,-1.8632812,-1.5429688,-0.32031240000000016,False
meta-llama/Meta-Llama-3-8B,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,J,no,-1.7060547,-1.7138672,0.0078125,True
meta-llama/Meta-Llama-3-8B,His job was to keep the sidewalk clean.,He was a doctor.,E,no,-2.1777344,-1.3271484,-0.8505859999999998,False
meta-llama/Meta-Llama-3-8B,His sandwich came with chips and a dill pickle.,He was about to eat.,E,yes,-2.0683594,-1.3574219,-0.7109374999999998,False
meta-llama/Meta-Llama-3-8B,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,J,yes,-1.5664062,-1.8632812,0.296875,True
meta-llama/Meta-Llama-3-8B,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,S,yes,-1.6464844,-1.7792969,0.1328125,False
meta-llama/Meta-Llama-3-8B,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",S,no,-1.8720703,-1.7236328,-0.1484375,False
meta-llama/Meta-Llama-3-8B,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,J,yes,-1.8720703,-1.8408203,-0.03125,True
meta-llama/Meta-Llama-3-8B,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,J,yes,-1.7275391,-1.7900391,0.0625,True
meta-llama/Meta-Llama-3-8B,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,S,no,-1.8671875,-1.71875,-0.1484375,False
meta-llama/Meta-Llama-3-8B,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,J,yes,-1.6396484,-1.7177734,0.078125,True
meta-llama/Meta-Llama-3-8B,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,S,no,-1.6005859,-1.7333984,0.1328125,False
meta-llama/Meta-Llama-3-8B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,J,yes,-1.7099609,-1.7724609,0.0625,True
meta-llama/Meta-Llama-3-8B,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,S,no,-1.9179688,-1.6523438,-0.265625,False
meta-llama/Meta-Llama-3-8B,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,J,no,-1.46875,-2.0,0.53125,True
meta-llama/Meta-Llama-3-8B,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,S,no,-1.5771484,-1.7255859,0.1484375,False
meta-llama/Meta-Llama-3-8B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,S,yes,-1.8496094,-1.7714844,-0.078125,False
meta-llama/Meta-Llama-3-8B,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,J,no,-1.7324219,-2.0292969,0.2968749999999998,True
meta-llama/Meta-Llama-3-8B,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,S,yes,-2.1171875,-1.5390625,-0.578125,False
meta-llama/Meta-Llama-3-8B,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,J,yes,-1.9511719,-1.6933594,-0.2578125,True
meta-llama/Meta-Llama-3-8B,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,J,yes,-2.0585938,-1.5185547,-0.5400391000000002,True
meta-llama/Meta-Llama-3-8B,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,S,yes,-2.1699219,-1.5283203,-0.6416015999999998,False
meta-llama/Meta-Llama-3-8B,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,J,no,-1.5146484,-1.9990234,0.484375,True
meta-llama/Meta-Llama-3-8B,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,S,no,-1.4833984,-1.9912109,0.5078125,False
meta-llama/Meta-Llama-3-8B,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,J,yes,-1.7138672,-1.7060547,-0.0078125,True
meta-llama/Meta-Llama-3-8B,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,S,yes,-1.7431641,-1.6728516,-0.0703125,False
meta-llama/Meta-Llama-3-8B,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,J,yes,-1.5517578,-2.1367188,0.5849610000000001,True
meta-llama/Meta-Llama-3-8B,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,S,yes,-1.7490234,-1.7646484,0.015625,False
meta-llama/Meta-Llama-3-8B,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,S,yes,-1.6083984,-1.8427734,0.234375,False
meta-llama/Meta-Llama-3-8B,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,J,yes,-1.7128906,-1.7988281,0.0859375,True
meta-llama/Meta-Llama-3-8B,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,S,no,-1.8330078,-1.7548828,-0.078125,False
meta-llama/Meta-Llama-3-8B,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,J,no,-1.5693359,-2.0546875,0.4853516,True
meta-llama/Meta-Llama-3-8B,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,J,yes,-1.9003906,-1.7597656,-0.140625,True
meta-llama/Meta-Llama-3-8B,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,S,yes,-1.8876953,-1.6767578,-0.2109375,False
meta-llama/Meta-Llama-3-8B,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,J,yes,-1.8857422,-1.7763672,-0.109375,True
meta-llama/Meta-Llama-3-8B,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,S,yes,-2.1191406,-1.5800781,-0.5390625000000002,False
meta-llama/Meta-Llama-3-8B,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,S,no,-1.8681641,-1.5634766,-0.3046875,False
meta-llama/Meta-Llama-3-8B,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,J,yes,-1.7998047,-1.6591797,-0.140625,True
meta-llama/Meta-Llama-3-8B,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,S,no,-1.7841797,-1.6591797,-0.125,False
meta-llama/Meta-Llama-3-8B,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,J,yes,-1.828125,-1.6796875,-0.1484375,True
meta-llama/Meta-Llama-3-8B,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,E,no,-1.7685547,-1.9951172,0.2265625,False
meta-llama/Meta-Llama-3-8B,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,S,yes,-1.4619141,-2.1347656,0.6728515000000002,False
meta-llama/Meta-Llama-3-8B,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,J,yes,-1.5429688,-2.0429688,0.5000000000000002,True
meta-llama/Meta-Llama-3-8B,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,E,yes,-1.5576172,-1.8935547,0.3359375,False
meta-llama/Meta-Llama-3-8B,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,J,yes,-2.1425781,-1.7275391,-0.41503900000000016,True
meta-llama/Meta-Llama-3-8B,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,S,yes,-2.1816406,-1.6123047,-0.5693359000000002,False
meta-llama/Meta-Llama-3-8B,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,J,no,-1.953125,-1.765625,-0.1875,True
meta-llama/Meta-Llama-3-8B,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,S,no,-1.8701172,-1.8701172,0.0,False
meta-llama/Meta-Llama-3-8B,It's hard to admit when one is wrong.,Most people don't mind being wrong.,E,no,-2.15625,-1.5615234,-0.5947266,False
meta-llama/Meta-Llama-3-8B,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,S,no,-2.1738281,-1.4326172,-0.7412109000000002,False
meta-llama/Meta-Llama-3-8B,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,J,yes,-2.0429688,-1.4726562,-0.5703126000000001,True
meta-llama/Meta-Llama-3-8B,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,S,yes,-2.2128906,-1.5107422,-0.7021484000000002,False
meta-llama/Meta-Llama-3-8B,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,J,no,-1.9472656,-1.5410156,-0.40625,True
meta-llama/Meta-Llama-3-8B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,S,yes,-1.6191406,-1.9003906,0.28125,False
meta-llama/Meta-Llama-3-8B,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,J,no,-1.6142578,-1.9501953,0.3359375,True
meta-llama/Meta-Llama-3-8B,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,J,yes,-1.7119141,-1.8759766,0.1640625,True
meta-llama/Meta-Llama-3-8B,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,S,yes,-1.7744141,-1.7197266,-0.0546875,False
meta-llama/Meta-Llama-3-8B,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",J,no,-1.5585938,-1.8789062,0.32031240000000016,True
meta-llama/Meta-Llama-3-8B,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,S,no,-1.7587891,-1.7119141,-0.046875,False
meta-llama/Meta-Llama-3-8B,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,J,no,-1.6201172,-1.8857422,0.265625,True
meta-llama/Meta-Llama-3-8B,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,S,yes,-1.8388672,-1.6982422,-0.140625,False
meta-llama/Meta-Llama-3-8B,"Many things run in families, especially noses.",People often catch colds from other family members.,J,yes,-1.9804688,-1.6210938,-0.359375,True
meta-llama/Meta-Llama-3-8B,"Many things run in families, especially strength.",Muscle power comes only from exercise.,S,no,-1.8398438,-1.7539062,-0.08593759999999984,False
meta-llama/Meta-Llama-3-8B,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,S,yes,-1.5927734,-2.0703125,0.4775391,False
meta-llama/Meta-Llama-3-8B,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,J,yes,-1.6884766,-1.9150391,0.2265625,True
meta-llama/Meta-Llama-3-8B,Most cats see very well at night.,Cats see well in the dark.,E,yes,-1.9960938,-1.4570312,-0.5390625999999998,False
meta-llama/Meta-Llama-3-8B,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,S,yes,-1.8144531,-1.8925781,0.078125,False
meta-llama/Meta-Llama-3-8B,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,J,yes,-1.7529297,-1.7919922,0.0390625,True
meta-llama/Meta-Llama-3-8B,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,E,yes,-1.8613281,-1.5253906,-0.3359375,False
meta-llama/Meta-Llama-3-8B,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,J,no,-1.5986328,-1.9267578,0.328125,True
