model,sentence,answer,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
mistralai/Mixtral-8x7B-v0.1,A vacation is the shortest distance between two locations.,A trip seems longer when you are on vacation.,S,no,-1.3251953,-2.1386719,0.8134765999999998,False
mistralai/Mixtral-8x7B-v0.1,A vacation is the shortest distance between two paychecks.,Vacations cost a lot of money.,J,yes,-1.2158203,-2.6992188,1.4833985,True
mistralai/Mixtral-8x7B-v0.1,"After Olga tore her red dress, she went to the store for a needle and a spool of red thread.",She planned to throw the dress away.,E,no,-1.6064453,-1.4345703,-0.171875,False
mistralai/Mixtral-8x7B-v0.1,"All roads lead to Rome, and all detours lead to profanity.",People are frustrated by detours.,J,yes,-1.2880859,-2.5234375,1.2353516,True
mistralai/Mixtral-8x7B-v0.1,"All roads lead to Rome, and all detours lead to somewhere.",Detours never go anywhere.,S,no,-1.3740234,-1.8115234,0.4375,False
mistralai/Mixtral-8x7B-v0.1,All the plates were garnished with little sprigs of parsley.,Each plate had some parsley on it.,E,yes,-1.7578125,-1.3671875,-0.390625,False
mistralai/Mixtral-8x7B-v0.1,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,J,yes,-1.3896484,-2.0449219,0.6552734999999998,True
mistralai/Mixtral-8x7B-v0.1,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,S,yes,-1.2314453,-2.1210938,0.8896485000000001,False
mistralai/Mixtral-8x7B-v0.1,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,J,yes,-1.6220703,-1.5283203,-0.09375,True
mistralai/Mixtral-8x7B-v0.1,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,S,no,-2.140625,-1.4052734,-0.7353516,False
mistralai/Mixtral-8x7B-v0.1,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,S,yes,-1.9023438,-1.5742188,-0.328125,False
mistralai/Mixtral-8x7B-v0.1,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,J,no,-1.4726562,-1.8476562,0.375,True
mistralai/Mixtral-8x7B-v0.1,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,J,no,-1.7294922,-1.6982422,-0.03125,True
mistralai/Mixtral-8x7B-v0.1,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,S,no,-1.9736328,-1.6142578,-0.359375,False
mistralai/Mixtral-8x7B-v0.1,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,E,yes,-1.8925781,-1.4550781,-0.4375,False
mistralai/Mixtral-8x7B-v0.1,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,E,no,-1.7958984,-1.3740234,-0.421875,False
mistralai/Mixtral-8x7B-v0.1,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,E,yes,-1.9765625,-1.1015625,-0.875,False
mistralai/Mixtral-8x7B-v0.1,Bill jumped in the lake and made a big splash.,Bill went for a swim.,E,yes,-2.0859375,-1.0380859,-1.0478516,False
mistralai/Mixtral-8x7B-v0.1,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,J,no,-1.0849609,-2.1328125,1.0478516,True
mistralai/Mixtral-8x7B-v0.1,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,S,no,-1.0966797,-2.1914062,1.0947265,False
mistralai/Mixtral-8x7B-v0.1,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,J,yes,-1.0185547,-2.3320312,1.3134765,True
mistralai/Mixtral-8x7B-v0.1,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,S,yes,-1.2226562,-1.9257812,0.703125,False
mistralai/Mixtral-8x7B-v0.1,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,J,yes,-1.1689453,-2.3554688,1.1865235,True
mistralai/Mixtral-8x7B-v0.1,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,S,yes,-1.2363281,-2.1269531,0.8906250000000002,False
mistralai/Mixtral-8x7B-v0.1,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,J,no,-1.3583984,-1.9677734,0.609375,True
mistralai/Mixtral-8x7B-v0.1,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,S,no,-1.7226562,-1.4257812,-0.296875,False
mistralai/Mixtral-8x7B-v0.1,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,J,yes,-1.1181641,-2.1347656,1.0166015000000002,True
mistralai/Mixtral-8x7B-v0.1,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,S,yes,-1.3779297,-1.3154297,-0.0625,False
mistralai/Mixtral-8x7B-v0.1,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,E,yes,-1.3388672,-1.5732422,0.234375,False
mistralai/Mixtral-8x7B-v0.1,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,E,yes,-1.0849609,-1.8974609,0.8125,False
mistralai/Mixtral-8x7B-v0.1,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,E,yes,-2.0234375,-1.1171875,-0.90625,False
mistralai/Mixtral-8x7B-v0.1,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,E,yes,-1.3730469,-1.8261719,0.453125,False
mistralai/Mixtral-8x7B-v0.1,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,S,no,-1.6132812,-1.5507812,-0.0625,False
mistralai/Mixtral-8x7B-v0.1,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,J,yes,-1.2695312,-1.8632812,0.59375,True
mistralai/Mixtral-8x7B-v0.1,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,S,no,-1.3720703,-1.7158203,0.34375,False
mistralai/Mixtral-8x7B-v0.1,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,J,yes,-1.1328125,-1.9609375,0.828125,True
mistralai/Mixtral-8x7B-v0.1,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,E,yes,-1.3066406,-1.7285156,0.421875,False
mistralai/Mixtral-8x7B-v0.1,"Figures don't lie, except on the beaches.",People lie in the sand.,J,yes,-1.0761719,-2.4824219,1.4062499999999998,True
mistralai/Mixtral-8x7B-v0.1,"Figures don't lie, except on the page.",Statistics are completely reliable.,S,no,-1.2138672,-2.4648438,1.2509766000000002,False
mistralai/Mixtral-8x7B-v0.1,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,J,no,-1.4726562,-1.8320312,0.359375,True
mistralai/Mixtral-8x7B-v0.1,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,S,yes,-1.3925781,-2.0957031,0.7031250000000002,False
mistralai/Mixtral-8x7B-v0.1,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,E,yes,-1.9169922,-1.3076172,-0.609375,False
mistralai/Mixtral-8x7B-v0.1,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,E,yes,-2.2050781,-1.1884766,-1.0166015000000002,False
mistralai/Mixtral-8x7B-v0.1,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,J,yes,-1.0917969,-2.2949219,1.2031249999999998,True
mistralai/Mixtral-8x7B-v0.1,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,S,no,-1.2783203,-2.0429688,0.7646485000000001,False
mistralai/Mixtral-8x7B-v0.1,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,E,yes,-1.9394531,-1.0644531,-0.875,False
mistralai/Mixtral-8x7B-v0.1,Hal wrote her a love letter.,Hal didn't like her very much.,E,no,-1.625,-1.578125,-0.046875,False
mistralai/Mixtral-8x7B-v0.1,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,S,yes,-1.0742188,-1.9648438,0.890625,False
mistralai/Mixtral-8x7B-v0.1,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,J,no,-1.1054688,-1.8867188,0.78125,True
mistralai/Mixtral-8x7B-v0.1,He drank so much that he eventually became a beverage.,He gave up drinking.,J,no,-1.0273438,-2.0898438,1.0625000000000002,True
mistralai/Mixtral-8x7B-v0.1,He drank so much that he eventually became a lush.,He became an alcoholic.,S,yes,-1.4970703,-1.5283203,0.03125,False
mistralai/Mixtral-8x7B-v0.1,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,J,no,-1.2617188,-1.9335938,0.671875,True
mistralai/Mixtral-8x7B-v0.1,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,S,yes,-1.8203125,-1.3984375,-0.421875,False
mistralai/Mixtral-8x7B-v0.1,He hung her coat in the closet.,She had been wearing a coat.,E,yes,-1.9179688,-1.2773438,-0.640625,False
mistralai/Mixtral-8x7B-v0.1,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,J,yes,-1.1162109,-2.5058594,1.3896484999999998,True
mistralai/Mixtral-8x7B-v0.1,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,S,no,-1.25,-2.140625,0.890625,False
mistralai/Mixtral-8x7B-v0.1,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,J,no,-1.3476562,-1.7539062,0.40625,True
mistralai/Mixtral-8x7B-v0.1,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,S,no,-1.6044922,-1.7763672,0.171875,False
mistralai/Mixtral-8x7B-v0.1,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,J,yes,-1.2089844,-2.0371094,0.8281249999999998,True
mistralai/Mixtral-8x7B-v0.1,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,S,no,-1.6181641,-1.4619141,-0.15625,False
mistralai/Mixtral-8x7B-v0.1,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,J,no,-1.1503906,-1.9472656,0.796875,True
mistralai/Mixtral-8x7B-v0.1,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,S,no,-1.4248047,-1.7216797,0.296875,False
mistralai/Mixtral-8x7B-v0.1,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,J,no,-1.5371094,-1.5839844,0.046875,True
mistralai/Mixtral-8x7B-v0.1,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,S,yes,-1.7490234,-1.5146484,-0.234375,False
mistralai/Mixtral-8x7B-v0.1,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,E,yes,-1.4228516,-1.5166016,0.09375,False
mistralai/Mixtral-8x7B-v0.1,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,E,no,-1.3291016,-1.4697266,0.140625,False
mistralai/Mixtral-8x7B-v0.1,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,J,yes,-0.9951172,-2.1367188,1.1416016,True
mistralai/Mixtral-8x7B-v0.1,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,S,no,-1.3085938,-1.6367188,0.328125,False
mistralai/Mixtral-8x7B-v0.1,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,J,no,-1.0214844,-1.8808594,0.859375,True
mistralai/Mixtral-8x7B-v0.1,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,S,yes,-1.015625,-1.953125,0.9375,False
mistralai/Mixtral-8x7B-v0.1,"He told me he's not broke, just badly bent.",He's doing quite well.,J,no,-1.2167969,-2.1386719,0.9218749999999998,True
mistralai/Mixtral-8x7B-v0.1,"He told me he's not broke, just badly off.",He has lots of money.,S,no,-1.3193359,-1.9599609,0.640625,False
mistralai/Mixtral-8x7B-v0.1,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,J,no,-1.0595703,-1.9033203,0.84375,True
mistralai/Mixtral-8x7B-v0.1,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,S,yes,-1.0654297,-1.9091797,0.84375,False
mistralai/Mixtral-8x7B-v0.1,He wondered if the storm had done much damage.,It had been a terrible storm.,E,yes,-1.7304688,-1.4804688,-0.25,False
mistralai/Mixtral-8x7B-v0.1,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,J,no,-1.2412109,-2.0214844,0.7802734999999998,True
mistralai/Mixtral-8x7B-v0.1,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,S,no,-1.1904297,-2.0800781,0.8896484000000002,False
mistralai/Mixtral-8x7B-v0.1,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,J,yes,-1.1630859,-1.9443359,0.78125,True
mistralai/Mixtral-8x7B-v0.1,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,S,yes,-1.5498047,-1.5654297,0.015625,False
mistralai/Mixtral-8x7B-v0.1,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,J,no,-1.125,-2.21875,1.09375,True
mistralai/Mixtral-8x7B-v0.1,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,S,yes,-1.2001953,-1.9814453,0.78125,False
mistralai/Mixtral-8x7B-v0.1,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,S,yes,-1.1376953,-1.9814453,0.84375,False
mistralai/Mixtral-8x7B-v0.1,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,J,no,-1.0947266,-2.0800781,0.9853515000000002,True
mistralai/Mixtral-8x7B-v0.1,His job was to keep the sidewalk clean.,He was a doctor.,E,no,-1.265625,-1.765625,0.5,False
mistralai/Mixtral-8x7B-v0.1,His sandwich came with chips and a dill pickle.,He was about to eat.,E,yes,-1.8046875,-1.2109375,-0.59375,False
mistralai/Mixtral-8x7B-v0.1,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,J,yes,-1.1796875,-2.0078125,0.828125,True
mistralai/Mixtral-8x7B-v0.1,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,S,yes,-1.4013672,-1.5888672,0.1875,False
mistralai/Mixtral-8x7B-v0.1,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",S,no,-1.6933594,-1.8496094,0.15625,False
mistralai/Mixtral-8x7B-v0.1,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,J,yes,-1.2011719,-2.4511719,1.2499999999999998,True
mistralai/Mixtral-8x7B-v0.1,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,J,yes,-1.1279297,-1.8935547,0.765625,True
mistralai/Mixtral-8x7B-v0.1,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,S,no,-1.6162109,-1.5068359,-0.109375,False
mistralai/Mixtral-8x7B-v0.1,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,J,yes,-1.0380859,-2.8515625,1.8134766,True
mistralai/Mixtral-8x7B-v0.1,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,S,no,-1.40625,-2.15625,0.75,False
mistralai/Mixtral-8x7B-v0.1,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,J,yes,-1.1220703,-2.5742188,1.4521485,True
mistralai/Mixtral-8x7B-v0.1,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,S,no,-1.15625,-2.34375,1.1875,False
mistralai/Mixtral-8x7B-v0.1,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,J,no,-1.2988281,-2.1894531,0.8906250000000002,True
mistralai/Mixtral-8x7B-v0.1,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,S,no,-1.3271484,-2.0449219,0.7177734999999998,False
mistralai/Mixtral-8x7B-v0.1,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,S,yes,-1.2363281,-1.9238281,0.6875,False
mistralai/Mixtral-8x7B-v0.1,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,J,no,-1.0888672,-2.2753906,1.1865234000000002,True
mistralai/Mixtral-8x7B-v0.1,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,S,yes,-1.3564453,-1.8251953,0.46875,False
mistralai/Mixtral-8x7B-v0.1,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,J,yes,-1.0498047,-2.5195312,1.4697265,True
mistralai/Mixtral-8x7B-v0.1,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,J,yes,-1.34375,-1.84375,0.5,True
mistralai/Mixtral-8x7B-v0.1,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,S,yes,-1.2910156,-1.8847656,0.59375,False
mistralai/Mixtral-8x7B-v0.1,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,J,no,-1.0253906,-2.5410156,1.5156250000000002,True
mistralai/Mixtral-8x7B-v0.1,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,S,no,-1.1152344,-2.4433594,1.3281249999999998,False
mistralai/Mixtral-8x7B-v0.1,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,J,yes,-1.4492188,-1.7148438,0.265625,True
mistralai/Mixtral-8x7B-v0.1,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,S,yes,-1.5410156,-1.6347656,0.09375,False
mistralai/Mixtral-8x7B-v0.1,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,J,yes,-1.0400391,-2.8359375,1.7958984,True
mistralai/Mixtral-8x7B-v0.1,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,S,yes,-1.3242188,-2.0898438,0.7656250000000002,False
mistralai/Mixtral-8x7B-v0.1,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,S,yes,-1.1132812,-2.2070312,1.0937499999999998,False
mistralai/Mixtral-8x7B-v0.1,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,J,yes,-1.0214844,-2.1621094,1.1406249999999998,True
mistralai/Mixtral-8x7B-v0.1,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,S,no,-1.2363281,-1.8300781,0.59375,False
mistralai/Mixtral-8x7B-v0.1,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,J,no,-1.0546875,-2.2890625,1.234375,True
mistralai/Mixtral-8x7B-v0.1,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,J,yes,-1.4169922,-2.0429688,0.6259766000000002,True
mistralai/Mixtral-8x7B-v0.1,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,S,yes,-1.5791016,-1.8759766,0.296875,False
mistralai/Mixtral-8x7B-v0.1,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,J,yes,-1.4121094,-2.0371094,0.6249999999999998,True
mistralai/Mixtral-8x7B-v0.1,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,S,yes,-1.5263672,-1.8857422,0.359375,False
mistralai/Mixtral-8x7B-v0.1,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,S,no,-1.6416016,-1.5634766,-0.078125,False
mistralai/Mixtral-8x7B-v0.1,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,J,yes,-1.2285156,-2.1035156,0.8750000000000002,True
mistralai/Mixtral-8x7B-v0.1,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,S,no,-1.7646484,-1.6552734,-0.109375,False
mistralai/Mixtral-8x7B-v0.1,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,J,yes,-1.3554688,-1.9492188,0.59375,True
mistralai/Mixtral-8x7B-v0.1,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,E,no,-1.3974609,-1.3974609,0.0,False
mistralai/Mixtral-8x7B-v0.1,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,S,yes,-1.1416016,-2.0644531,0.9228515000000002,False
mistralai/Mixtral-8x7B-v0.1,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,J,yes,-0.96728516,-2.2167969,1.24951174,True
mistralai/Mixtral-8x7B-v0.1,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,E,yes,-1.4365234,-1.6083984,0.171875,False
mistralai/Mixtral-8x7B-v0.1,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,J,yes,-1.3056641,-2.3222656,1.0166015000000002,True
mistralai/Mixtral-8x7B-v0.1,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,S,yes,-1.2832031,-2.0957031,0.8125000000000002,False
mistralai/Mixtral-8x7B-v0.1,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,J,no,-1.3173828,-1.9267578,0.609375,True
mistralai/Mixtral-8x7B-v0.1,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,S,no,-1.3818359,-1.7568359,0.375,False
mistralai/Mixtral-8x7B-v0.1,It's hard to admit when one is wrong.,Most people don't mind being wrong.,E,no,-1.828125,-1.59375,-0.234375,False
mistralai/Mixtral-8x7B-v0.1,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,S,no,-1.4863281,-1.7207031,0.234375,False
mistralai/Mixtral-8x7B-v0.1,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,J,yes,-1.4267578,-1.7080078,0.28125,True
mistralai/Mixtral-8x7B-v0.1,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,S,yes,-1.4863281,-1.9863281,0.5,False
mistralai/Mixtral-8x7B-v0.1,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,J,no,-1.1289062,-2.4570312,1.3281249999999998,True
mistralai/Mixtral-8x7B-v0.1,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,S,yes,-1.2929688,-1.8085938,0.515625,False
mistralai/Mixtral-8x7B-v0.1,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,J,no,-1.0673828,-2.0527344,0.9853515999999998,True
mistralai/Mixtral-8x7B-v0.1,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,J,yes,-1.3417969,-2.1230469,0.7812499999999998,True
mistralai/Mixtral-8x7B-v0.1,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,S,yes,-1.4560547,-2.0488281,0.5927734000000002,False
mistralai/Mixtral-8x7B-v0.1,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",J,no,-1.3759766,-1.9697266,0.59375,True
mistralai/Mixtral-8x7B-v0.1,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,S,no,-1.6181641,-1.6962891,0.078125,False
mistralai/Mixtral-8x7B-v0.1,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,J,no,-1.1347656,-2.5566406,1.4218750000000002,True
mistralai/Mixtral-8x7B-v0.1,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,S,yes,-1.7568359,-1.6005859,-0.15625,False
mistralai/Mixtral-8x7B-v0.1,"Many things run in families, especially noses.",People often catch colds from other family members.,J,yes,-1.2412109,-2.1308594,0.8896484999999998,True
mistralai/Mixtral-8x7B-v0.1,"Many things run in families, especially strength.",Muscle power comes only from exercise.,S,no,-1.5537109,-1.6005859,0.046875,False
mistralai/Mixtral-8x7B-v0.1,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,S,yes,-1.4042969,-1.8417969,0.4375,False
mistralai/Mixtral-8x7B-v0.1,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,J,yes,-1.1572266,-2.203125,1.0458984,True
mistralai/Mixtral-8x7B-v0.1,Most cats see very well at night.,Cats see well in the dark.,E,yes,-1.9824219,-1.3105469,-0.671875,False
mistralai/Mixtral-8x7B-v0.1,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,S,yes,-1.4628906,-1.7753906,0.3125,False
mistralai/Mixtral-8x7B-v0.1,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,J,yes,-1.3681641,-2.0253906,0.6572265000000002,True
