Condition,Exp Code,Sentence,Answer,Correct,First Five Words,Group Number,Same/Different
E,6076,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,yes,good friday commemorates the last,38,E
E,5057,Hal wrote her a love letter.,Hal didn't like her very much.,no,hal wrote her a love,39,E
S,3034,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,yes,he asked if i'd join,40,Different
J,1034,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,no,he asked if i'd join,40,Different
J,1080,He drank so much that he eventually became a beverage.,He gave up drinking.,no,he drank so much that,41,Different
S,4080,He drank so much that he eventually became a lush.,He became an alcoholic.,yes,he drank so much that,41,Different
J,2014,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,no,he got a medal for,42,Different
S,3014,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,yes,he got a medal for,42,Different
E,6035,He hung her coat in the closet.,She had been wearing a coat.,yes,he hung her coat in,43,E
J,2079,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,yes,he is at the age,44,Different
S,4079,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,no,he is at the age,44,Different
J,1097,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,no,he is probably the best,45,Same
S,3097,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,no,he is probably the best,45,Same
J,2137,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,yes,he likes to make things,46,Different
S,4137,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,no,he likes to make things,46,Different
J,2011,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,no,he owns stock in a,47,Same
S,4011,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,no,he owns stock in a,47,Same
J,1083,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,no,he says he doesn't like,48,Different
S,3083,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,yes,he says he doesn't like,48,Different
E,5041,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,yes,he spilled some of the,49,E
E,6036,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,no,he thought that he could,50,E
J,1031,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,yes,he told her he wasn't,51,Different
S,3031,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,no,he told her he wasn't,51,Different
J,1020,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,no,he told me he just,52,Different
S,4020,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,yes,he told me he just,52,Different
J,2123,"He told me he's not broke, just badly bent.",He's doing quite well.,no,he told me he's not,53,Same
S,4123,"He told me he's not broke, just badly off.",He has lots of money.,no,he told me he's not,53,Same
J,1099,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,no,he was teaching his girlfriend,54,Different
S,3099,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,yes,he was teaching his girlfriend,54,Different
E,6007,He wondered if the storm had done much damage.,It had been a terrible storm.,yes,he wondered if the storm,55,E
J,1103,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,no,he's never given a girl,56,Same
S,3103,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,no,he's never given a girl,56,Same
J,1076,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,yes,he's planning an extended vacation:,57,Same
S,3076,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,yes,he's planning an extended vacation:,57,Same
J,2028,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,no,her press agent was operated,58,Different
S,4028,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,yes,her press agent was operated,58,Different
S,4042,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,yes,his doctor recommended he stay,59,Different
J,2042,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,no,his doctor recommended he stay,59,Different
E,5010,His job was to keep the sidewalk clean.,He was a doctor.,no,his job was to keep,60,E
E,5001,His sandwich came with chips and a dill pickle.,He was about to eat.,yes,his sandwich came with chips,61,E
J,1057,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,yes,his wife sued for divorce,62,Same
S,3057,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,yes,his wife sued for divorce,62,Same
S,3050,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",no,i appreciate the more expensive,63,Different
J,1050,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,yes,i appreciate the more expensive,63,Different
J,2044,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,yes,i asked him if he,64,Different
S,4044,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,no,i asked him if he,64,Different
J,2090,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,yes,i asked the florist what,65,Different
S,3090,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,no,i asked the florist what,65,Different
J,2009,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,yes,i asked the woman at,66,Different
S,4009,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,no,i asked the woman at,66,Different
J,1064,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,no,"i can walk on water,",67,Same
S,4064,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,no,"i can walk on water,",67,Same
S,3019,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,yes,i decided to start saving,68,Different
J,1019,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,no,i decided to start saving,68,Different
S,4105,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,yes,i got a car for,69,Same
J,2105,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,yes,i got a car for,69,Same
J,2104,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,yes,i hope this train stops,70,Same
S,4104,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,yes,i hope this train stops,70,Same
J,1004,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,no,i knew a streetwalker who,71,Same
S,4004,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,no,i knew a streetwalker who,71,Same
J,1129,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,yes,i know one couple who,72,Same
S,3129,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,yes,i know one couple who,72,Same
J,2107,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,yes,"i still miss my ex-wife,",73,Same
S,4107,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,yes,"i still miss my ex-wife,",73,Same
S,3053,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,yes,i went to a place,74,Same
J,1053,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,yes,i went to a place,74,Same
S,4128,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,no,"i've got parkinson's disease, and",75,Same
J,1128,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,no,"i've got parkinson's disease, and",75,Same
J,2095,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,yes,if there's one thing that,76,Same
S,4095,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,yes,if there's one thing that,76,Same
J,2126,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,yes,"if you're filthy rich, sending",77,Same
S,4126,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,yes,"if you're filthy rich, sending",77,Same
S,3012,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,no,in some marriages the bride,78,Different
J,2012,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,yes,in some marriages the bride,78,Different
S,4119,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,no,"in the game of golf,",79,Different
J,2119,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,yes,"in the game of golf,",79,Different
E,6012,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,no,in the u.s. the five,80,E
S,4084,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,yes,it was so hot at,81,Same
J,2084,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,yes,it was so hot at,81,Same
E,5070,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,yes,it was too hot to,82,E
J,2091,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,yes,it's always nicer to give,83,Same
S,4091,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,yes,it's always nicer to give,83,Same
J,1118,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,no,it's extraordinary what fine poker,84,Same
S,3118,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,no,it's extraordinary what fine poker,84,Same
E,6020,It's hard to admit when one is wrong.,Most people don't mind being wrong.,no,it's hard to admit when,85,E
S,4065,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,no,it's hard to raise a,86,Different
J,2065,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,yes,it's hard to raise a,86,Different
S,3114,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,yes,it's not hard to meet,87,Different
J,1114,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,no,it's not hard to meet,87,Different
S,4008,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,yes,last thanksgiving my wife spent,88,Different
J,1008,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,no,last thanksgiving my wife spent,88,Different
J,1150,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,yes,"love has its benefits, and",89,Same
S,4150,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,yes,"love has its benefits, and",89,Same
J,1113,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",no,many a freshman helps the,90,Same
S,3113,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,no,many a freshman helps the,90,Same
J,1016,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,no,many a man's idea of,91,Different
S,3016,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,yes,many a man's idea of,91,Different
J,2156,"Many things run in families, especially noses.",People often catch colds from other family members.,yes,"many things run in families,",92,Different
S,3156,"Many things run in families, especially strength.",Muscle power comes only from exercise.,no,"many things run in families,",92,Different
S,3142,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,yes,modern science is amazing: garbage,93,Same
J,1142,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,yes,modern science is amazing: garbage,93,Same
E,6019,Most cats see very well at night.,Cats see well in the dark.,yes,most cats see very well,94,E
S,3147,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,yes,most of the people running,95,Same
J,1147,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,yes,most of the people running,95,Same
E,6047,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,yes,mrs martin told the bad,96,E
J,2081,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,no,my brother-in-law enjoys fixing things,97,Different
S,4081,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,yes,my brother-in-law enjoys fixing things,97,Different
S,3138,My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,no,my church welcomes all denominations,98,Different
J,2138,My church welcomes all denominations but prefers twenties.,My church wants money.,yes,my church welcomes all denominations,98,Different
J,2029,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,yes,my doctor has never violated,99,Same
S,4029,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,yes,my doctor has never violated,99,Same
J,1130,My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,no,my husband took the money,100,Different
S,4130,My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,yes,my husband took the money,100,Different
S,4139,"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,yes,my mechanic couldn't fix my,101,Same
J,2139,"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",yes,my mechanic couldn't fix my,101,Same
S,3054,My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,no,my wife did natural childbirth:,102,Different
J,2054,My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,yes,my wife did natural childbirth:,102,Different
S,4102,"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,yes,nature has three ways of,103,Same
J,2102,"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,yes,nature has three ways of,103,Same
J,2041,No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,yes,no patient should leave the,104,Different
S,4041,No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,no,no patient should leave the,104,Different
E,6032,None of his books made any sense.,His books were hard to understand.,yes,none of his books made,105,E
S,3087,Nothing ages a woman faster than hardships.,A difficult life can make you look old.,yes,nothing ages a woman faster,106,Same
J,1087,Nothing ages a woman faster than identification.,Many women lie about their age.,yes,nothing ages a woman faster,106,Same
J,2010,Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,yes,nothing in the known universe,107,Same
S,3010,Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,yes,nothing in the known universe,107,Same
J,2030,Nothing you put in a banana split is as potentially fattening as the spoon.,Eating banana splits can make you fat.,yes,nothing you put in a,108,Different
S,3030,Nothing you put in a banana split is as potentially fattening as the syrup.,Syrup has very few calories.,no,nothing you put in a,108,Different
S,3035,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",The divorce hadn't affected their work.,no,now that the hollywood couple,109,Same
J,1035,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",They are already married.,no,now that the hollywood couple,109,Same
S,4027,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",They are raising money to build a new church.,no,once a week they hold,110,Same
J,2027,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",They are raising money to help orphans.,no,once a week they hold,110,Same
J,2155,One good turn gets most of the blanket.,"If you do nice things, people will give you blankets.",no,one good turn gets most,111,Different
S,4155,One good turn gets most of the profit.,Doing something good can earn you money.,yes,one good turn gets most,111,Different
S,3068,One good way to invest in the country is to buy a business.,Buying a business is bad for the economy.,no,one good way to invest,112,Different
J,2068,One good way to invest in the country is to buy a senator.,Politicians will do favors for money.,yes,one good way to invest,112,Different
S,3051,One person who sure makes a long story short is my aunt.,My aunt talks a lot.,no,one person who sure makes,113,Different
J,1051,One person who sure makes a long story short is my editor.,My editor cuts out parts of my stories.,yes,one person who sure makes,113,Different
J,2075,One thing that makes the world go round is detours.,Detours make people go around.,yes,one thing that makes the,114,Different
S,4075,One thing that makes the world go round is greed.,Most people don't care about money.,no,one thing that makes the,114,Different
S,3154,One way to keep pornography away from teenagers is to put it in a cabinet.,Adult magazines should be put where adolescents won't get into them.,yes,one way to keep pornography,115,Different
J,2154,One way to keep pornography away from teenagers is to put it in a textbook.,Teenagers read their textbooks often.,no,one way to keep pornography,115,Different
E,5078,Our new green car blocked the narrow driveway.,The car was parked in the garage.,no,our new green car blocked,116,E
J,1022,Our son brought home a note from school saying they need a written excuse for his presence.,The son does very well in school.,no,our son brought home a,117,Different
S,4022,Our son brought home a note from school saying they need a written excuse for his tardiness.,He had been late for school.,yes,our son brought home a,117,Different
S,4078,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",Parents want their teenagers to have appropriate forms of entertainment.,yes,"parents support clubs for teenagers,",118,Same
J,1078,"Parents support clubs for teenagers, especially when they lack other forms of punishment.",Teenagers may need physical punishment.,yes,"parents support clubs for teenagers,",118,Same
E,5045,Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,Paul broke the garbage disposal.,no,paul heard a loud grinding,119,E
S,4108,Politicians who are as American as apple pie still want their rewards.,Patriotic politicians don't care about personal glory.,no,politicians who are as american,120,Same
J,2108,Politicians who are as American as apple pie still want their slice.,Politicians are happy to do something for nothing.,no,politicians who are as american,120,Same
S,3073,Save the whales; start a coalition.,"To save an endangered species, it's best to act alone.",no,save the whales; start a,121,Same
J,1073,Save the whales; start a collection.,It's important to protect endangered species in the wild.,no,save the whales; start a,121,Same
J,2070,She always told girls not to look for a husband but just to date bachelors.,It's better to date a married man.,no,she always told girls not,122,Same
S,3070,She always told girls not to look for a husband but just to date someone.,She thinks you should wait for the perfect man.,no,she always told girls not,122,Same
S,4153,"She asked what state he was born in, and he said in the East.",He was a native Californian.,no,she asked what state he,123,Same
J,2153,"She asked what state he was born in, and he said in the nude.",He said he was born in the North.,no,she asked what state he,123,Same
E,5034,She bought her father a tasteful tie for his birthday.,She was giving her father a Christmas gift.,no,she bought her father a,124,E
E,6040,She called her husband at his office.,Her husband worked at home.,no,she called her husband at,125,E
S,4046,"She is so modest, she pulls down the shade to change her jacket.",She doesn't want people to see her change clothes.,yes,"she is so modest, she",126,Different
J,1046,"She is so modest, she pulls down the shade to change her mind.",She likes to show off in front of others.,no,"she is so modest, she",126,Different
J,1082,She puts something behind her ears to attract men; lately she's been using her ankles.,She's very prudish.,no,she puts something behind her,127,Different
S,4082,She puts something behind her ears to attract men; lately she's been using her vanilla.,She wears vanilla as a perfume.,yes,she puts something behind her,127,Different
S,4005,She read so much about the bad effects of cigarettes she decided to give up the habit.,She was going to quit smoking.,yes,she read so much about,128,Different
J,2005,She read so much about the bad effects of cigarettes she decided to give up the reading.,She planned to quit smoking.,no,she read so much about,128,Different
E,6031,She tied up her hair with a yellow ribbon.,She had very short hair.,no,she tied up her hair,129,E
J,1021,"She told him he looked like a million, and she meant every century.",She thought he looked quite young and handsome.,no,she told him he looked,130,Different
S,3021,"She told him he looked like a million, and she meant every syllable.",She thought he looked good.,yes,she told him he looked,130,Different
E,6060,She used a needle and a tweezers to pull out the splinter.,She needed a scalpel to remove the splinter.,no,she used a needle and,131,E
E,5033,She was suddenly called back to New York and had to take a cab to the airport.,She was going to take a train.,no,she was suddenly called back,132,E
S,4002,"She went on a fourteen day diet, but she only lost two ounces.",She didn't lose much weight.,yes,she went on a fourteen,133,Same
J,1002,"She went on a fourteen day diet, but she only lost two weeks.",She didn't lose any weight.,yes,she went on a fourteen,133,Same
S,4146,She's happy because she finally has a boyfriend who gets along with her father.,Her father really liked her previous boyfriends.,no,she's happy because she finally,134,Different
J,1146,She's happy because she finally has a boyfriend who gets along with her fiance.,She is dating more than one man.,yes,she's happy because she finally,134,Different
J,2093,"Some babies are born to rule, while others are male.",Males are born rulers.,no,some babies are born to,135,Different
S,4093,"Some babies are born to rule, while others are weak.",Power starts at an early age.,yes,some babies are born to,135,Different
J,1115,"Some husbands are good providers, but only if you count children.",Some men don't take care of their families.,yes,"some husbands are good providers,",136,Same
S,3115,"Some husbands are good providers, but only if you count salary.",Some men give their families nothing but money.,yes,"some husbands are good providers,",136,Same
J,1033,Some people think courtship is the first in a series of steps leading to divorce.,One of those steps is marriage.,yes,some people think courtship is,137,Same
S,3033,Some people think courtship is the first in a series of steps leading to romance.,Some people still believe in romantic courtship.,yes,some people think courtship is,137,Same
J,1117,Some people's only culture is bacteria.,Everybody can appreciate the fine arts.,no,some people's only culture is,138,Same
