model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio,is_joke
text-davinci-002,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,0,S,yes,-2.2731102,-0.7802106,-1.4928996,False
text-davinci-002,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,0,J,yes,-4.1369605,-0.39804268,-3.7389178199999997,True
text-davinci-002,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,0,S,yes,-6.137436,-0.29453635,-5.84289965,False
text-davinci-002,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,0,J,no,-6.663275,-0.3342691,-6.329005899999999,True
text-davinci-002,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,0,S,no,-8.275863,-0.23112054,-8.04474246,False
text-davinci-002,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,0,J,yes,-0.8392048,-2.9722457,2.1330409,True
text-davinci-002,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,0,S,yes,-6.9394174,-0.26783767,-6.6715797299999995,False
text-davinci-002,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,0,E,yes,-7.52031,-0.33836287,-7.18194713,False
text-davinci-002,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,0,E,yes,-4.709069,-0.39927238,-4.30979662,False
text-davinci-002,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,0,E,yes,-7.813593,-0.19146946,-7.62212354,False
text-davinci-002,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,0,E,yes,-5.0106945,-0.22380774,-4.78688676,False
text-davinci-002,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,0,S,no,-8.858978,-0.2769925,-8.5819855,False
text-davinci-002,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,0,J,yes,-2.4931757,-0.45635432,-2.03682138,True
text-davinci-002,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,0,S,no,-5.437329,-0.32739612,-5.10993288,False
text-davinci-002,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,0,J,yes,-1.5783042,-0.89321697,-0.68508723,True
text-davinci-002,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,0,E,yes,-5.309823,-0.27497083,-5.03485217,False
text-davinci-002,"Figures don't lie, except on the beaches.",People lie in the sand.,0,J,yes,-1.2463577,-2.5093024,1.2629447000000003,True
text-davinci-002,"Figures don't lie, except on the page.",Statistics are completely reliable.,0,S,no,-1.8142105,-1.408383,-0.4058275,False
text-davinci-002,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,0,J,no,-1.5089626,-0.94339424,-0.56556836,True
text-davinci-002,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,0,S,yes,-1.5391728,-1.2632055,-0.2759673,False
text-davinci-002,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,0,E,yes,-5.884702,-0.4257571,-5.4589449,False
text-davinci-002,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,0,E,yes,-9.489331,-0.29519185,-9.19413915,False
text-davinci-002,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,0,J,yes,-0.8909729,-1.8061816,0.9152087,True
text-davinci-002,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,0,S,no,-3.0908475,-0.40139508,-2.6894524200000003,False
text-davinci-002,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,0,E,yes,-8.959127,-0.27693,-8.682197,False
text-davinci-002,Hal wrote her a love letter.,Hal didn't like her very much.,0,E,no,-6.6539845,-0.24949317,-6.40449133,False
text-davinci-002,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,0,S,yes,-1.6443235,-1.1454599,-0.49886359999999996,False
text-davinci-002,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,0,J,no,-2.0108113,-0.86229396,-1.1485173399999997,True
text-davinci-002,He drank so much that he eventually became a beverage.,He gave up drinking.,0,J,no,-2.403601,-0.5492685,-1.8543325,True
text-davinci-002,He drank so much that he eventually became a lush.,He became an alcoholic.,0,S,yes,-2.7145941,-0.49178508,-2.2228090199999997,False
text-davinci-002,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,0,J,no,-4.9389224,-0.22604698,-4.71287542,True
text-davinci-002,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,0,S,yes,-7.260683,-0.2384677,-7.0222153,False
text-davinci-002,He hung her coat in the closet.,She had been wearing a coat.,0,E,yes,-9.207238,-0.26879835,-8.93843965,False
text-davinci-002,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,0,J,yes,-0.90022874,-2.0915725,1.1913437599999999,True
text-davinci-002,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,0,S,no,-2.0083103,-0.7039085,-1.3044018000000002,False
text-davinci-002,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,0,J,no,-1.8267267,-0.7036243,-1.1231024,True
text-davinci-002,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,0,S,no,-4.4920735,-0.3623849,-4.1296886,False
text-davinci-002,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,0,J,yes,-2.3496673,-0.6730405,-1.6766268000000002,True
text-davinci-002,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,0,S,no,-6.66565,-0.2991004,-6.3665496,False
text-davinci-002,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,0,J,no,-3.779299,-0.39689475,-3.38240425,True
text-davinci-002,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,0,S,no,-5.3736296,-0.30779502,-5.06583458,False
text-davinci-002,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,0,J,no,-2.5504768,-0.7435709,-1.8069059000000003,True
text-davinci-002,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,0,S,yes,-3.3724325,-0.6678412,-2.7045912999999997,False
text-davinci-002,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,0,E,yes,-4.180042,-0.4665676,-3.7134744000000004,False
text-davinci-002,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,0,E,no,-5.327862,-0.35878587,-4.9690761299999995,False
text-davinci-002,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,0,J,yes,-1.2755408,-2.0093389,0.7337981,True
text-davinci-002,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,0,S,no,-1.1938165,-1.3229069,0.12909039999999994,False
text-davinci-002,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,0,J,no,-0.8296042,-1.8103739,0.9807697000000001,True
text-davinci-002,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,0,S,yes,-0.96982485,-1.8099021,0.84007725,False
text-davinci-002,"He told me he's not broke, just badly bent.",He's doing quite well.,0,J,no,-1.463019,-1.4900454,0.027026400000000006,True
text-davinci-002,"He told me he's not broke, just badly off.",He has lots of money.,0,S,no,-2.6996472,-0.619688,-2.0799592,False
text-davinci-002,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,0,J,no,-3.6655517,-0.3698553,-3.2956963999999997,True
text-davinci-002,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,0,S,yes,-3.8409963,-0.39047998,-3.45051632,False
text-davinci-002,He wondered if the storm had done much damage.,It had been a terrible storm.,0,E,yes,-9.473122,-0.31307933,-9.16004267,False
text-davinci-002,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,0,J,no,-1.1728842,-2.321122,1.1482378,True
text-davinci-002,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,0,S,no,-1.9036821,-1.3140256,-0.5896565,False
text-davinci-002,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,0,J,yes,-1.0806534,-1.6274252,0.5467717999999999,True
text-davinci-002,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,0,S,yes,-7.2991633,-0.29464078,-7.00452252,False
text-davinci-002,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,0,J,no,-1.470458,-1.1986324,-0.2718256000000001,True
text-davinci-002,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,0,S,yes,-2.869155,-0.56685925,-2.30229575,False
text-davinci-002,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,0,S,yes,-4.4429693,-0.26829946,-4.17466984,False
text-davinci-002,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,0,J,no,-3.1339612,-0.42938226,-2.7045789399999998,True
text-davinci-002,His job was to keep the sidewalk clean.,He was a doctor.,0,E,no,-7.0496197,-0.24277923,-6.80684047,False
text-davinci-002,His sandwich came with chips and a dill pickle.,He was about to eat.,0,E,yes,-9.245573,-0.22665218,-9.01892082,False
text-davinci-002,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,0,J,yes,-2.2160664,-0.6587578,-1.5573085999999998,True
text-davinci-002,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,0,S,yes,-3.0551515,-0.6319539,-2.4231976,False
text-davinci-002,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",0,S,no,-8.64693,-0.22395276,-8.42297724,False
text-davinci-002,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,0,J,yes,-4.286036,-0.3983807,-3.8876553,True
text-davinci-002,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,0,J,yes,-1.7787168,-0.9482147,-0.8305021,True
text-davinci-002,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,0,S,no,-6.305976,-0.24228622,-6.063689780000001,False
text-davinci-002,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,0,J,yes,-0.7866738,-2.549241,1.7625672,True
text-davinci-002,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,0,S,no,-2.5082555,-0.46574527,-2.0425102300000004,False
text-davinci-002,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,0,J,yes,-1.2672282,-2.1746073,0.9073791,True
text-davinci-002,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,0,S,no,-6.3010535,-0.4808833,-5.8201702,False
text-davinci-002,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,0,J,no,-1.4211533,-1.1290365,-0.29211680000000007,True
text-davinci-002,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,0,S,no,-1.2052771,-1.3047795,0.09950239999999999,False
text-davinci-002,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,0,S,yes,-4.8842616,-0.27786896,-4.60639264,False
text-davinci-002,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,0,J,no,-0.84777033,-2.8009396,1.95316927,True
text-davinci-002,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,0,S,yes,-5.708993,-0.2546212,-5.4543718000000005,False
text-davinci-002,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,0,J,yes,-2.3204856,-0.6043327,-1.7161529,True
text-davinci-002,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,0,J,yes,-3.3790376,-0.54266113,-2.8363764700000003,True
text-davinci-002,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,0,S,yes,-4.4868665,-0.51376164,-3.9731048599999994,False
text-davinci-002,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,0,J,no,-0.78749895,-2.26378,1.47628105,True
text-davinci-002,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,0,S,no,-0.7380084,-2.718369,1.9803606,False
text-davinci-002,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,0,J,yes,-3.3045616,-0.4453175,-2.8592441,True
text-davinci-002,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,0,S,yes,-4.4993806,-0.50320125,-3.9961793500000002,False
text-davinci-002,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,0,J,yes,-0.82758766,-3.94821,3.12062234,True
text-davinci-002,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,0,S,yes,-3.2057989,-0.47317103,-2.73262787,False
text-davinci-002,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,0,S,yes,-2.3149624,-0.4921457,-1.8228167000000002,False
text-davinci-002,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,0,J,yes,-4.011935,-0.27829626,-3.7336387400000004,True
text-davinci-002,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,0,S,no,-4.628571,-0.48677307,-4.14179793,False
text-davinci-002,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,0,J,no,-1.3233343,-1.0415455,-0.28178879999999995,True
text-davinci-002,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,0,J,yes,-5.617787,-0.60511357,-5.0126734299999995,True
text-davinci-002,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,0,S,yes,-7.5939302,-0.6165054,-6.9774248,False
text-davinci-002,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,0,J,yes,-2.845394,-0.46711263,-2.3782813700000003,True
text-davinci-002,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,0,S,yes,-7.6253877,-0.20218463,-7.4232030700000005,False
text-davinci-002,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,0,S,no,-5.571854,-0.352692,-5.219162,False
text-davinci-002,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,0,J,yes,-2.8048716,-0.72304165,-2.08182995,True
text-davinci-002,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,0,S,no,-6.4078298,-0.27029127,-6.1375385300000005,False
text-davinci-002,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,0,J,yes,-3.665013,-0.3937486,-3.2712644,True
text-davinci-002,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,0,E,no,-8.535204,-0.2787789,-8.2564251,False
text-davinci-002,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,0,S,yes,-1.5526026,-0.8446001,-0.7080025,False
text-davinci-002,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,0,J,yes,-1.2412926,-1.1728568,-0.06843580000000005,True
text-davinci-002,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,0,E,yes,-4.9342284,-0.30597374,-4.6282546600000005,False
text-davinci-002,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,0,J,yes,-2.7712073,-0.6577213,-2.113486,True
text-davinci-002,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,0,S,yes,-3.4616656,-0.68441427,-2.77725133,False
text-davinci-002,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,0,J,no,-3.2800806,-0.44465223,-2.83542837,True
text-davinci-002,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,0,S,no,-4.591081,-0.3808278,-4.2102532,False
text-davinci-002,It's hard to admit when one is wrong.,Most people don't mind being wrong.,0,E,no,-7.9145603,-0.40080193,-7.51375837,False
text-davinci-002,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,0,S,no,-6.5848684,-0.24942347,-6.33544493,False
text-davinci-002,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,0,J,yes,-3.355101,-0.377655,-2.977446,True
text-davinci-002,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,0,S,yes,-4.6576757,-0.51820225,-4.1394734500000006,False
text-davinci-002,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,0,J,no,-2.4445703,-0.670752,-1.7738183,True
text-davinci-002,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,0,S,yes,-4.8301954,-0.4237034,-4.406492,False
text-davinci-002,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,0,J,no,-2.5560458,-0.7304989,-1.8255469000000002,True
text-davinci-002,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,0,J,yes,-0.81989145,-2.921783,2.10189155,True
text-davinci-002,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,0,S,yes,-4.3065515,-0.287308,-4.0192435,False
text-davinci-002,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",0,J,no,-2.5211713,-0.609667,-1.9115042999999998,True
text-davinci-002,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,0,S,no,-5.7189236,-0.21427324,-5.50465036,False
text-davinci-002,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,0,J,no,-2.761336,-1.0023887,-1.7589473,True
text-davinci-002,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,0,S,yes,-7.3507037,-0.37306198,-6.97764172,False
text-davinci-002,"Many things run in families, especially noses.",People often catch colds from other family members.,0,J,yes,-2.707924,-0.61362004,-2.0943039600000004,True
text-davinci-002,"Many things run in families, especially strength.",Muscle power comes only from exercise.,0,S,no,-6.2171087,-0.23971793,-5.9773907699999995,False
text-davinci-002,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,0,S,yes,-5.597243,-0.19266696,-5.404576039999999,False
text-davinci-002,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,0,J,yes,-2.6503835,-0.7815174,-1.8688660999999998,True
text-davinci-002,Most cats see very well at night.,Cats see well in the dark.,0,E,yes,-9.628607,-0.25694162,-9.371665380000001,False
text-davinci-002,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,0,S,yes,-4.2957997,-0.5533444,-3.7424553,False
text-davinci-002,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,0,J,yes,-1.6297807,-1.2967614,-0.3330192999999999,True
text-davinci-002,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,0,E,yes,-7.0139394,-0.17250086,-6.8414385399999995,False
text-davinci-002,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,0,J,no,-1.8200771,-1.1355888,-0.6844882999999999,True
text-davinci-002,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,0,S,yes,-6.2752137,-0.33208615,-5.94312755,False
text-davinci-002,My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,0,S,no,-2.9459152,-0.78348553,-2.16242967,False
text-davinci-002,My church welcomes all denominations but prefers twenties.,My church wants money.,0,J,yes,-1.9147773,-1.1554577,-0.7593196,True
text-davinci-002,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,0,J,yes,-2.3140097,-0.6356725,-1.6783372,True
text-davinci-002,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,0,S,yes,-5.867567,-0.33655664,-5.53101036,False
text-davinci-002,My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,0,J,no,-2.1520712,-0.5896426,-1.5624286,True
text-davinci-002,My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,0,S,yes,-5.5802765,-0.52667826,-5.05359824,False
text-davinci-002,"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,0,S,yes,-3.4877172,-0.46093303,-3.02678417,False
text-davinci-002,"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",0,J,yes,-1.54891,-1.7179945,0.16908450000000008,True
text-davinci-002,My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,0,S,no,-3.737777,-0.6524532,-3.0853238,False
text-davinci-002,My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,0,J,yes,-1.6979924,-1.2616786,-0.4363138,True
text-davinci-002,"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,0,S,yes,-7.037782,-0.46835756,-6.56942444,False
text-davinci-002,"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,0,J,yes,-2.1950881,-1.142336,-1.0527521,True
text-davinci-002,No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,0,J,yes,-1.7064244,-0.8070961,-0.8993283,True
text-davinci-002,No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,0,S,no,-5.072237,-0.3314325,-4.7408045,False
text-davinci-002,None of his books made any sense.,His books were hard to understand.,0,E,yes,-5.829782,-0.47650594,-5.35327606,False
text-davinci-002,Nothing ages a woman faster than hardships.,A difficult life can make you look old.,0,S,yes,-4.9515233,-0.3440793,-4.607444,False
text-davinci-002,Nothing ages a woman faster than identification.,Many women lie about their age.,0,J,yes,-3.9800813,-0.38197592,-3.5981053800000002,True
text-davinci-002,Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,0,J,yes,-4.7795296,-0.59849787,-4.18103173,True
text-davinci-002,Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,0,S,yes,-9.080683,-0.64416456,-8.43651844,False
