model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
text-davinci-002,Another thing a small boy is constantly outgrowing is his allowance.,Kids always want more money.,0,J,yes,-0.6659989,-4.213408,3.5474091000000003
text-davinci-002,Another thing a small boy is constantly outgrowing is his underwear.,Boys need new clothes often.,0,S,yes,-0.45311534,-3.3996935,2.94657816
text-davinci-002,Another thing that has developed by leaps and bounds is the modern dance.,Dancing has changed a lot over the years.,0,J,yes,-0.58822465,-7.0903316,6.50210695
text-davinci-002,Another thing that has developed by leaps and bounds is the modern science.,Science has progressed at a snail's pace.,0,S,no,-12.219004,-0.38358587,-11.83541813
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent breakups.,It's okay for couples to argue sometimes.,0,S,yes,-0.2687395,-10.170346,9.9016065
text-davinci-002,Arguments between couples are healthy; sometimes they even prevent marriage.,Marriage is a wonderful thing.,0,J,no,-7.1542377,-0.39063156,-6.76360614
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about others.,Writing an autobiography can unmask your true self.,0,J,no,-0.7849345,-4.8507576,4.065823099999999
text-davinci-002,Autobiography is an unrivaled vehicle for telling the truth about somebody.,Autobiographies don't reveal much about a person.,0,S,no,-11.672776,-0.70575756,-10.96701844
text-davinci-002,Autumn is a good time to buy some new clothes.,It's good to buy clothes before the winter.,0,E,yes,-0.13373718,-7.33752,7.20378282
text-davinci-002,"Because of his diabetes, he had to take daily shots of insulin.",He took insulin once a week.,0,E,no,-10.850789,-0.06033373,-10.79045527
text-davinci-002,"Before the outdoor concert, he packed a basket with wine and food for a picnic.",He was planning to eat outdoors.,0,E,yes,-0.15594827,-9.711028,9.555079730000001
text-davinci-002,Bill jumped in the lake and made a big splash.,Bill went for a swim.,0,E,yes,-0.21698904,-4.9599586,4.742969560000001
text-davinci-002,"By the time Mary had her fourteenth child, she'd run out of names to call her husband.",Mary was happy to have another child.,0,J,no,-2.0758758,-0.650925,-1.4249508
text-davinci-002,"By the time Mary had her fourteenth child, she'd run out of names to call her offspring.",Mary had no problem naming her new baby.,0,S,no,-7.299145,-0.61120844,-6.687936560000001
text-davinci-002,"Charged with statutory rape, he told the judge he didn't know she was a statue.",He was on trial for a sex-related crime.,0,J,yes,-5.3965726,-0.19920406,-5.19736854
text-davinci-002,"Charged with statutory rape, he told the judge he didn't know she was a teenager.",He had slept with a young woman.,0,S,yes,-0.5770138,-1.2039413,0.6269275000000001
text-davinci-002,Cocktail lounges are usually half lit to match the patrons.,The people have often had a bit too much to drink.,0,J,yes,-0.36167952,-4.6233597,4.26168018
text-davinci-002,Cocktail lounges are usually half lit to match the setting.,Bright lights can ruin the atmosphere in a cocktail lounge.,0,S,yes,-0.3848368,-7.363235,6.978398200000001
text-davinci-002,"Congress taxes our income, our property, and our patience.",We're very happy with Congress.,0,J,no,-12.162879,-0.71712077,-11.445758230000001
text-davinci-002,"Congress taxes our income, our property, and our purchases.",There are very few taxes.,0,S,no,-10.758912,-0.37910065,-10.37981135
text-davinci-002,"Diamonds are produced by great pressure, usually provided by a girlfriend.",Some men are reluctant to get engaged.,0,J,yes,-5.7722464,-0.46624008,-5.30600632
text-davinci-002,"Diamonds are produced by great pressure, usually provided by a piston.",Diamonds can be made by machine.,0,S,yes,-0.2759587,-5.0205007,4.744542
text-davinci-002,Dogs crack open bones so they can eat the marrow.,Dogs like to eat bone marrow.,0,E,yes,-0.10137387,-9.456755,9.35538113
text-davinci-002,"During the worst part of the drought, people were encouraged to not always flush the toilet.",Water was in short supply.,0,E,yes,-0.074763864,-8.512825,8.438061136
text-davinci-002,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,0,E,yes,-0.52531254,-5.527382,5.00206946
text-davinci-002,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,0,E,yes,-0.2640342,-5.0401196,4.7760853999999995
text-davinci-002,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,0,S,no,-7.1086526,-0.33543888,-6.77321372
text-davinci-002,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,0,J,yes,-0.43044105,-1.6033125,1.17287145
text-davinci-002,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,0,S,no,-5.3924484,-0.0729546,-5.3194938
text-davinci-002,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,0,J,yes,-4.4183145,-0.35923883,-4.05907567
text-davinci-002,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,0,E,yes,-0.35702085,-9.231418,8.87439715
text-davinci-002,"Figures don't lie, except on the beaches.",People lie in the sand.,0,J,yes,-3.6065028,-0.13329929,-3.47320351
text-davinci-002,"Figures don't lie, except on the page.",Statistics are completely reliable.,0,S,no,-12.307012,-0.31675762,-11.99025438
text-davinci-002,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,0,J,no,-0.5760832,-4.6052713,4.0291881
text-davinci-002,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,0,S,yes,-0.46795303,-7.2506547,6.78270167
text-davinci-002,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,0,E,yes,-0.24189752,-11.385751,11.14385348
text-davinci-002,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,0,E,yes,-0.18055494,-3.277206,3.09665106
text-davinci-002,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,0,J,yes,-1.7802653,-1.0266174,-0.7536479
text-davinci-002,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,0,S,no,-6.429414,-0.124544434,-6.304869566000001
text-davinci-002,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,0,E,yes,-0.19526485,-10.247893,10.05262815
text-davinci-002,Hal wrote her a love letter.,Hal didn't like her very much.,0,E,no,-12.227118,-0.32606408,-11.90105392
text-davinci-002,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,0,S,yes,-0.35071078,-3.6041913,3.25348052
text-davinci-002,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,0,J,no,-4.595141,-0.08487285,-4.51026815
text-davinci-002,He drank so much that he eventually became a beverage.,He gave up drinking.,0,J,no,-7.563405,-0.29356575,-7.26983925
text-davinci-002,He drank so much that he eventually became a lush.,He became an alcoholic.,0,S,yes,-0.30229604,-9.07838,8.77608396
text-davinci-002,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,0,J,no,-0.08377178,-9.048751,8.96497922
text-davinci-002,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,0,S,yes,-0.24185184,-2.999083,2.7572311600000003
text-davinci-002,He hung her coat in the closet.,She had been wearing a coat.,0,E,yes,-0.11760303,-6.1589875,6.041384470000001
text-davinci-002,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,0,J,yes,-0.320367,-7.2598577,6.9394907
text-davinci-002,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,0,S,no,-0.44614926,-3.024174,2.57802474
text-davinci-002,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,0,J,no,-3.884953,-0.74001896,-3.14493404
text-davinci-002,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,0,S,no,-12.738457,-0.9217434,-11.8167136
text-davinci-002,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,0,J,yes,-1.45623,-0.58917314,-0.8670568599999999
text-davinci-002,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,0,S,no,-10.648489,-0.121016674,-10.527472326
text-davinci-002,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,0,J,no,-0.4546353,-3.8131566,3.3585213
text-davinci-002,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,0,S,no,-8.21736,-0.24088676,-7.976473239999999
text-davinci-002,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,0,J,no,-8.164737,-0.49227265,-7.67246435
text-davinci-002,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,0,S,yes,-0.24137393,-8.065656,7.824282070000001
text-davinci-002,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,0,E,yes,-0.29223043,-3.207729,2.91549857
text-davinci-002,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,0,E,no,-2.7942922,-0.3545782,-2.439714
text-davinci-002,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,0,J,yes,-1.3487847,-0.9683582,-0.3804265
text-davinci-002,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,0,S,no,-7.9502773,-0.27024058,-7.6800367199999995
text-davinci-002,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,0,J,no,-4.082605,-0.480142,-3.602463
text-davinci-002,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,0,S,yes,-0.21966785,-5.3735013,5.1538334500000005
text-davinci-002,"He told me he's not broke, just badly bent.",He's doing quite well.,0,J,no,-6.1659985,-0.19126208,-5.974736419999999
text-davinci-002,"He told me he's not broke, just badly off.",He has lots of money.,0,S,no,-8.986276,-0.30795988,-8.67831612
text-davinci-002,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,0,J,no,-0.6429371,-7.141608,6.4986709
text-davinci-002,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,0,S,yes,-4.155402,-0.21390961,-3.9414923899999996
text-davinci-002,He wondered if the storm had done much damage.,It had been a terrible storm.,0,E,yes,-0.35779816,-6.8006177,6.44281954
text-davinci-002,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,0,J,no,-5.045522,-0.28694955,-4.75857245
text-davinci-002,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,0,S,no,-10.780409,-0.65887207,-10.121536930000001
text-davinci-002,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,0,J,yes,-0.2698824,-6.2975984,6.027716
text-davinci-002,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,0,S,yes,-0.15770045,-9.378049,9.22034855
text-davinci-002,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,0,J,no,-2.559185,-0.62520474,-1.9339802599999998
text-davinci-002,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,0,S,yes,-1.3756921,-0.70680636,-0.66888574
text-davinci-002,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,0,S,yes,-0.562045,-1.6216314,1.0595864000000002
text-davinci-002,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,0,J,no,-10.293705,-0.13177136,-10.161933639999999
text-davinci-002,His job was to keep the sidewalk clean.,He was a doctor.,0,E,no,-12.833805,-0.3854448,-12.4483602
text-davinci-002,His sandwich came with chips and a dill pickle.,He was about to eat.,0,E,yes,-0.2615031,-4.56546,4.3039569
text-davinci-002,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,0,J,yes,-0.3030485,-8.921771,8.6187225
text-davinci-002,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,0,S,yes,-0.29313058,-5.518281,5.22515042
text-davinci-002,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",0,S,no,-11.738433,-0.488232,-11.250201
text-davinci-002,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,0,J,yes,-1.7262129,-0.6962244,-1.0299885
text-davinci-002,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,0,J,yes,-3.7466755,-0.1731792,-3.5734963
text-davinci-002,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,0,S,no,-5.5313454,-0.055542342,-5.475803058
text-davinci-002,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,0,J,yes,-4.7508755,-0.55798143,-4.19289407
text-davinci-002,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,0,S,no,-3.984214,-0.46511266,-3.51910134
text-davinci-002,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,0,J,yes,-0.87271905,-5.837701,4.96498195
text-davinci-002,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,0,S,no,-7.6811047,-0.17587304,-7.50523166
text-davinci-002,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,0,J,no,-7.4257903,-0.43018413,-6.99560617
text-davinci-002,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,0,S,no,-8.967544,-0.8144998,-8.1530442
text-davinci-002,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,0,S,yes,-0.48249415,-11.993,11.51050585
text-davinci-002,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,0,J,no,-2.190048,-0.87357,-1.316478
text-davinci-002,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,0,S,yes,-0.33319837,-9.133424,8.80022563
text-davinci-002,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,0,J,yes,-6.5091586,-0.66713464,-5.842023960000001
text-davinci-002,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,0,J,yes,-0.39883524,-5.880596,5.481760759999999
text-davinci-002,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,0,S,yes,-1.180827,-1.2985747,0.11774770000000001
text-davinci-002,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,0,J,no,-4.004029,-0.52253246,-3.48149654
text-davinci-002,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,0,S,no,-8.503136,-0.69043714,-7.812698859999999
text-davinci-002,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,0,J,yes,-0.5808368,-2.9445307,2.3636939
text-davinci-002,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,0,S,yes,-0.30685946,-4.1878705,3.8810110399999997
text-davinci-002,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,0,J,yes,-7.3500295,-0.4534074,-6.8966221
text-davinci-002,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,0,S,yes,-0.7762527,-4.9121966,4.1359439
text-davinci-002,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,0,S,yes,-0.20002227,-6.7197247,6.519702430000001
text-davinci-002,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,0,J,yes,-3.7798042,-0.25054413,-3.5292600700000003
text-davinci-002,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,0,S,no,-7.8649464,-0.39286542,-7.47208098
text-davinci-002,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,0,J,no,-4.613739,-0.3186711,-4.295067899999999
text-davinci-002,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,0,J,yes,-0.5148658,-7.177306,6.6624402
text-davinci-002,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,0,S,yes,-0.3216101,-9.05671,8.735099900000002
text-davinci-002,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,0,J,yes,-6.233997,-0.08675179,-6.1472452099999995
text-davinci-002,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,0,S,yes,-0.22691211,-9.938308,9.711395889999999
text-davinci-002,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,0,S,no,-0.37707093,-2.9087837,2.53171277
text-davinci-002,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,0,J,yes,-3.3477752,-0.20464836,-3.14312684
text-davinci-002,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,0,S,no,-13.412248,-0.101148956,-13.311099044
text-davinci-002,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,0,J,yes,-0.80201334,-1.5713027,0.7692893599999999
text-davinci-002,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,0,E,no,-4.8603997,-0.23404466,-4.62635504
text-davinci-002,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,0,S,yes,-0.3228653,-3.8657992,3.5429339
text-davinci-002,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,0,J,yes,-0.45366257,-2.1924644,1.7388018299999999
text-davinci-002,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,0,E,yes,-0.21627186,-7.6736555,7.45738364
text-davinci-002,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,0,J,yes,-0.7517613,-4.494358,3.7425967
text-davinci-002,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,0,S,yes,-0.47989002,-6.2390933,5.75920328
text-davinci-002,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,0,J,no,-3.249508,-0.7165619,-2.5329461
text-davinci-002,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,0,S,no,-8.037593,-0.8676661,-7.169926899999999
text-davinci-002,It's hard to admit when one is wrong.,Most people don't mind being wrong.,0,E,no,-11.152202,-0.52912277,-10.62307923
text-davinci-002,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,0,S,no,-5.347368,-0.0803556,-5.2670124000000005
text-davinci-002,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,0,J,yes,-0.30505922,-3.4550238,3.1499645800000002
text-davinci-002,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,0,S,yes,-0.35906878,-5.5039825,5.14491372
text-davinci-002,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,0,J,no,-1.1668454,-1.316639,0.14979359999999997
text-davinci-002,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,0,S,yes,-0.24293418,-9.5018015,9.258867319999998
text-davinci-002,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,0,J,no,-4.681103,-0.10115759,-4.5799454100000005
text-davinci-002,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,0,J,yes,-0.79632586,-2.9622173,2.16589144
text-davinci-002,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,0,S,yes,-0.18363084,-4.472718,4.28908716
text-davinci-002,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",0,J,no,-4.110258,-0.54020005,-3.57005795
text-davinci-002,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,0,S,no,-9.933673,-0.3171447,-9.6165283
text-davinci-002,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,0,J,no,-3.8979437,-0.21599048,-3.68195322
text-davinci-002,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,0,S,yes,-0.3201625,-10.281307,9.9611445
text-davinci-002,"Many things run in families, especially noses.",People often catch colds from other family members.,0,J,yes,-0.6647871,-4.4914417,3.8266546000000004
text-davinci-002,"Many things run in families, especially strength.",Muscle power comes only from exercise.,0,S,no,-8.860252,-0.11322929,-8.74702271
text-davinci-002,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,0,S,yes,-0.49925852,-9.784119,9.28486048
text-davinci-002,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,0,J,yes,-2.494581,-0.59215313,-1.9024278700000001
text-davinci-002,Most cats see very well at night.,Cats see well in the dark.,0,E,yes,-0.22880495,-9.572148,9.34334305
text-davinci-002,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,0,S,yes,-0.24860072,-2.5500634,2.30146268
text-davinci-002,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,0,J,yes,-5.49649,-0.23121007,-5.265279929999999
text-davinci-002,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,0,E,yes,-0.38031712,-9.68587,9.305552879999999
text-davinci-002,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,0,J,no,-8.542308,-0.14887147,-8.39343653
text-davinci-002,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,0,S,yes,-0.5073763,-9.506692,8.999315699999999
text-davinci-002,My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,0,S,no,-12.182738,-0.55771583,-11.625022170000001
text-davinci-002,My church welcomes all denominations but prefers twenties.,My church wants money.,0,J,yes,-1.0301857,-3.7331908,2.7030051
text-davinci-002,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,0,J,yes,-0.9261912,-1.550919,0.6247277999999999
text-davinci-002,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,0,S,yes,-0.21717626,-8.871127,8.653950739999999
text-davinci-002,My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,0,J,no,-4.0672646,-0.17020623,-3.89705837
text-davinci-002,My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,0,S,yes,-0.17772917,-11.895305,11.717575830000001
text-davinci-002,"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,0,S,yes,-1.984832,-0.32814837,-1.6566836299999999
text-davinci-002,"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",0,J,yes,-0.6321841,-2.9368427,2.3046586000000002
text-davinci-002,My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,0,S,no,-8.825761,-0.34413892,-8.48162208
text-davinci-002,My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,0,J,yes,-0.29931948,-8.1817,7.882380519999999
text-davinci-002,"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,0,S,yes,-0.1690823,-8.955773,8.786690700000001
text-davinci-002,"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,0,J,yes,-1.5007194,-2.4900799,0.9893605000000001
text-davinci-002,No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,0,J,yes,-0.824654,-0.8905033,0.0658493
text-davinci-002,No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,0,S,no,-6.3165755,-0.050613005,-6.265962495
text-davinci-002,None of his books made any sense.,His books were hard to understand.,0,E,yes,-0.14798354,-7.8497286,7.7017450599999995
text-davinci-002,Nothing ages a woman faster than hardships.,A difficult life can make you look old.,0,S,yes,-0.4224664,-9.925088,9.502621600000001
text-davinci-002,Nothing ages a woman faster than identification.,Many women lie about their age.,0,J,yes,-2.3433971,-0.59691495,-1.7464821499999998
text-davinci-002,Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,0,J,yes,-0.31267223,-9.478829,9.166156769999999
text-davinci-002,Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,0,S,yes,-0.30113652,-9.5636635,9.26252698
text-davinci-002,Nothing you put in a banana split is as potentially fattening as the spoon.,Eating banana splits can make you fat.,0,J,yes,-0.69689023,-1.6368523,0.9399620699999999
text-davinci-002,Nothing you put in a banana split is as potentially fattening as the syrup.,Syrup has very few calories.,0,S,no,-2.2345104,-0.4716817,-1.7628287
text-davinci-002,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",The divorce hadn't affected their work.,0,S,no,-5.693795,-0.39825845,-5.29553655
text-davinci-002,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",They are already married.,0,J,no,-2.6248915,-0.2600375,-2.364854
text-davinci-002,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",They are raising money to build a new church.,0,S,no,-11.699398,-0.15314741,-11.54625059
text-davinci-002,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",They are raising money to help orphans.,0,J,no,-7.316114,-0.2853905,-7.0307235
