model,params,text,sentence,condition,log_prob,num_tokens,identified_token,surprisal,final_word
ada,350000000,False,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,J,-7.3954298,2, lifeguard,7.3954298, lifeguard
ada,350000000,False,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,S,-5.760290952,2, shipwreck,5.760290952, shipwreck
ada,350000000,False,He hung her coat in the closet.,E,-1.4160482,1, closet,1.4160482, closet
ada,350000000,False,He is at the age when all the numbers in his little black book belong to doctors.,J,-10.890507,1, doctors,10.890507, doctors
ada,350000000,False,He is at the age when all the numbers in his little black book belong to friends.,S,-9.590483,1, friends,9.590483, friends
ada,350000000,False,"He is probably the best boxer in the country, but he always loses in the city.",J,-9.910369,1, city,9.910369, city
ada,350000000,False,"He is probably the best boxer in the country, but he always loses in the competition.",S,-7.8697863,1, competition,7.8697863, competition
ada,350000000,False,He likes to make things around the house; this week it's the maid.,J,-9.476345,1, maid,9.476345, maid
ada,350000000,False,He likes to make things around the house; this week it's the shelves.,S,-7.5043387,1, shelves,7.5043387, shelves
ada,350000000,False,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",J,-7.4450192,1, quarter,7.4450192, quarter
ada,350000000,False,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",S,-4.799617,1, statement,4.799617, statement
ada,350000000,False,He says he doesn't like to drink because it makes him feel happy.,J,-7.0114207,1, happy,7.0114207, happy
ada,350000000,False,He says he doesn't like to drink because it makes him feel sad.,S,-4.733224,1, sad,4.733224, sad
ada,350000000,False,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,E,-5.703642,1, funnel,5.703642, funnel
ada,350000000,False,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",E,-5.8548903,1, parallel,5.8548903, parallel
ada,350000000,False,"He told her he wasn't himself, and she said she'd noticed the improvement.",J,-7.5749426,1, improvement,7.5749426, improvement
ada,350000000,False,"He told her he wasn't himself, and she said she'd noticed the problem.",S,-6.1803007,1, problem,6.1803007, problem
ada,350000000,False,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",J,-2.7384365,1, balloon,2.7384365, balloon
ada,350000000,False,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",S,-4.263679,1, truck,4.263679, truck
ada,350000000,False,"He told me he's not broke, just badly bent.",J,-8.050775,1, bent,8.050775, bent
ada,350000000,False,"He told me he's not broke, just badly off.",S,-4.5996633,1, off,4.5996633, off
ada,350000000,False,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,J,-5.5620503,1, lake,5.5620503, lake
ada,350000000,False,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,S,-6.67861814,2, shallows,6.67861814, shallows
ada,350000000,False,He wondered if the storm had done much damage.,E,-0.35180023,1, damage,0.35180023, damage
ada,350000000,False,"He's never given a girl a present, but he did give a few a pretty good reputation.",J,-7.9871783,1, reputation,7.9871783, reputation
ada,350000000,False,"He's never given a girl a present, but he did give a few a pretty good surprise.",S,-6.6546464,1, surprise,6.6546464, surprise
ada,350000000,False,He's planning an extended vacation: he hopes to spend three weeks on his couch.,J,-7.0956483,1, couch,7.0956483, couch
ada,350000000,False,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,S,-5.204562699999999,2, sailboat,5.204562699999999, sailboat
ada,350000000,False,Her press agent was operated on for an ingrown beeper.,J,-11.8880398,2, beeper,11.8880398, beeper
ada,350000000,False,Her press agent was operated on for an ingrown eyelash.,S,-9.120065,2, eyelash,9.120065, eyelash
ada,350000000,False,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,S,-7.9959975,2, motorist,7.9959975, motorist
ada,350000000,False,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,J,-10.2611262,2, steamroller,10.2611262, steamroller
ada,350000000,False,His job was to keep the sidewalk clean.,E,-2.176206,1, clean,2.176206, clean
ada,350000000,False,His sandwich came with chips and a dill pickle.,E,-0.2147578289999999,2, pickle,0.2147578289999999, pickle
ada,350000000,False,His wife sued for divorce and asked for custody of the cash.,J,-10.795908,1, cash,10.795908, cash
ada,350000000,False,His wife sued for divorce and asked for custody of the cat.,S,-8.471045,1, cat,8.471045, cat
ada,350000000,False,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.",S,-4.409873,1, champagne,4.409873, champagne
ada,350000000,False,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",J,-10.067876,1, postage,10.067876, postage
ada,350000000,False,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",J,-6.9273067,1, boy,6.9273067, boy
ada,350000000,False,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",S,-3.0834098,1, journalist,3.0834098, journalist
ada,350000000,False,"I asked the florist what I should give to my girlfriend, and he suggested his address.",J,-9.723376,1, address,9.723376, address
ada,350000000,False,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",S,-8.8491392,2, tulips,8.8491392, tulips
ada,350000000,False,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",J,-8.637371,1, dress,8.637371, dress
ada,350000000,False,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",S,-2.4999042,1, name,2.4999042, name
ada,350000000,False,"I can walk on water, but I stagger on alcohol.",J,-10.423671,1, alcohol,10.423671, alcohol
ada,350000000,False,"I can walk on water, but I stagger on concrete.",S,-5.104362,1, concrete,5.104362, concrete
ada,350000000,False,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",S,-4.6985526,1, pay,4.6985526, pay
ada,350000000,False,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",J,-13.300752,1, umbrella,13.300752, umbrella
ada,350000000,False,"I got a car for my wife, and I thought it was a good choice.",S,-5.5499105,1, choice,5.5499105, choice
ada,350000000,False,"I got a car for my wife, and I thought it was a good trade.",J,-6.991055,1, trade,6.991055, trade
ada,350000000,False,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",J,-6.12721,1, crash,6.12721, crash
ada,350000000,False,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",S,-7.484513,1, delay,7.484513, delay
ada,350000000,False,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,J,-6.4596086,1, booth,6.4596086, booth
ada,350000000,False,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,S,-4.407184,1, line,4.407184, line
ada,350000000,False,I know one couple who got divorced and had to leave the house to the attorney.,J,-7.063361,1, attorney,7.063361, attorney
ada,350000000,False,I know one couple who got divorced and had to leave the house to the daughter.,S,-7.652252,1, daughter,7.652252, daughter
ada,350000000,False,"I still miss my ex-wife, but I am improving my aim.",J,-11.945889,1, aim,11.945889, aim
ada,350000000,False,"I still miss my ex-wife, but I am improving my ego.",S,-8.412122,1, ego,8.412122, ego
ada,350000000,False,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,S,-11.64211,1, nighttime,11.64211, nighttime
ada,350000000,False,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,J,-12.478946,1, Renaissance,12.478946, Renaissance
ada,350000000,False,"I've got Parkinson's disease, and he's got gout.",S,-7.3444008,2, gout,7.3444008, gout
ada,350000000,False,"I've got Parkinson's disease, and he's got mine.",J,-6.1647253,1, mine,6.1647253, mine
ada,350000000,False,"If there's one thing that counts in business, it's bookkeepers.",J,-14.453189,2, bookkeepers,14.453189, bookkeepers
ada,350000000,False,"If there's one thing that counts in business, it's resources.",S,-7.5919275,1, resources,7.5919275, resources
ada,350000000,False,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",J,-17.428885,1, cleaner,17.428885, cleaner
ada,350000000,False,"If you're filthy rich, sending your kids to college is a wonderful luxury.",S,-7.0486183,1, luxury,7.0486183, luxury
ada,350000000,False,In some marriages the bride is given away by the family.,S,-4.958975,1, family,4.958975, family
ada,350000000,False,In some marriages the bride is given away by the press.,J,-11.971024,1, press,11.971024, press
ada,350000000,False,"In the game of golf, nothing counts as much as your drives.",S,-6.7296176,1, drives,6.7296176, drives
ada,350000000,False,"In the game of golf, nothing counts as much as your opponent.",J,-4.1226854,1, opponent,4.1226854, opponent
ada,350000000,False,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",E,-0.52455,1, copper,0.52455, copper
ada,350000000,False,"It was so hot at Playboy, the centerfold took off her bikini.",S,-3.4330704,1, bikini,3.4330704, bikini
ada,350000000,False,"It was so hot at Playboy, the centerfold took off her staple.",J,-12.796181,1, staple,12.796181, staple
ada,350000000,False,It was too hot to sleep in a bed so he strung up a mesh hammock.,E,-5.1646985143,2, hammock,5.1646985143, hammock
ada,350000000,False,"It's always nicer to give than to receive, especially when it's your opinion.",J,-7.6394243,1, opinion,7.6394243, opinion
ada,350000000,False,"It's always nicer to give than to receive, especially when it's your parents.",S,-5.4706473,1, parents,5.4706473, parents
ada,350000000,False,It's extraordinary what fine poker hand you get when you're playing bridge.,J,-8.487732,1, bridge,8.487732, bridge
ada,350000000,False,It's extraordinary what fine poker hand you get when you're playing stud.,S,-9.661375,1, stud,9.661375, stud
ada,350000000,False,It's hard to admit when one is wrong.,E,-1.9782511,1, wrong,1.9782511, wrong
ada,350000000,False,"It's hard to raise a family nowadays, especially in the country.",S,-4.422205,1, country,4.422205, country
ada,350000000,False,"It's hard to raise a family nowadays, especially in the morning.",J,-7.65473,1, morning,7.65473, morning
ada,350000000,False,It's not hard to meet expenses; they're affordable.,S,-7.0352526,1, affordable,7.0352526, affordable
ada,350000000,False,It's not hard to meet expenses; they're everywhere.,J,-5.2496233,1, everywhere,5.2496233, everywhere
ada,350000000,False,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,S,-5.3351374,1, bird,5.3351374, bird
ada,350000000,False,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,J,-4.971065,1, kids,4.971065, kids
ada,350000000,False,"Love has its benefits, and they are usually called alimony.",J,-13.3566866,2, alimony,13.3566866, alimony
ada,350000000,False,"Love has its benefits, and they are usually called memories.",S,-9.144397,1, memories,9.144397, memories
ada,350000000,False,Many a freshman helps the college of his choice by becoming a dropout.,J,-11.485741999999998,2, dropout,11.485741999999998, dropout
ada,350000000,False,Many a freshman helps the college of his choice by becoming a member.,S,-1.4705597,1, member,1.4705597, member
ada,350000000,False,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,J,-12.385331,1, blonde,12.385331, blonde
ada,350000000,False,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,S,-3.352181,1, palm,3.352181, palm
ada,350000000,False,"Many things run in families, especially noses.",J,-12.945083,1, noses,12.945083, noses
ada,350000000,False,"Many things run in families, especially strength.",S,-11.442838,1, strength,11.442838, strength
ada,350000000,False,Modern science is amazing: garbage is now being made into gasoline.,S,-6.8636374,1, gasoline,6.8636374, gasoline
ada,350000000,False,Modern science is amazing: garbage is now being made into movies.,J,-8.087482,1, movies,8.087482, movies
ada,350000000,False,Most cats see very well at night.,E,-0.6789323,1, night,0.6789323, night
ada,350000000,False,Most of the people running for office are not politicians; they're candidates.,S,-5.3550262,1, candidates,5.3550262, candidates
ada,350000000,False,Most of the people running for office are not politicians; they're commuters.,J,-11.31831,1, commuters,11.31831, commuters
ada,350000000,False,Mrs Martin told the bad student to stand in the corner.,E,-2.347784,1, corner,2.347784, corner
ada,350000000,False,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,J,-10.889778,1, drinks,10.889778, drinks
ada,350000000,False,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,S,-4.8011026,1, stove,4.8011026, stove
ada,350000000,False,My church welcomes all denominations but prefers Mormons.,S,-9.307015,1, Mormons,9.307015, Mormons
ada,350000000,False,My church welcomes all denominations but prefers twenties.,J,-17.243078,1, twenties,17.243078, twenties
ada,350000000,False,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,J,-9.953298,1, millionaire,9.953298, millionaire
ada,350000000,False,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,S,-7.2729926,1, practitioner,7.2729926, practitioner
ada,350000000,False,My husband took the money we were saving to buy a new car and blew it all at the laundry.,J,-10.04273,1, laundry,10.04273, laundry
ada,350000000,False,My husband took the money we were saving to buy a new car and blew it all at the tables.,S,-9.190689,1, tables,9.190689, tables
ada,350000000,False,"My mechanic couldn't fix my brakes, so he fixed my clutch.",S,-4.604711,1, clutch,4.604711, clutch
ada,350000000,False,"My mechanic couldn't fix my brakes, so he fixed my horn.",J,-7.915298,1, horn,7.915298, horn
ada,350000000,False,My wife did natural childbirth: no anesthetic.,S,-7.6400416,2, anesthetic,7.6400416, anesthetic
ada,350000000,False,My wife did natural childbirth: no makeup.,J,-11.405322,1, makeup,11.405322, makeup
ada,350000000,False,"Nature has three ways of thinning the herd: drought, famine, and hunting.",S,-7.649486,1, hunting,7.649486, hunting
ada,350000000,False,"Nature has three ways of thinning the herd: drought, famine, and primaries.",J,-16.906237,1, primaries,16.906237, primaries
ada,350000000,False,No patient should leave the hospital until he's strong enough to face the cashier.,J,-13.520124,2, cashier,13.520124, cashier
ada,350000000,False,No patient should leave the hospital until he's strong enough to face the outside.,S,-3.0086143,1, outside,3.0086143, outside
ada,350000000,False,None of his books made any sense.,E,-2.1099727,1, sense,2.1099727, sense
ada,350000000,False,Nothing ages a woman faster than hardships.,S,-12.845702,1, hardships,12.845702, hardships
ada,350000000,False,Nothing ages a woman faster than identification.,J,-12.384545,1, identification,12.384545, identification
ada,350000000,False,Nothing in the known universe travels faster than gossip.,J,-14.02242,1, gossip,14.02242, gossip
ada,350000000,False,Nothing in the known universe travels faster than radiation.,S,-11.196332,1, radiation,11.196332, radiation
ada,350000000,False,Nothing you put in a banana split is as potentially fattening as the spoon.,J,-8.479273,1, spoon,8.479273, spoon
ada,350000000,False,Nothing you put in a banana split is as potentially fattening as the syrup.,S,-7.9798775,1, syrup,7.9798775, syrup
ada,350000000,False,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",S,-7.137876,1, careers,7.137876, careers
ada,350000000,False,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",J,-5.2173399184,3, nuptials,5.2173399184, nuptials
ada,350000000,False,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",S,-4.0915523,1, disease,4.0915523, disease
ada,350000000,False,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",J,-10.189935,1, gambling,10.189935, gambling
ada,350000000,False,One good turn gets most of the blanket.,J,-12.09498,1, blanket,12.09498, blanket
ada,350000000,False,One good turn gets most of the profit.,S,-7.5270586,1, profit,7.5270586, profit
ada,350000000,False,One good way to invest in the country is to buy a business.,S,-5.3461876,1, business,5.3461876, business
ada,350000000,False,One good way to invest in the country is to buy a senator.,J,-12.128922,1, senator,12.128922, senator
ada,350000000,False,One person who sure makes a long story short is my aunt.,S,-5.661344,1, aunt,5.661344, aunt
ada,350000000,False,One person who sure makes a long story short is my editor.,J,-7.4843245,1, editor,7.4843245, editor
ada,350000000,False,One thing that makes the world go round is detours.,J,-14.8082667,2, detours,14.8082667, detours
ada,350000000,False,One thing that makes the world go round is greed.,S,-7.8318243,1, greed,7.8318243, greed
ada,350000000,False,One way to keep pornography away from teenagers is to put it in a cabinet.,S,-5.6191335,1, cabinet,5.6191335, cabinet
ada,350000000,False,One way to keep pornography away from teenagers is to put it in a textbook.,J,-8.017271,1, textbook,8.017271, textbook
ada,350000000,False,Our new green car blocked the narrow driveway.,E,-5.687732,1, driveway,5.687732, driveway
ada,350000000,False,Our son brought home a note from school saying they need a written excuse for his presence.,J,-6.0827656,1, presence,6.0827656, presence
ada,350000000,False,Our son brought home a note from school saying they need a written excuse for his tardiness.,S,-6.076298612,3, tardiness,6.076298612, tardiness
ada,350000000,False,"Parents support clubs for teenagers, especially when they lack other forms of diversion.",S,-9.430101,1, diversion,9.430101, diversion
ada,350000000,False,"Parents support clubs for teenagers, especially when they lack other forms of punishment.",J,-9.313804,1, punishment,9.313804, punishment
ada,350000000,False,Paul heard a loud grinding noise when someone put a tin can right down the garbage disposal.,E,-0.26633206,1, disposal,0.26633206, disposal
ada,350000000,False,Politicians who are as American as apple pie still want their rewards.,S,-10.001833,1, rewards,10.001833, rewards
ada,350000000,False,Politicians who are as American as apple pie still want their slice.,J,-7.439803,1, slice,7.439803, slice
ada,350000000,False,Save the whales; start a coalition.,S,-5.291411,1, coalition,5.291411, coalition
ada,350000000,False,Save the whales; start a collection.,J,-6.9590006,1, collection,6.9590006, collection
ada,350000000,False,She always told girls not to look for a husband but just to date bachelors.,J,-10.3986574,3, bachelors,10.3986574, bachelors
ada,350000000,False,She always told girls not to look for a husband but just to date someone.,S,-3.1577249,1, someone,3.1577249, someone
ada,350000000,False,"She asked what state he was born in, and he said in the East.",S,-5.036912,1, East,5.036912, East
ada,350000000,False,"She asked what state he was born in, and he said in the nude.",J,-14.029077,1, nude,14.029077, nude
ada,350000000,False,She bought her father a tasteful tie for his birthday.,E,-1.205599,1, birthday,1.205599, birthday
ada,350000000,False,She called her husband at his office.,E,-0.92444277,1, office,0.92444277, office
ada,350000000,False,"She is so modest, she pulls down the shade to change her jacket.",S,-6.645798,1, jacket,6.645798, jacket
ada,350000000,False,"She is so modest, she pulls down the shade to change her mind.",J,-3.4627721,1, mind,3.4627721, mind
ada,350000000,False,She puts something behind her ears to attract men; lately she's been using her ankles.,J,-7.734589,1, ankles,7.734589, ankles
ada,350000000,False,She puts something behind her ears to attract men; lately she's been using her vanilla.,S,-12.332649,1, vanilla,12.332649, vanilla
ada,350000000,False,She read so much about the bad effects of cigarettes she decided to give up the habit.,S,-0.8766832,1, habit,0.8766832, habit
ada,350000000,False,She read so much about the bad effects of cigarettes she decided to give up the reading.,J,-9.879609,1, reading,9.879609, reading
ada,350000000,False,She tied up her hair with a yellow ribbon.,E,-1.1448703,1, ribbon,1.1448703, ribbon
ada,350000000,False,"She told him he looked like a million, and she meant every century.",J,-12.214215,1, century,12.214215, century
ada,350000000,False,"She told him he looked like a million, and she meant every syllable.",S,-5.9974033232,2, syllable,5.9974033232, syllable
ada,350000000,False,She used a needle and a tweezers to pull out the splinter.,E,-9.340606,2, splinter,9.340606, splinter
ada,350000000,False,She was suddenly called back to New York and had to take a cab to the airport.,E,-0.5082618,1, airport,0.5082618, airport
ada,350000000,False,"She went on a fourteen day diet, but she only lost two ounces.",S,-5.587872,1, ounces,5.587872, ounces
ada,350000000,False,"She went on a fourteen day diet, but she only lost two weeks.",J,-6.1086245,1, weeks,6.1086245, weeks
ada,350000000,False,She's happy because she finally has a boyfriend who gets along with her father.,S,-5.402164,1, father,5.402164, father
ada,350000000,False,She's happy because she finally has a boyfriend who gets along with her fiance.,J,-8.655353,1, fiance,8.655353, fiance
ada,350000000,False,"Some babies are born to rule, while others are male.",J,-10.733256,1, male,10.733256, male
ada,350000000,False,"Some babies are born to rule, while others are weak.",S,-9.271792,1, weak,9.271792, weak
ada,350000000,False,"Some husbands are good providers, but only if you count children.",J,-9.344985,1, children,9.344985, children
ada,350000000,False,"Some husbands are good providers, but only if you count salary.",S,-13.413408,1, salary,13.413408, salary
ada,350000000,False,Some people think courtship is the first in a series of steps leading to divorce.,J,-7.506444,1, divorce,7.506444, divorce
ada,350000000,False,Some people think courtship is the first in a series of steps leading to romance.,S,-5.1383634,1, romance,5.1383634, romance
ada,350000000,False,Some people's only culture is bacteria.,J,-12.20534,1, bacteria,12.20534, bacteria
ada,350000000,False,Some people's only culture is radio.,S,-10.569163,1, radio,10.569163, radio
ada,350000000,False,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly blackjack.",S,-6.27052934,2, blackjack,6.27052934, blackjack
ada,350000000,False,"Statistics indicate that Americans spend eighty million a year on games of chance, mostly weddings.",J,-11.947175,1, weddings,11.947175, weddings
ada,350000000,False,Sunday is the day we bow our heads and putt.,J,-15.2523454,2, putt,15.2523454, putt
ada,350000000,False,Sunday is the day we bow our heads and rest.,S,-6.810704,1, rest,6.810704, rest
ada,350000000,False,The accident injured his spinal cord and his legs are paralyzed.,E,-0.9606664,1, paralyzed,0.9606664, paralyzed
ada,350000000,False,The art museum just acquired an early Rembrandt; it's done in charcoal.,S,-5.802299,1, charcoal,5.802299, charcoal
ada,350000000,False,The art museum just acquired an early Rembrandt; it's done in Crayola.,J,-14.3615551,3, Crayola,14.3615551, Crayola
ada,350000000,False,The baby cried and upset her mother.,E,-2.7163439,1, mother,2.7163439, mother
