model,sentence,answer,shots,condition,correct,yes_lp,no_lp,lp_ratio
text-davinci-002,Eva turned down the heat and left the sauce on the stove to simmer.,Eva was cooking.,1,E,yes,-0.13012385,-4.047794,3.9176701499999997
text-davinci-002,Every introductory sailing class includes learning how to save a man drowning.,Beginning sailing classes emphasize safety.,1,E,yes,-0.0793177,-4.1401668,4.0608491
text-davinci-002,"Every time I wear my spring coat in the rain, it damages the fabric.",My coat is waterproof.,1,S,no,-12.413908,-0.03091136,-12.38299664
text-davinci-002,"Every time I wear my spring coat in the rain, it damages the springs.",Water isn't good for my coat.,1,J,yes,-0.11964525,-3.7427182,3.62307295
text-davinci-002,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little platform.,The platform is for sunbathing.,1,S,no,-7.309158,-0.030254284,-7.278903716
text-davinci-002,Everyone had so much fun diving from the tree into the swimming pool we decided to put in a little water.,The pool was empty.,1,J,yes,-6.665421,-0.03068362,-6.634737380000001
text-davinci-002,"Except for not having a shell, slugs are a lot like snails.",Slugs and snails are similar.,1,E,yes,-0.03986608,-8.40188,8.36201392
text-davinci-002,"Figures don't lie, except on the beaches.",People lie in the sand.,1,J,yes,-2.6172981,-0.12742439,-2.4898737100000004
text-davinci-002,"Figures don't lie, except on the page.",Statistics are completely reliable.,1,S,no,-15.44046,-0.046134993,-15.394325006999999
text-davinci-002,"For a great vacation, put the kids in the back seat, and take a cruise.",A road trip with the kids can be a lot of fun.,1,J,no,-0.08021906,-5.1890316,5.10881254
text-davinci-002,"For a great vacation, put the kids in the back seat, and take a freeway.",A road trip can be a fun vacation.,1,S,yes,-0.07621147,-7.148016,7.0718045300000005
text-davinci-002,"For his thirtieth birthday, all his friends gathered to celebrate.",There was a party for his birthday.,1,E,yes,-0.038467765,-10.509548,10.471080235
text-davinci-002,For lunch he had an apple and a peanut butter sandwich.,He ate a cold lunch.,1,E,yes,-4.008921,-0.023753703,-3.985167297
text-davinci-002,"Frequent naps prevent old age, especially when taken while driving.",Falling asleep while driving can kill you.,1,J,yes,-0.49021736,-1.6727846,1.18256724
text-davinci-002,"Frequent naps prevent old age, especially when taken while relaxed.",It's best to nap when you are very stressed.,1,S,no,-5.021178,-0.025748173,-4.995429827
text-davinci-002,Good Friday commemorates the Last Supper that Jesus had with his twelve disciples.,Good Friday is a religious holiday.,1,E,yes,-0.06685364,-8.013577,7.94672336
text-davinci-002,Hal wrote her a love letter.,Hal didn't like her very much.,1,E,no,-15.997287,-0.20659597,-15.79069103
text-davinci-002,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough change.",We don't have enough money for soup.,1,S,yes,-0.3435166,-8.935812,8.592295400000001
text-davinci-002,"He asked if I'd join him in a bowl of soup, but I told him we didn't have enough room.",We can't afford the soup.,1,J,no,-4.3592567,-0.058364708,-4.300891992
text-davinci-002,He drank so much that he eventually became a beverage.,He gave up drinking.,1,J,no,-6.053089,-0.03782903,-6.01525997
text-davinci-002,He drank so much that he eventually became a lush.,He became an alcoholic.,1,S,yes,-0.08915007,-9.484287,9.39513693
text-davinci-002,He got a medal for bravery on the beach when he rescued a girl from a lifeguard.,He saved the girl from drowning.,1,J,no,-0.029027937,-6.3248115,6.295783563
text-davinci-002,He got a medal for bravery on the beach when he rescued a girl from a shipwreck.,The girl had been on a ship.,1,S,yes,-2.1913888,-0.39729977,-1.7940890299999999
text-davinci-002,He hung her coat in the closet.,She had been wearing a coat.,1,E,yes,-0.61930346,-1.5861788,0.9668753400000001
text-davinci-002,He is at the age when all the numbers in his little black book belong to doctors.,He is getting old.,1,J,yes,-0.14548092,-8.59761,8.452129079999999
text-davinci-002,He is at the age when all the numbers in his little black book belong to friends.,He is a real playboy.,1,S,no,-0.19678374,-3.0152395,2.81845576
text-davinci-002,"He is probably the best boxer in the country, but he always loses in the city.",He would win in Las Vegas.,1,J,no,-1.550921,-0.52194434,-1.02897666
text-davinci-002,"He is probably the best boxer in the country, but he always loses in the competition.",He always wins the championship.,1,S,no,-15.626238,-0.029255483,-15.596982517
text-davinci-002,He likes to make things around the house; this week it's the maid.,He's having an affair with a member of the household staff.,1,J,yes,-0.243056,-3.9629116,3.7198556
text-davinci-002,He likes to make things around the house; this week it's the shelves.,He isn't very good with his hands.,1,S,no,-15.470056,-0.119331434,-15.350724566
text-davinci-002,"He owns stock in a company that pays quarterly dividends, so every three months they send him a quarter.",His dividends are quite large.,1,J,no,-2.4052145,-0.24998422,-2.15523028
text-davinci-002,"He owns stock in a company that pays quarterly dividends, so every three months they send him a statement.",He never hears from the company.,1,S,no,-12.117442,-0.07117438,-12.04626762
text-davinci-002,He says he doesn't like to drink because it makes him feel happy.,Drinking makes him feel depressed.,1,J,no,-11.103614,-0.041714706,-11.061899294
text-davinci-002,He says he doesn't like to drink because it makes him feel sad.,Alcohol depresses him.,1,S,yes,-0.119130574,-8.037842,7.918711426
text-davinci-002,He spilled some of the quart of oil onto the engine because he didn't have a funnel.,He was pouring oil into the car.,1,E,yes,-0.16171668,-3.9551616,3.7934449199999998
text-davinci-002,"He thought that he could turn from Grant onto Prince, but the two streets are parallel.",He was at the corner of Grant and Prince.,1,E,no,-5.468603,-0.034657147,-5.433945853
text-davinci-002,"He told her he wasn't himself, and she said she'd noticed the improvement.",She liked him better when he wasn't himself.,1,J,yes,-4.0117927,-0.06580367,-3.94598903
text-davinci-002,"He told her he wasn't himself, and she said she'd noticed the problem.",He was behaving normally.,1,S,no,-13.223579,-0.122587234,-13.100991766000002
text-davinci-002,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a balloon.",He got the tires for free.,1,J,no,-7.7652273,-0.021850677,-7.7433766230000005
text-davinci-002,"He told me he just bought a set of balloon tires, and I told him I didn't even know he owned a truck.",He bought new tires for his truck.,1,S,yes,-0.0767549,-3.2965345,3.2197796
text-davinci-002,"He told me he's not broke, just badly bent.",He's doing quite well.,1,J,no,-12.201183,-0.09539174,-12.10579126
text-davinci-002,"He told me he's not broke, just badly off.",He has lots of money.,1,S,no,-14.440572,-0.08870317,-14.351868829999999
text-davinci-002,He was teaching his girlfriend how to swim when the lifeguard made them move to the lake.,They were in the water.,1,J,no,-0.26859212,-6.4960766,6.22748448
text-davinci-002,He was teaching his girlfriend how to swim when the lifeguard made them move to the shallows.,They were in deep water.,1,S,yes,-6.7927775,-0.1157137,-6.6770638
text-davinci-002,He wondered if the storm had done much damage.,It had been a terrible storm.,1,E,yes,-0.59422034,-4.5449376,3.95071726
text-davinci-002,"He's never given a girl a present, but he did give a few a pretty good reputation.",He never gets girls into trouble.,1,J,no,-5.959402,-0.020659098,-5.9387429019999995
text-davinci-002,"He's never given a girl a present, but he did give a few a pretty good surprise.",He buys his girlfriends lavish gifts.,1,S,no,-15.883672,-0.16642456,-15.717247440000001
text-davinci-002,He's planning an extended vacation: he hopes to spend three weeks on his couch.,He's going to sleep a lot.,1,J,yes,-0.15304571,-6.7827864,6.62974069
text-davinci-002,He's planning an extended vacation: he hopes to spend three weeks on his sailboat.,He's going sailing for three weeks.,1,S,yes,-0.045824762,-9.037426,8.991601238
text-davinci-002,Her press agent was operated on for an ingrown beeper.,Her press agent needed actual medical surgery.,1,J,no,-3.7408097,-0.081987776,-3.6588219239999997
text-davinci-002,Her press agent was operated on for an ingrown eyelash.,She needed medical surgery.,1,S,yes,-4.3082237,-0.0293017,-4.278922
text-davinci-002,His doctor recommended he stay flat on his back ever since he was hit by a motorist.,He got run over by a car.,1,S,yes,-0.24715103,-4.996437,4.74928597
text-davinci-002,His doctor recommended he stay flat on his back ever since he was hit by a steamroller.,He should get out of bed as soon as possible.,1,J,no,-11.632849,-0.05053808,-11.58231092
text-davinci-002,His job was to keep the sidewalk clean.,He was a doctor.,1,E,no,-15.548073,-0.088438176,-15.459634824
text-davinci-002,His sandwich came with chips and a dill pickle.,He was about to eat.,1,E,yes,-5.607089,-0.01937516,-5.58771384
text-davinci-002,His wife sued for divorce and asked for custody of the cash.,She wanted to keep the money.,1,J,yes,-0.13157642,-8.003969,7.87239258
text-davinci-002,His wife sued for divorce and asked for custody of the cat.,She was very fond of her pet.,1,S,yes,-1.1903945,-1.2427173,0.0523228
text-davinci-002,"I appreciate the more expensive things in life: diamonds, caviar, and champagne.","I prefer a simple, country life.",1,S,no,-14.067651,-0.062110644,-14.005540356
text-davinci-002,"I appreciate the more expensive things in life: diamonds, caviar, and postage.",It's expensive to mail things nowadays.,1,J,yes,-1.5719095,-0.3473673,-1.2245422000000001
text-davinci-002,"I asked him if he started out as an editor, and he said that years ago he used to be a boy.",He wasn't an editor when he was young.,1,J,yes,-0.3699743,-3.6554508,3.2854765
text-davinci-002,"I asked him if he started out as an editor, and he said that years ago he used to be a journalist.",He was never a reporter.,1,S,no,-7.88631,-0.07866369,-7.80764631
text-davinci-002,"I asked the florist what I should give to my girlfriend, and he suggested his address.",The florist would like to meet the girlfriend.,1,J,yes,-0.22629836,-2.6370256,2.41072724
text-davinci-002,"I asked the florist what I should give to my girlfriend, and he suggested his tulips.",The florist thought I should give her roses.,1,S,no,-6.1831474,-0.021985808,-6.161161592
text-davinci-002,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a dress.",The woman notices what clothes people wear.,1,J,yes,-0.0567499,-5.325577,5.2688271
text-davinci-002,"I asked the woman at the party if she remembered me from last year, and she said she never forgets a name.",She didn't remember my name.,1,S,no,-10.918249,-0.02270278,-10.89554622
text-davinci-002,"I can walk on water, but I stagger on alcohol.",I can walk just fine even when I'm drunk.,1,J,no,-14.202351,-0.025826218,-14.176524782
text-davinci-002,"I can walk on water, but I stagger on concrete.",I have no trouble walking on hard surfaces.,1,S,no,-14.493914,-0.043817755,-14.450096245000001
text-davinci-002,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my pay.",I'm saving money in case I need it later.,1,S,yes,-0.107895456,-11.515194,11.407298544
text-davinci-002,"I decided to start saving for a rainy day, so I went to a savings and loan and deposited my umbrella.",I put a lot of money in the bank in case of emergency.,1,J,no,-0.21779256,-3.3383696,3.12057704
text-davinci-002,"I got a car for my wife, and I thought it was a good choice.",I thought my wife would like the car.,1,S,yes,-0.025965374,-8.504683,8.478717626
text-davinci-002,"I got a car for my wife, and I thought it was a good trade.",I like the car more than my wife.,1,J,yes,-7.6069827,-0.06632944,-7.54065326
text-davinci-002,"I hope this train stops at Grand Central because if it doesn't, there will be a crash.",Grand Central is the end of the line.,1,J,yes,-0.84049016,-2.711155,1.8706648400000003
text-davinci-002,"I hope this train stops at Grand Central because if it doesn't, there will be a delay.",I'm afraid I will fall behind schedule.,1,S,yes,-0.64499295,-1.6868552,1.04186225
text-davinci-002,I knew a streetwalker who was so exclusive she had an unlisted telephone booth.,She was easy to reach by phone.,1,J,no,-10.480441,-0.4711328,-10.009308200000001
text-davinci-002,I knew a streetwalker who was so exclusive she had an unlisted telephone line.,Her phone number was in the telephone book.,1,S,no,-11.228943,-0.27267092,-10.95627208
text-davinci-002,I know one couple who got divorced and had to leave the house to the attorney.,The divorce was expensive.,1,J,yes,-0.9681916,-2.4525197,1.4843281
text-davinci-002,I know one couple who got divorced and had to leave the house to the daughter.,The house stayed in the family.,1,S,yes,-0.7795273,-0.7234072,-0.056120100000000006
text-davinci-002,"I still miss my ex-wife, but I am improving my aim.",I am shooting at my ex-wife.,1,J,yes,-10.541481,-0.07610289,-10.46537811
text-davinci-002,"I still miss my ex-wife, but I am improving my ego.",I'm starting to feel better about myself.,1,S,yes,-0.40603554,-6.8565326,6.45049706
text-davinci-002,I went to a place that serves breakfast any time and ordered French toast in the nighttime.,I had breakfast at night.,1,S,yes,-0.16617504,-8.523507,8.35733196
text-davinci-002,I went to a place that serves breakfast any time and ordered French toast in the Renaissance.,I wanted to eat an unusual breakfast.,1,J,yes,-3.1737306,-0.09918501,-3.07454559
text-davinci-002,"I've got Parkinson's disease, and he's got gout.",We have the same disease.,1,S,no,-9.434137,-0.08932792,-9.34480908
text-davinci-002,"I've got Parkinson's disease, and he's got mine.",At least one of us is in good health.,1,J,no,-8.285415,-0.22464436,-8.060770640000001
text-davinci-002,"If there's one thing that counts in business, it's bookkeepers.",Bookkeepers keep track of things.,1,J,yes,-0.09923221,-6.2839317,6.18469949
text-davinci-002,"If there's one thing that counts in business, it's resources.",It's hard to succeed if you start with nothing.,1,S,yes,-0.13963923,-7.7329407,7.59330147
text-davinci-002,"If you're filthy rich, sending your kids to college is a wonderful cleaner.",Colleges are very expensive.,1,J,yes,-3.3717873,-0.07646088,-3.29532642
text-davinci-002,"If you're filthy rich, sending your kids to college is a wonderful luxury.",It's good to be able to afford to send your children to the university.,1,S,yes,-0.057265937,-9.367153,9.309887063
text-davinci-002,In some marriages the bride is given away by the family.,It's always the father who gives the bride away.,1,S,no,-1.7883592,-0.21543229,-1.5729269099999998
text-davinci-002,In some marriages the bride is given away by the press.,The newspapers reveal something about the bride's past.,1,J,yes,-5.2250743,-0.05536732,-5.16970698
text-davinci-002,"In the game of golf, nothing counts as much as your drives.",The most important part of your golf game is your putting.,1,S,no,-13.445925,-0.04286043,-13.403064570000002
text-davinci-002,"In the game of golf, nothing counts as much as your opponent.",The other guy always keeps track of your score.,1,J,yes,-0.12933978,-3.2415276,3.11218782
text-davinci-002,"In the U.S. the five cent piece is made of nickel, while pennies are mainly made of copper.",Both coins are made from the same metal.,1,E,no,-9.848652,-0.045333173,-9.803318827
text-davinci-002,"It was so hot at Playboy, the centerfold took off her bikini.",She had been wearing a swimsuit.,1,S,yes,-0.09332964,-4.0359845,3.9426548599999998
text-davinci-002,"It was so hot at Playboy, the centerfold took off her staple.",She wasn't wearing any clothes.,1,J,yes,-0.5587329,-2.8123672,2.2536343000000003
text-davinci-002,It was too hot to sleep in a bed so he strung up a mesh hammock.,He was going to sleep in the hammock.,1,E,yes,-0.08403256,-8.620264,8.53623144
text-davinci-002,"It's always nicer to give than to receive, especially when it's your opinion.",People like giving advice more than taking it.,1,J,yes,-0.10940287,-9.328242,9.21883913
text-davinci-002,"It's always nicer to give than to receive, especially when it's your parents.",Giving gifts can be fun.,1,S,yes,-0.063290976,-4.078172,4.014881024
text-davinci-002,It's extraordinary what fine poker hand you get when you're playing bridge.,You always get the best hand just when you need it.,1,J,no,-0.8314923,-1.0833833,0.251891
text-davinci-002,It's extraordinary what fine poker hand you get when you're playing stud.,You never get a decent hand in a poker game.,1,S,no,-7.195086,-0.02019779,-7.17488821
text-davinci-002,It's hard to admit when one is wrong.,Most people don't mind being wrong.,1,E,no,-13.801583,-0.050980557,-13.750602443
text-davinci-002,"It's hard to raise a family nowadays, especially in the country.",It's easy to raise children outside the city.,1,S,no,-12.213901,-0.034425404,-12.179475596
text-davinci-002,"It's hard to raise a family nowadays, especially in the morning.",The kids don't want to get up in the morning.,1,J,yes,-0.2771919,-3.0796251,2.8024332
text-davinci-002,It's not hard to meet expenses; they're affordable.,You should be able to pay all your bills.,1,S,yes,-0.11248516,-7.5458426,7.43335744
text-davinci-002,It's not hard to meet expenses; they're everywhere.,It's easy to pay the bills.,1,J,no,-1.710681,-0.3305436,-1.3801374
text-davinci-002,Last Thanksgiving my wife spent all morning in the kitchen stuffing the bird.,She was preparing the turkey.,1,S,yes,-0.07594944,-9.309392,9.23344256
text-davinci-002,Last Thanksgiving my wife spent all morning in the kitchen stuffing the kids.,The kids didn't get enough to eat.,1,J,no,-8.808518,-0.05300951,-8.755508489999999
text-davinci-002,"Love has its benefits, and they are usually called alimony.",Divorce can get you some money.,1,J,yes,-0.30122223,-6.7154794,6.414257170000001
text-davinci-002,"Love has its benefits, and they are usually called memories.",Being in love leads to good times together.,1,S,yes,-0.050272286,-4.126409,4.0761367139999996
text-davinci-002,Many a freshman helps the college of his choice by becoming a dropout.,"When a freshman fails, it always hurts the college.",1,J,no,-6.4251137,-0.013937078,-6.411176622
text-davinci-002,Many a freshman helps the college of his choice by becoming a member.,Joining a college doesn't make any difference.,1,S,no,-13.165873,-0.013702719,-13.152170281
text-davinci-002,Many a man's idea of a vacation is to rest quietly in the shade of a blonde.,Men like to vacation alone.,1,J,no,-4.945048,-0.022838267,-4.922209733
text-davinci-002,Many a man's idea of a vacation is to rest quietly in the shade of a palm.,Many men like a relaxing vacation in the tropics.,1,S,yes,-0.046639152,-8.709331,8.662691848000001
text-davinci-002,"Many things run in families, especially noses.",People often catch colds from other family members.,1,J,yes,-0.24496597,-3.02418,2.77921403
text-davinci-002,"Many things run in families, especially strength.",Muscle power comes only from exercise.,1,S,no,-9.77645,-0.026799379,-9.749650621
text-davinci-002,Modern science is amazing: garbage is now being made into gasoline.,Fuel can be made from trash.,1,S,yes,-0.15599257,-10.580664,10.42467143
text-davinci-002,Modern science is amazing: garbage is now being made into movies.,There are a lot of really terrible movies nowadays.,1,J,yes,-0.33773303,-5.6555047,5.31777167
text-davinci-002,Most cats see very well at night.,Cats see well in the dark.,1,E,yes,-0.10296857,-9.610261,9.50729243
text-davinci-002,Most of the people running for office are not politicians; they're candidates.,You become a politician when you get elected.,1,S,yes,-0.71227527,-1.0465645,0.3342892299999999
text-davinci-002,Most of the people running for office are not politicians; they're commuters.,These people are hurrying to get to work on time.,1,J,yes,-3.9258056,-0.09933305,-3.82647255
text-davinci-002,Mrs Martin told the bad student to stand in the corner.,Mrs Martin was unhappy with the student's behavior.,1,E,yes,-0.095503025,-8.158767,8.063263975
text-davinci-002,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our drinks.,My brother-in-law fixed our plumbing.,1,J,no,-11.79062,-0.025564227,-11.765055773
text-davinci-002,My brother-in-law enjoys fixing things around the house so much he spent an hour last night just fixing our stove.,He's a real handyman.,1,S,yes,-0.39778632,-9.764862,9.367075680000001
text-davinci-002,My church welcomes all denominations but prefers Mormons.,My church is strictly Catholic.,1,S,no,-14.855195,-0.046315525,-14.808879475
text-davinci-002,My church welcomes all denominations but prefers twenties.,My church wants money.,1,J,yes,-0.24964012,-6.5438366,6.29419648
text-davinci-002,My doctor has never violated his oath: the oath he took years ago to become a millionaire.,My doctor charges a lot of money.,1,J,yes,-0.27251986,-7.064689,6.79216914
text-davinci-002,My doctor has never violated his oath: the oath he took years ago to become a practitioner.,My doctor is very honorable.,1,S,yes,-0.22058098,-11.181464,10.96088302
text-davinci-002,My husband took the money we were saving to buy a new car and blew it all at the laundry.,We had saved a lot of money.,1,J,no,-5.280656,-0.038133763,-5.242522236999999
text-davinci-002,My husband took the money we were saving to buy a new car and blew it all at the tables.,He gambled away our savings.,1,S,yes,-0.11008361,-11.745084,11.63500039
text-davinci-002,"My mechanic couldn't fix my brakes, so he fixed my clutch.",My clutch was also broken.,1,S,yes,-1.8495706,-0.5538701,-1.2957005000000001
text-davinci-002,"My mechanic couldn't fix my brakes, so he fixed my horn.","He figures if I can't stop, I'll have to honk at people.",1,J,yes,-1.1832893,-4.246727,3.0634376999999997
text-davinci-002,My wife did natural childbirth: no anesthetic.,She took drugs for the pain.,1,S,no,-11.797255,-0.0720389,-11.725216099999999
text-davinci-002,My wife did natural childbirth: no makeup.,My wife didn't wear makeup when she had her baby.,1,J,yes,-0.117814764,-7.921746,7.8039312359999995
text-davinci-002,"Nature has three ways of thinning the herd: drought, famine, and hunting.",Predatory hunting reduces the number of prey.,1,S,yes,-0.057205472,-7.934633,7.877427528
text-davinci-002,"Nature has three ways of thinning the herd: drought, famine, and primaries.",Politics is a lot like nature.,1,J,yes,-1.972618,-0.16235638,-1.81026162
text-davinci-002,No patient should leave the hospital until he's strong enough to face the cashier.,Hospital bills are quite expensive.,1,J,yes,-0.2793168,-4.3195,4.0401831999999995
text-davinci-002,No patient should leave the hospital until he's strong enough to face the outside.,Patients should be released as soon as possible.,1,S,no,-8.862351,-0.025018755,-8.837332245
text-davinci-002,None of his books made any sense.,His books were hard to understand.,1,E,yes,-0.1777093,-8.21236,8.0346507
text-davinci-002,Nothing ages a woman faster than hardships.,A difficult life can make you look old.,1,S,yes,-0.06293811,-9.154352,9.09141389
text-davinci-002,Nothing ages a woman faster than identification.,Many women lie about their age.,1,J,yes,-0.8448248,-0.8710122,0.026187399999999972
text-davinci-002,Nothing in the known universe travels faster than gossip.,Rumors get around quickly.,1,J,yes,-0.15551853,-9.218921,9.06340247
text-davinci-002,Nothing in the known universe travels faster than radiation.,Radiation travels at great speed.,1,S,yes,-0.2538951,-11.093898,10.8400029
text-davinci-002,Nothing you put in a banana split is as potentially fattening as the spoon.,Eating banana splits can make you fat.,1,J,yes,-0.17216896,-4.0199623,3.8477933400000004
text-davinci-002,Nothing you put in a banana split is as potentially fattening as the syrup.,Syrup has very few calories.,1,S,no,-3.147808,-0.1807178,-2.9670902
text-davinci-002,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their careers.",The divorce hadn't affected their work.,1,S,no,-5.3286085,-0.19354782,-5.13506068
text-davinci-002,"Now that the Hollywood couple has ironed out the divorce settlement, they can finally go ahead with their nuptials.",They are already married.,1,J,no,-4.2530417,-0.77046305,-3.4825786499999998
text-davinci-002,"Once a week they hold a bingo game, and all the proceeds go to fight disease.",They are raising money to build a new church.,1,S,no,-15.21385,-0.02165435,-15.19219565
text-davinci-002,"Once a week they hold a bingo game, and all the proceeds go to fight gambling.",They are raising money to help orphans.,1,J,no,-12.191682,-0.017424438,-12.174257562
